State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Hawaii,Hawaii,"15,283",12.8%,41.2%,41.0%,5.1%,"123,533",3.4%,6.1%,31.4%,21.5%,11.0%,18.5%,8.1%,90.5%,26.6%,"21,152",93.2%,20.2%,"21,662",93.8%,25.6%,"55,401",93.3%,30.7%,"25,318",79.5%,23.9%,19.8%,12.1%,12.0%,8.4%,"31,162","19,586","26,901","31,009","40,394","51,657",198
Hawaii,Honolulu,"96,970",7.7%,40.1%,44.2%,8.1%,"631,112",5.0%,5.1%,28.0%,21.1%,9.7%,20.5%,10.6%,89.9%,31.1%,"131,341",95.8%,31.2%,"127,342",94.4%,34.2%,"239,023",90.8%,34.5%,"133,406",78.2%,21.8%,16.5%,8.8%,6.4%,3.6%,"37,687","21,221","29,828","36,298","46,431","63,018",234
Hawaii,Kalawao,0,-,-,-,-,74,12.2%,8.1%,21.6%,12.2%,21.6%,6.8%,17.6%,79.7%,24.3%,20,100.0%,15.0%,5,100.0%,0.0%,20,85.0%,25.0%,29,58.6%,34.5%,0.0%,18.8%,0.0%,0.0%,"40,417","12,750","27,750","41,250",-,"75,875",247
Hawaii,Kauai,"5,068",11.1%,46.2%,38.2%,4.6%,"45,286",6.4%,5.4%,30.3%,23.9%,11.4%,15.9%,6.8%,88.3%,22.7%,"7,587",95.2%,21.5%,"8,509",94.8%,21.2%,"19,714",91.6%,24.9%,"9,476",69.9%,20.6%,14.1%,9.2%,7.2%,6.5%,"33,362","20,625","29,696","34,351","42,013","47,841",261
Hawaii,Maui,"11,732",14.6%,45.3%,33.5%,6.6%,"103,805",5.1%,6.1%,31.3%,23.2%,8.5%,17.5%,8.2%,88.7%,25.7%,"19,867",91.8%,25.8%,"21,530",91.9%,24.4%,"44,237",91.8%,27.2%,"18,171",74.3%,23.3%,10.4%,7.9%,7.3%,5.0%,"33,136","24,793","30,459","32,303","41,769","52,022",323
Idaho,Ada,"35,226",14.1%,31.3%,45.3%,9.3%,"244,071",1.9%,5.2%,23.0%,26.9%,8.1%,23.9%,11.1%,92.9%,35.0%,"56,792",92.8%,33.5%,"55,855",94.4%,40.1%,"93,549",94.4%,37.2%,"37,875",87.0%,24.5%,18.4%,10.4%,7.7%,3.9%,"34,552","20,164","26,394","30,754","45,126","61,509",336
Idaho,Adams,222,20.3%,47.7%,32.0%,0.0%,"2,852",2.5%,9.1%,39.2%,21.5%,6.5%,13.8%,7.5%,88.4%,21.3%,349,79.4%,19.5%,452,97.1%,34.5%,"1,324",91.9%,18.8%,727,80.9%,18.4%,15.4%,9.2%,11.0%,12.9%,"21,932","18,359","20,870","20,000","41,477","31,176",338
Idaho,Bannock,"10,844",13.6%,36.3%,43.0%,7.1%,"47,842",2.2%,7.3%,26.0%,28.6%,8.6%,18.4%,8.9%,90.5%,27.3%,"11,662",93.7%,29.2%,"9,124",91.7%,31.6%,"18,369",92.2%,27.8%,"8,687",81.4%,19.3%,22.3%,10.3%,8.5%,6.9%,"29,622","15,928","24,831","26,822","36,042","51,263",343
Idaho,Bear Lake,427,9.6%,30.0%,60.4%,0.0%,"3,954",1.7%,7.9%,38.0%,28.5%,7.2%,12.9%,3.7%,90.4%,16.7%,615,93.3%,13.3%,614,87.5%,26.9%,"1,658",92.9%,11.2%,"1,067",86.4%,21.2%,31.0%,14.2%,12.2%,6.5%,"25,701","8,974","29,625","22,083","36,223","34,063",349
Idaho,Benewah,654,22.5%,41.9%,27.8%,7.8%,"6,397",2.1%,10.7%,43.6%,25.9%,5.6%,7.9%,4.2%,87.2%,12.1%,823,87.5%,8.9%,"1,050",90.4%,12.7%,"2,961",88.0%,13.4%,"1,563",83.2%,10.9%,18.7%,10.6%,11.1%,7.3%,"23,757","18,393","22,588","24,302","30,100","24,625",354
Idaho,Bingham,"4,066",17.5%,37.9%,41.9%,2.8%,"25,743",6.4%,9.0%,33.3%,26.9%,8.5%,11.9%,3.9%,84.6%,15.9%,"5,331",88.3%,14.4%,"5,128",85.4%,17.5%,"10,342",85.9%,16.6%,"4,942",77.1%,14.2%,26.4%,12.3%,8.8%,4.4%,"26,575","15,983","22,333","30,351","38,990","51,750",362
Idaho,Blaine,"1,404",18.3%,29.1%,37.5%,15.0%,"14,768",5.5%,2.5%,19.0%,24.2%,5.6%,29.4%,13.7%,92.0%,43.2%,"2,742",86.0%,29.2%,"3,084",86.9%,44.8%,"6,710",95.3%,44.1%,"2,232",96.6%,55.1%,6.0%,10.0%,9.9%,6.3%,"31,962","22,200","29,816","30,848","39,202","53,171",371
Idaho,Boise,368,18.2%,47.6%,31.8%,2.4%,"5,123",4.2%,8.6%,29.6%,27.3%,6.5%,15.8%,8.1%,87.2%,23.9%,531,82.1%,27.3%,850,93.4%,43.2%,"2,786",86.7%,18.6%,956,86.1%,20.4%,27.5%,12.2%,15.2%,6.6%,"33,732","16,250","29,605","32,196","46,042","47,120",380
Idaho,Bonner,"2,588",21.8%,41.2%,32.8%,4.1%,"29,200",1.5%,7.5%,32.9%,26.6%,9.0%,14.9%,7.6%,91.0%,22.5%,"4,160",90.4%,18.5%,"4,778",92.1%,21.4%,"13,681",92.9%,23.9%,"6,581",86.7%,22.8%,25.0%,12.8%,10.7%,4.8%,"27,333","14,221","25,401","25,668","36,684","56,115",387
Idaho,Bonneville,"9,085",19.4%,40.3%,34.9%,5.4%,"59,824",3.2%,6.2%,28.0%,26.9%,9.6%,18.1%,8.1%,90.6%,26.2%,"14,244",89.6%,22.4%,"11,771",90.8%,27.4%,"23,049",91.6%,28.8%,"10,760",89.7%,24.3%,20.9%,12.0%,7.0%,2.9%,"29,831","18,887","22,574","28,846","42,889","74,212",395
Idaho,Boundary,650,49.1%,44.6%,5.7%,0.6%,"7,329",4.9%,12.2%,41.3%,22.0%,6.7%,9.2%,3.7%,82.9%,12.9%,"1,107",81.3%,3.0%,"1,200",81.1%,5.8%,"3,309",84.2%,14.8%,"1,713",82.7%,20.5%,18.5%,16.0%,18.1%,3.6%,"24,345","20,568","24,891","21,558","36,951","47,443",405
Idaho,Butte,157,17.2%,54.8%,28.0%,0.0%,"2,026",2.6%,8.8%,31.4%,31.7%,7.9%,12.5%,5.0%,88.6%,17.5%,258,97.3%,15.5%,296,88.9%,10.5%,874,92.6%,22.0%,598,79.1%,15.4%,37.7%,12.5%,11.2%,5.9%,"24,274","10,417","25,217","21,250","48,839","25,833",414
Idaho,Camas,101,28.7%,48.5%,22.8%,0.0%,774,4.4%,13.7%,30.2%,23.6%,5.4%,16.7%,5.9%,81.9%,22.6%,103,88.3%,25.2%,231,60.6%,17.7%,315,89.5%,22.2%,125,96.8%,30.4%,22.9%,13.7%,11.6%,2.3%,"24,008","23,494","23,438","16,000","53,594","39,688",429
Idaho,Canyon,"17,429",24.3%,44.7%,27.8%,3.1%,"107,501",8.2%,9.8%,32.2%,26.0%,7.2%,11.9%,4.8%,82.0%,16.7%,"26,027",82.6%,14.7%,"23,680",83.2%,18.5%,"38,770",83.6%,19.1%,"19,024",76.4%,12.6%,27.8%,13.6%,8.9%,3.6%,"26,770","18,457","24,113","27,896","37,080","52,492",441
Idaho,Caribou,436,8.7%,40.6%,41.1%,9.6%,"4,509",2.4%,9.7%,36.3%,24.1%,11.4%,12.8%,3.3%,88.0%,16.2%,798,89.6%,16.4%,788,91.5%,17.9%,"1,835",90.0%,18.7%,"1,088",80.8%,10.4%,12.5%,8.0%,6.7%,2.1%,"26,348","18,673","20,370","27,165","42,619","61,979",449
Idaho,Cassia,"1,922",27.5%,44.2%,25.5%,2.7%,"12,907",11.0%,10.2%,26.7%,27.9%,8.5%,10.8%,4.9%,78.8%,15.7%,"2,488",77.5%,12.7%,"2,655",71.4%,10.4%,"4,942",84.7%,21.2%,"2,822",76.5%,13.6%,28.7%,14.0%,7.3%,2.1%,"25,296","16,463","25,957","23,602","35,725","49,414",456
Idaho,Clark,46,73.9%,13.0%,13.0%,0.0%,569,19.7%,11.4%,36.4%,24.6%,2.6%,4.2%,1.1%,68.9%,5.3%,108,52.8%,9.3%,46,50.0%,0.0%,263,78.7%,1.9%,152,69.1%,9.9%,14.1%,1.9%,0.0%,0.0%,"26,200","12,125","31,574","24,297","27,000",-,464
Idaho,Clearwater,483,27.5%,47.0%,25.5%,0.0%,"6,691",4.4%,10.9%,41.9%,20.0%,8.3%,9.9%,4.5%,84.7%,14.4%,855,87.1%,11.1%,992,89.5%,10.3%,"2,993",89.2%,20.1%,"1,851",73.5%,8.9%,14.0%,9.4%,8.5%,4.7%,"26,104","20,500","21,280","25,744","40,366","74,375",474
Idaho,Custer,254,11.4%,55.5%,29.9%,3.1%,"3,039",1.6%,5.6%,39.7%,25.2%,3.5%,19.8%,4.7%,92.9%,24.5%,474,92.8%,31.0%,564,95.0%,31.9%,"1,299",96.5%,21.1%,702,84.5%,20.4%,30.0%,15.1%,7.9%,6.2%,"26,616","5,568","27,087","22,621","37,039","37,292",484
Idaho,Elmore,"3,400",12.4%,40.9%,45.3%,1.4%,"15,586",6.3%,9.2%,27.4%,30.6%,11.9%,10.3%,4.3%,84.5%,14.6%,"4,035",91.7%,13.6%,"3,295",83.6%,16.7%,"5,752",81.1%,14.8%,"2,504",81.9%,13.0%,12.5%,12.6%,6.0%,6.1%,"29,047","23,813","24,562","31,659","37,159","58,566",490
Idaho,Franklin,932,21.4%,49.8%,27.5%,1.4%,"7,141",2.4%,6.0%,41.1%,25.4%,6.6%,12.5%,6.1%,91.7%,18.5%,"1,505",93.5%,15.8%,"1,357",95.1%,22.3%,"2,688",89.7%,19.2%,"1,591",90.4%,16.8%,15.8%,11.6%,9.2%,3.5%,"26,063","18,571","22,782","24,779","31,096","60,227",498
Idaho,Fremont,960,13.8%,49.0%,34.2%,3.1%,"8,012",7.7%,7.3%,27.8%,27.0%,10.4%,15.1%,4.7%,85.0%,19.8%,"1,765",75.2%,10.6%,"1,505",81.1%,17.4%,"2,990",93.0%,22.5%,"1,752",84.8%,26.7%,19.7%,9.1%,6.3%,2.3%,"25,578","12,412","25,727","22,844","40,357","49,219",502
Idaho,Gem,"1,153",10.8%,47.5%,38.2%,3.5%,"11,388",5.7%,10.8%,33.2%,29.5%,8.3%,9.3%,3.3%,83.5%,12.6%,"1,659",86.1%,7.5%,"1,949",86.5%,17.7%,"4,827",87.1%,12.3%,"2,953",74.3%,12.4%,26.2%,10.7%,10.9%,5.8%,"27,959","19,825","24,758","30,560","40,528","52,807",510
Idaho,Gooding,"1,280",18.7%,47.4%,33.9%,0.0%,"9,422",11.0%,12.8%,35.2%,22.7%,6.7%,8.7%,2.8%,76.2%,11.5%,"1,749",72.1%,5.3%,"1,824",64.0%,9.3%,"3,498",83.1%,15.9%,"2,351",78.4%,11.3%,28.5%,14.7%,6.9%,10.7%,"26,635","27,096","25,106","25,136","34,531","42,200",519
Idaho,Idaho,988,35.3%,44.0%,20.6%,0.0%,"11,562",5.3%,9.0%,43.9%,24.1%,5.4%,9.0%,3.3%,85.7%,12.3%,"1,372",92.9%,11.1%,"1,708",90.4%,14.1%,"5,225",88.2%,13.8%,"3,257",76.3%,9.4%,31.2%,14.9%,13.1%,6.6%,"23,277","11,869","22,254","23,737","37,623","55,341",528
Idaho,Jefferson,"2,007",17.0%,46.0%,32.8%,4.2%,"13,935",5.1%,9.1%,29.3%,28.2%,10.4%,12.7%,5.2%,85.8%,17.8%,"3,371",86.6%,20.6%,"3,022",86.4%,16.8%,"5,166",88.2%,18.1%,"2,376",78.5%,14.8%,18.9%,10.5%,4.7%,4.9%,"29,068","21,857","25,544","29,887","43,427","60,119",540
Idaho,Jerome,"2,181",30.4%,33.2%,32.5%,3.9%,"12,426",13.1%,15.2%,30.1%,24.0%,5.4%,8.9%,3.2%,71.6%,12.1%,"2,618",68.2%,16.1%,"2,673",60.7%,10.8%,"4,839",80.6%,13.1%,"2,296",69.5%,7.1%,17.4%,13.3%,9.7%,3.7%,"25,884","24,597","22,363","24,846","36,875","62,656",547
Idaho,Kootenai,"11,612",15.2%,37.2%,42.4%,5.1%,"89,440",2.0%,6.6%,29.5%,28.3%,10.4%,16.6%,6.6%,91.4%,23.2%,"15,903",93.1%,20.2%,"17,701",94.2%,26.9%,"36,961",93.1%,24.6%,"18,875",84.0%,19.7%,19.1%,11.3%,9.6%,4.1%,"29,490","21,993","25,302","28,178","40,307","53,691",552
Idaho,Latah,"9,784",2.6%,19.9%,65.9%,11.6%,"20,074",1.9%,4.6%,22.8%,22.0%,7.0%,22.8%,19.0%,93.5%,41.8%,"4,948",94.7%,41.5%,"3,545",96.4%,43.4%,"7,966",95.9%,46.5%,"3,615",83.4%,30.0%,18.4%,11.8%,16.1%,6.4%,"29,529","18,418","25,956","26,190","29,715","49,520",559
Idaho,Lemhi,683,37.8%,48.8%,13.5%,0.0%,"5,551",2.8%,5.3%,29.4%,30.2%,10.1%,13.8%,8.5%,91.9%,22.3%,385,95.1%,13.0%,875,97.3%,25.8%,"2,638",94.7%,25.1%,"1,653",83.9%,18.0%,21.8%,21.2%,13.2%,7.4%,"21,449","24,583","17,825","21,111","23,478","31,904",566
Idaho,Lewis,249,30.5%,37.3%,22.5%,9.6%,"2,670",3.3%,6.5%,36.4%,27.3%,11.0%,13.0%,2.5%,90.2%,15.5%,310,97.1%,24.8%,363,92.3%,18.7%,"1,168",93.1%,17.1%,829,82.8%,8.3%,12.3%,16.1%,8.8%,4.3%,"22,937","19,167","22,100","19,250","37,500","51,964",574
Idaho,Lincoln,471,38.0%,33.3%,26.8%,1.9%,"3,057",12.1%,11.3%,33.2%,24.8%,7.2%,7.9%,3.5%,76.6%,11.4%,589,66.4%,7.3%,557,77.4%,13.8%,"1,379",79.7%,12.1%,532,79.1%,11.8%,18.2%,14.5%,8.3%,6.6%,"27,043","26,146","24,256","25,826","43,533","50,625",578
Idaho,Madison,"13,543",2.7%,13.8%,78.5%,5.0%,"13,355",1.5%,3.3%,19.9%,31.0%,14.3%,19.8%,10.2%,95.2%,30.0%,"4,787",97.3%,25.5%,"2,442",95.8%,33.0%,"4,123",95.5%,31.2%,"2,003",89.1%,34.6%,32.0%,12.7%,22.7%,9.0%,"22,892","19,214","21,724","18,160","30,655","75,691",581
Idaho,Minidoka,"1,605",33.3%,39.5%,24.5%,2.7%,"12,182",14.6%,10.5%,34.0%,23.6%,7.9%,6.4%,3.0%,74.9%,9.4%,"2,295",71.2%,8.3%,"2,072",68.6%,11.4%,"5,024",79.6%,9.3%,"2,791",74.1%,8.9%,18.9%,9.7%,5.2%,2.3%,"24,745","18,901","23,516","28,014","37,766","46,726",585
Idaho,Nez Perce,"3,853",12.3%,39.1%,40.9%,7.8%,"26,476",3.3%,7.0%,35.3%,25.9%,10.3%,13.0%,5.2%,89.7%,18.2%,"4,578",91.4%,16.9%,"4,676",94.6%,20.9%,"10,387",94.3%,20.4%,"6,835",78.2%,13.7%,17.5%,9.0%,7.9%,4.0%,"31,275","15,000","27,412","31,097","40,259","47,361",589
Idaho,Oneida,285,30.2%,30.5%,39.3%,0.0%,"2,657",3.3%,4.4%,37.4%,27.5%,11.9%,9.7%,5.9%,92.3%,15.6%,332,97.0%,10.2%,457,99.8%,6.3%,"1,151",95.6%,17.5%,717,80.2%,20.9%,36.9%,13.2%,10.5%,2.7%,"26,231","9,875","26,676","24,129","38,625","48,625",593
Idaho,Owyhee,934,40.8%,40.0%,18.0%,1.2%,"7,076",14.5%,10.5%,36.7%,21.7%,6.4%,8.3%,2.0%,75.1%,10.3%,"1,323",62.8%,7.2%,"1,459",70.5%,13.0%,"2,816",85.0%,11.4%,"1,478",71.5%,8.3%,34.1%,16.4%,8.1%,3.3%,"26,282","19,130","26,040","25,389","43,488","43,472",601
Idaho,Payette,"1,840",34.2%,39.9%,21.8%,4.0%,"14,104",5.2%,11.0%,37.4%,24.8%,7.7%,9.7%,4.1%,83.7%,13.8%,"2,401",86.3%,16.7%,"2,870",85.9%,15.8%,"5,523",85.6%,13.9%,"3,310",76.9%,9.9%,22.9%,9.2%,10.4%,5.5%,"27,132","17,159","27,056","26,598","36,094","53,158",606
Idaho,Power,787,24.0%,54.1%,21.5%,0.4%,"4,533",9.4%,8.5%,31.1%,24.3%,7.8%,13.2%,5.7%,82.1%,18.9%,809,76.0%,22.7%,910,83.3%,14.8%,"1,907",85.9%,18.0%,907,78.2%,21.2%,18.2%,11.3%,3.3%,6.7%,"30,013","18,377","29,602","30,963","33,589","38,688",613
Idaho,Shoshone,787,20.5%,51.1%,22.5%,6.0%,"9,382",4.9%,13.0%,37.4%,26.2%,6.6%,8.6%,3.3%,82.1%,11.9%,"1,214",86.6%,11.0%,"1,620",88.6%,11.4%,"4,074",84.9%,10.9%,"2,474",71.1%,14.3%,25.0%,16.8%,11.2%,2.9%,"25,772","17,616","25,837","23,393","42,150","42,833",621
Idaho,Teton,577,37.4%,31.2%,23.2%,8.1%,"6,099",5.0%,6.0%,23.8%,25.3%,8.3%,23.8%,7.8%,89.0%,31.6%,"1,688",95.7%,38.7%,"1,595",83.1%,41.0%,"2,216",87.5%,20.9%,600,91.0%,25.8%,14.0%,8.2%,4.8%,1.6%,"28,170","21,671","24,460","29,688","33,114","52,586",627
Idaho,Twin Falls,"7,523",21.7%,36.7%,39.3%,2.4%,"47,071",7.3%,9.3%,30.1%,26.7%,9.8%,11.6%,5.1%,83.3%,16.8%,"10,023",84.8%,14.3%,"8,681",82.0%,18.8%,"17,978",84.8%,19.3%,"10,389",80.4%,13.1%,20.9%,10.6%,8.4%,3.1%,"28,328","21,560","26,291","26,758","36,957","50,969",634
Idaho,Valley,642,24.3%,46.6%,24.0%,5.1%,"7,215",2.7%,4.0%,29.7%,22.8%,4.7%,24.3%,11.8%,93.3%,36.1%,"1,047",91.8%,30.8%,"1,233",89.1%,37.1%,"3,441",95.5%,39.2%,"1,494",93.0%,32.0%,35.6%,13.9%,11.0%,4.6%,"31,728","18,137","20,958","33,705","39,496","45,395",643
Idaho,Washington,517,24.6%,55.5%,16.6%,3.3%,"7,097",7.5%,12.6%,30.3%,27.0%,5.3%,12.6%,4.7%,80.0%,17.4%,"1,042",78.6%,14.6%,"1,180",72.3%,13.9%,"2,914",85.9%,21.1%,"1,961",76.5%,15.4%,18.7%,12.3%,12.1%,3.7%,"23,692","20,794","21,593","24,882","33,021","60,729",649
Illinois,Adams,"6,084",12.1%,34.5%,44.8%,8.7%,"45,323",3.3%,7.5%,39.4%,21.7%,7.0%,14.6%,6.5%,89.2%,21.1%,"7,705",92.6%,31.1%,"8,119",95.5%,26.2%,"17,800",92.2%,21.5%,"11,699",78.0%,10.3%,21.1%,10.5%,6.8%,2.9%,"29,966","18,150","25,584","29,286","38,571","45,588",650
Illinois,Alexander,748,28.9%,23.0%,46.7%,1.5%,"5,735",8.1%,15.9%,36.8%,20.5%,9.4%,6.7%,2.8%,76.0%,9.5%,804,83.3%,15.5%,"1,135",79.9%,9.5%,"2,247",82.9%,7.7%,"1,549",59.5%,8.8%,30.2%,12.6%,8.9%,1.7%,"25,405","12,566","24,694","26,172","42,212","21,932",651
Illinois,Bond,"2,098",2.0%,41.2%,47.0%,9.8%,"12,050",3.5%,8.5%,34.9%,20.3%,8.1%,15.7%,8.9%,88.0%,24.7%,"2,200",95.1%,35.9%,"2,392",90.4%,30.1%,"4,802",90.2%,21.4%,"2,656",75.9%,16.4%,23.8%,10.4%,7.5%,3.4%,"33,016","25,507","27,845","32,477","44,011","43,487",652
Illinois,Boone,"4,275",27.9%,35.0%,30.3%,6.8%,"33,448",5.6%,9.0%,37.6%,20.1%,6.9%,13.7%,7.2%,85.4%,20.8%,"5,973",80.2%,20.4%,"8,365",87.7%,20.8%,"13,262",91.0%,23.5%,"5,848",74.9%,15.3%,13.6%,9.9%,3.8%,4.2%,"35,823","23,408","30,729","35,802","53,486","65,861",653
Illinois,Brown,703,42.4%,29.3%,25.2%,3.1%,"5,063",6.6%,17.8%,35.0%,22.3%,7.4%,6.9%,4.0%,75.6%,10.9%,"1,395",62.2%,10.5%,"1,140",72.4%,7.7%,"1,687",87.7%,16.9%,841,77.9%,3.7%,31.3%,8.3%,6.5%,6.8%,"25,406","11,124","23,703","26,540","32,321","45,197",654
Illinois,Bureau,"2,585",20.3%,39.7%,35.7%,4.3%,"24,313",3.7%,7.2%,42.0%,22.5%,8.6%,10.7%,5.4%,89.2%,16.1%,"3,790",90.8%,15.1%,"4,454",92.8%,16.0%,"9,790",90.2%,17.1%,"6,279",84.0%,15.1%,13.6%,11.5%,7.9%,4.1%,"30,718","21,558","27,181","30,968","38,103","49,420",2
Illinois,Calhoun,377,15.4%,42.2%,40.3%,2.1%,"3,618",8.2%,7.5%,43.0%,19.1%,9.7%,7.9%,4.7%,84.3%,12.5%,490,90.0%,23.7%,662,95.0%,17.2%,"1,458",90.1%,11.6%,"1,008",66.3%,5.5%,23.7%,10.1%,8.3%,9.5%,"32,470","18,646","26,227","40,072","40,300","49,750",4
Illinois,Carroll,"1,075",16.9%,38.9%,37.2%,7.0%,"11,340",4.2%,8.9%,41.3%,23.0%,6.7%,10.5%,5.4%,86.9%,15.9%,"1,491",84.9%,13.2%,"1,888",92.5%,24.3%,"4,687",89.5%,17.5%,"3,274",80.8%,10.0%,22.0%,8.2%,4.5%,3.2%,"28,584","20,088","25,196","30,545","40,948","51,250",6
Illinois,Cass,"1,080",13.9%,49.4%,27.9%,8.9%,"9,069",10.1%,9.3%,43.1%,21.4%,3.8%,8.3%,3.9%,80.6%,12.3%,"1,552",78.4%,16.4%,"1,723",85.1%,13.1%,"3,683",85.7%,14.2%,"2,111",69.7%,5.4%,21.3%,9.4%,13.2%,3.4%,"27,694","19,491","25,584","27,792","39,000","49,219",10
Illinois,Champaign,"48,424",4.5%,18.2%,63.1%,14.3%,"110,894",2.6%,5.0%,23.5%,19.7%,7.9%,20.5%,20.7%,92.3%,41.2%,"28,689",94.1%,54.8%,"21,691",93.8%,40.8%,"40,983",93.6%,38.5%,"19,531",85.4%,27.5%,29.0%,11.2%,9.7%,6.6%,"33,330","17,456","27,357","31,369","37,695","50,196",12
Illinois,Christian,"2,797",22.6%,39.2%,34.2%,4.0%,"24,168",4.3%,9.9%,42.6%,24.0%,7.1%,8.5%,3.6%,85.8%,12.1%,"3,968",88.7%,18.6%,"4,575",91.8%,13.6%,"9,567",89.2%,12.7%,"6,058",73.9%,5.8%,26.5%,11.2%,9.3%,4.5%,"29,252","17,365","25,678","30,303","40,909","44,375",14
Illinois,Clark,"1,252",23.2%,33.4%,37.1%,6.3%,"11,404",4.6%,7.4%,39.2%,21.4%,11.0%,11.0%,5.4%,88.0%,16.4%,"1,730",95.1%,22.3%,"2,205",91.6%,16.3%,"4,515",91.2%,18.3%,"2,954",76.3%,10.0%,20.9%,9.3%,8.2%,0.9%,"29,127","17,917","28,311","26,502","37,567","50,164",19
Illinois,Clay,"1,038",25.0%,37.0%,29.1%,9.0%,"9,626",5.9%,7.9%,42.4%,19.5%,10.5%,8.4%,5.4%,86.2%,13.8%,"1,498",98.6%,23.4%,"1,781",91.2%,15.2%,"3,855",90.8%,12.6%,"2,492",67.9%,8.9%,27.5%,10.5%,16.1%,2.8%,"27,282","15,658","23,882","28,465","38,438","53,750",22
Illinois,Clinton,"3,273",20.9%,32.1%,45.5%,1.6%,"25,642",7.0%,7.2%,30.7%,24.0%,12.2%,12.3%,6.6%,85.8%,18.9%,"4,904",87.1%,21.3%,"5,345",94.1%,23.3%,"9,889",91.0%,18.8%,"5,504",67.4%,12.8%,18.9%,7.6%,5.8%,1.9%,"34,869","20,735","28,480","34,554","42,323","54,159",27
Illinois,Coles,"13,129",4.7%,13.8%,75.6%,5.9%,"30,576",3.4%,7.4%,34.9%,22.8%,8.3%,13.6%,9.7%,89.3%,23.3%,"5,617",93.6%,23.6%,"5,404",92.5%,26.0%,"12,158",92.9%,26.4%,"7,397",77.7%,16.0%,32.2%,11.3%,8.0%,6.1%,"28,623","13,994","23,730","27,230","37,247","52,500",30
Illinois,Cook,"511,728",17.8%,28.6%,38.8%,14.8%,"3,413,901",8.2%,8.6%,24.9%,19.0%,6.2%,20.1%,13.1%,83.2%,33.2%,"822,935",87.5%,41.9%,"722,183",85.6%,36.4%,"1,256,514",84.2%,31.7%,"612,269",72.5%,20.5%,24.0%,14.3%,10.4%,4.7%,"37,408","20,946","27,544","34,933","50,928","65,300",36
Illinois,Crawford,"1,701",27.7%,32.9%,37.2%,2.2%,"13,593",4.8%,8.7%,36.1%,23.7%,13.2%,10.1%,3.4%,86.5%,13.5%,"2,078",91.0%,18.3%,"2,480",91.8%,16.9%,"5,603",88.7%,13.8%,"3,432",76.4%,7.8%,27.5%,13.3%,8.1%,2.6%,"28,483","15,256","24,832","30,832","41,069","41,667",40
Illinois,Cumberland,943,16.8%,45.9%,34.8%,2.5%,"7,485",5.5%,6.4%,43.1%,21.1%,10.9%,8.4%,4.7%,88.1%,13.0%,"1,243",95.2%,19.1%,"1,429",96.6%,16.8%,"3,014",90.3%,11.8%,"1,799",72.8%,7.9%,19.2%,10.5%,7.5%,1.9%,"29,408","12,500","23,189","32,325","41,090","48,182",44
Illinois,DeKalb,"22,467",3.5%,20.7%,65.1%,10.7%,"58,234",3.4%,5.9%,29.7%,24.5%,8.5%,17.1%,10.9%,90.7%,28.0%,"14,088",92.4%,31.2%,"12,484",94.1%,32.0%,"21,765",92.0%,29.0%,"9,897",80.8%,16.4%,23.1%,7.3%,6.8%,3.3%,"36,076","21,659","31,744","35,022","41,899","53,177",49
Illinois,De Witt,"1,273",12.1%,38.3%,41.9%,7.6%,"11,540",2.4%,7.3%,46.4%,22.3%,5.8%,13.0%,2.8%,90.3%,15.7%,"1,895",94.8%,18.7%,"2,222",92.8%,15.4%,"4,714",91.6%,18.4%,"2,709",82.7%,9.2%,10.6%,8.9%,5.9%,3.1%,"31,389","22,756","25,005","32,917","50,009","65,750",53
Illinois,Douglas,"1,750",30.9%,33.9%,30.0%,5.2%,"13,031",10.3%,8.0%,39.2%,21.2%,6.4%,10.3%,4.6%,81.7%,14.9%,"2,373",76.6%,18.2%,"2,489",85.4%,16.2%,"5,072",85.7%,15.8%,"3,097",76.3%,9.9%,15.7%,9.0%,5.6%,2.7%,"31,522","28,651","26,932","33,338","37,055","46,625",55
Illinois,DuPage,"78,394",11.9%,27.3%,44.3%,16.5%,"602,799",3.5%,4.5%,20.2%,19.6%,6.9%,28.1%,17.3%,92.0%,45.3%,"116,733",92.6%,49.2%,"132,980",92.9%,50.8%,"252,439",94.1%,47.5%,"100,647",84.8%,28.1%,14.4%,6.1%,4.5%,2.4%,"45,534","22,277","32,068","39,533","55,015","75,750",64
