County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Florida,St. Lucie,30.5%,43.9%,77.5%,14.8%,7.7%,975
Florida,Santa Rosa,36.2%,32.1%,79.0%,8.1%,12.9%,976
Florida,Sarasota,19.7%,55.4%,72.5%,19.1%,8.4%,977
Florida,Seminole,33.0%,30.0%,75.2%,22.2%,2.6%,978
Florida,Sumter,13.5%,73.7%,75.6%,2.5%,21.8%,979
Florida,Suwannee,32.5%,44.8%,47.0%,5.5%,47.5%,980
Florida,Taylor,33.4%,40.7%,63.4%,2.8%,33.8%,981
Florida,Union,37.5%,31.2%,58.3%,7.5%,34.2%,982
Florida,Volusia,25.1%,44.6%,74.9%,15.7%,9.4%,983
Florida,Wakulla,33.9%,31.6%,60.9%,3.4%,35.7%,984
Florida,Walton,27.8%,36.4%,68.3%,8.1%,23.6%,985
Florida,Washington,29.9%,41.9%,62.2%,4.5%,33.3%,986
Georgia,Appling,35.3%,36.1%,60.0%,6.4%,33.6%,987
Georgia,Atkinson,37.7%,32.0%,48.6%,7.3%,44.2%,988
Georgia,Bacon,33.1%,38.1%,68.2%,2.4%,29.4%,989
Georgia,Baker,34.8%,36.8%,61.9%,8.1%,30.0%,990
Georgia,Baldwin,28.4%,33.1%,61.4%,14.5%,24.1%,991
Georgia,Banks,33.9%,34.6%,61.3%,4.7%,34.0%,992
Georgia,Barrow,43.9%,27.9%,84.3%,6.2%,9.5%,993
Georgia,Bartow,38.0%,28.3%,77.1%,10.7%,12.1%,994
Georgia,Ben Hill,38.4%,36.4%,65.5%,11.1%,23.5%,995
Georgia,Berrien,36.5%,33.4%,63.7%,3.5%,32.7%,996
Georgia,Bibb,31.4%,33.7%,74.4%,22.8%,2.7%,997
Georgia,Bleckley,31.6%,43.3%,63.8%,10.5%,25.7%,998
Georgia,Brantley,39.2%,32.2%,50.1%,1.6%,48.3%,999
Georgia,Brooks,36.9%,35.8%,67.7%,5.2%,27.1%,565
Georgia,Bryan,46.5%,26.8%,75.2%,8.1%,16.7%,573
Georgia,Bulloch,30.0%,24.7%,54.6%,25.6%,19.7%,579
Georgia,Burke,40.6%,38.8%,54.4%,10.1%,35.5%,583
Georgia,Butts,33.6%,33.9%,84.6%,6.3%,9.1%,588
Georgia,Calhoun,31.4%,41.1%,74.2%,11.0%,14.8%,592
Georgia,Camden,40.4%,26.0%,70.7%,15.2%,14.1%,603
Georgia,Candler,42.3%,35.8%,65.1%,6.1%,28.9%,616
Georgia,Carroll,37.9%,28.7%,75.0%,13.4%,11.6%,620
Georgia,Catoosa,37.2%,34.4%,77.2%,10.8%,12.0%,626
Georgia,Charlton,33.1%,33.7%,54.4%,5.3%,40.3%,635
Georgia,Chatham,30.5%,30.8%,70.5%,24.8%,4.7%,646
Georgia,Chattahoochee,57.1%,13.6%,49.6%,34.1%,16.3%,656
Georgia,Chattooga,33.5%,37.4%,71.6%,9.6%,18.8%,659
Georgia,Cherokee,42.3%,25.1%,87.5%,8.7%,3.7%,662
Georgia,Clarke,24.4%,22.0%,56.0%,39.6%,4.4%,666
Georgia,Clay,27.8%,48.7%,57.9%,8.2%,33.9%,670
Georgia,Clayton,41.8%,20.0%,70.5%,26.4%,3.1%,673
Georgia,Clinch,36.7%,31.9%,70.0%,7.4%,22.6%,676
Georgia,Cobb,37.1%,23.1%,75.8%,23.0%,1.3%,680
Georgia,Coffee,39.1%,32.2%,58.6%,6.5%,34.9%,684
Georgia,Colquitt,40.8%,32.0%,60.6%,11.5%,27.8%,689
Georgia,Columbia,42.0%,26.8%,84.2%,6.6%,9.1%,692
Georgia,Cook,34.2%,33.9%,64.5%,3.5%,32.0%,697
Georgia,Coweta,40.4%,27.9%,85.1%,10.9%,4.0%,700
Georgia,Crawford,30.2%,30.4%,56.0%,2.5%,41.5%,704
Georgia,Crisp,36.9%,37.3%,59.8%,18.3%,21.9%,707
Georgia,Dade,33.5%,34.4%,74.7%,4.6%,20.8%,708
Georgia,Dawson,33.3%,35.9%,82.1%,5.1%,12.8%,713
Georgia,Decatur,33.5%,33.3%,65.8%,11.4%,22.8%,714
Georgia,DeKalb,32.5%,23.7%,65.5%,34.0%,0.5%,718
Georgia,Dodge,31.1%,35.5%,64.0%,9.0%,27.0%,720
Georgia,Dooly,33.0%,38.2%,61.3%,9.3%,29.4%,724
Georgia,Dougherty,33.8%,30.9%,65.1%,29.9%,5.0%,728
Georgia,Douglas,41.7%,23.5%,79.8%,15.1%,5.1%,731
Georgia,Early,36.1%,42.9%,66.2%,5.8%,28.0%,735
Georgia,Echols,48.3%,23.3%,47.8%,4.5%,47.6%,737
Georgia,Effingham,45.2%,25.8%,67.9%,6.6%,25.5%,742
Georgia,Elbert,33.2%,39.6%,65.8%,7.9%,26.3%,746
Georgia,Emanuel,39.4%,35.1%,64.7%,7.6%,27.7%,750
Georgia,Evans,34.9%,37.0%,64.8%,3.7%,31.5%,754
Georgia,Fannin,26.2%,45.3%,74.5%,6.6%,18.9%,755
Georgia,Fayette,41.6%,34.0%,88.9%,7.8%,3.3%,760
Georgia,Floyd,35.4%,36.7%,75.8%,15.3%,8.9%,764
Georgia,Forsyth,46.2%,24.3%,91.3%,3.3%,5.4%,768
Georgia,Franklin,32.4%,42.3%,66.9%,8.5%,24.7%,772
Georgia,Fulton,31.1%,23.3%,58.5%,40.9%,0.6%,779
Georgia,Gilmer,32.1%,36.8%,64.5%,6.1%,29.4%,781
Georgia,Glascock,47.1%,33.6%,58.0%,3.7%,38.3%,783
Georgia,Glynn,32.4%,36.5%,72.0%,15.6%,12.4%,793
Georgia,Gordon,37.1%,29.6%,73.9%,13.5%,12.6%,796
Georgia,Grady,36.2%,34.5%,64.4%,4.8%,30.7%,797
Georgia,Greene,27.2%,48.8%,72.4%,6.3%,21.4%,800
Georgia,Gwinnett,45.3%,20.9%,79.4%,19.1%,1.5%,804
Georgia,Habersham,33.3%,39.4%,74.2%,7.1%,18.7%,806
Georgia,Hall,40.3%,29.8%,76.1%,13.6%,10.4%,808
Georgia,Hancock,33.9%,46.1%,55.6%,5.6%,38.7%,810
Georgia,Haralson,35.3%,38.1%,71.4%,6.6%,22.0%,813
Georgia,Harris,34.7%,37.2%,88.3%,2.5%,9.3%,814
Georgia,Hart,33.6%,42.8%,71.0%,4.3%,24.7%,816
Georgia,Heard,36.0%,36.4%,58.4%,4.9%,36.7%,817
Georgia,Henry,45.4%,24.0%,87.1%,9.3%,3.6%,820
Georgia,Houston,39.2%,26.6%,76.2%,15.7%,8.1%,823
Georgia,Irwin,32.3%,39.9%,71.4%,2.1%,26.5%,825
Georgia,Jackson,38.7%,32.9%,76.6%,5.9%,17.4%,828
Georgia,Jasper,33.9%,33.8%,78.5%,3.6%,18.0%,830
Georgia,Jeff Davis,40.2%,34.9%,62.4%,7.9%,29.7%,832
Georgia,Jefferson,33.0%,42.9%,64.4%,11.7%,23.8%,834
Georgia,Jenkins,33.5%,43.3%,64.6%,2.9%,32.4%,835
Georgia,Johnson,31.2%,37.5%,67.2%,8.5%,24.4%,837
Georgia,Jones,38.3%,30.1%,78.2%,2.4%,19.3%,839
Georgia,Lamar,33.7%,36.6%,71.3%,10.9%,17.8%,841
Georgia,Lanier,47.9%,27.8%,58.0%,5.7%,36.3%,845
Georgia,Laurens,36.1%,33.9%,65.3%,12.1%,22.6%,847
Georgia,Lee,43.6%,26.4%,73.3%,9.4%,17.2%,849
Georgia,Liberty,46.1%,18.0%,60.3%,21.0%,18.7%,855
Georgia,Lincoln,33.2%,42.5%,66.2%,3.0%,30.8%,857
Georgia,Long,40.9%,22.6%,43.0%,1.4%,55.5%,860
Georgia,Lowndes,36.2%,27.4%,69.1%,18.8%,12.1%,863
Georgia,Lumpkin,33.2%,30.4%,72.2%,5.6%,22.2%,865
Georgia,McDuffie,33.4%,36.6%,63.9%,10.4%,25.7%,868
Georgia,McIntosh,27.7%,39.0%,57.2%,5.4%,37.5%,871
Georgia,Macon,28.4%,37.8%,66.2%,10.7%,23.1%,874
Georgia,Madison,37.6%,35.4%,65.4%,3.3%,31.2%,875
Georgia,Marion,26.3%,41.1%,51.5%,10.9%,37.6%,877
Georgia,Meriwether,33.5%,36.8%,72.7%,6.0%,21.3%,879
Georgia,Miller,35.8%,37.9%,72.8%,3.7%,23.6%,881
Georgia,Mitchell,36.0%,35.7%,60.8%,11.7%,27.5%,883
Georgia,Monroe,37.1%,35.5%,72.3%,3.9%,23.8%,885
Georgia,Montgomery,32.8%,35.5%,57.0%,6.9%,36.2%,887
Georgia,Morgan,38.9%,37.1%,77.4%,3.6%,19.0%,890
Georgia,Murray,37.7%,31.2%,57.9%,7.0%,35.1%,892
Georgia,Muscogee,35.7%,30.3%,70.8%,26.9%,2.3%,896
Georgia,Newton,45.2%,27.3%,87.4%,7.9%,4.6%,899
Georgia,Oconee,42.6%,28.0%,88.4%,4.8%,6.8%,901
Georgia,Oglethorpe,31.5%,42.0%,67.3%,2.4%,30.3%,905
Georgia,Paulding,48.0%,20.8%,87.9%,7.2%,4.9%,908
Georgia,Peach,32.7%,32.4%,70.3%,14.3%,15.4%,910
Georgia,Pickens,33.2%,39.6%,75.4%,7.4%,17.2%,912
Georgia,Pierce,38.3%,35.8%,61.2%,6.1%,32.7%,915
Georgia,Pike,42.9%,33.5%,81.5%,2.7%,15.8%,7
Georgia,Polk,38.1%,35.0%,78.0%,10.1%,11.9%,8
Georgia,Pulaski,32.0%,42.3%,63.8%,8.2%,28.0%,11
Georgia,Putnam,28.3%,41.0%,62.3%,3.6%,34.1%,13
Georgia,Quitman,29.2%,45.6%,55.7%,2.4%,42.0%,16
Georgia,Rabun,27.4%,45.0%,77.8%,7.8%,14.5%,18
Georgia,Randolph,24.4%,44.6%,74.4%,4.5%,21.1%,23
Georgia,Richmond,34.2%,29.2%,68.2%,24.3%,7.5%,24
Georgia,Rockdale,41.0%,30.0%,77.8%,19.3%,2.9%,28
Georgia,Schley,42.0%,31.8%,59.1%,8.5%,32.5%,31
Georgia,Screven,30.7%,43.4%,61.6%,6.5%,31.9%,34
Georgia,Seminole,32.8%,38.9%,68.1%,4.3%,27.7%,38
Georgia,Spalding,37.4%,33.6%,78.3%,13.9%,7.8%,41
Georgia,Stephens,32.0%,42.0%,66.4%,8.6%,25.0%,45
Georgia,Stewart,29.9%,44.3%,69.0%,5.4%,25.5%,48
Georgia,Sumter,36.5%,32.2%,62.3%,19.6%,18.1%,52
Georgia,Talbot,31.3%,38.0%,70.5%,5.8%,23.7%,57
Georgia,Taliaferro,22.0%,45.9%,67.2%,6.5%,26.3%,60
Georgia,Tattnall,32.4%,33.0%,61.5%,5.4%,33.1%,63
Georgia,Taylor,40.1%,41.2%,60.9%,7.1%,32.0%,69
Georgia,Telfair,33.3%,35.6%,65.4%,10.0%,24.6%,75
Georgia,Terrell,34.9%,40.0%,68.4%,12.9%,18.7%,78
Georgia,Thomas,33.8%,35.7%,69.1%,12.0%,19.0%,83
Georgia,Tift,39.7%,32.6%,62.4%,14.3%,23.3%,87
Georgia,Toombs,39.9%,32.0%,63.8%,11.9%,24.3%,91
Georgia,Towns,22.0%,58.6%,78.0%,2.1%,19.9%,95
Georgia,Treutlen,41.5%,37.7%,64.2%,6.4%,29.4%,102
Georgia,Troup,36.8%,32.3%,77.7%,15.0%,7.3%,105
Georgia,Turner,37.0%,40.4%,68.5%,14.9%,16.6%,108
Georgia,Twiggs,21.6%,45.1%,62.5%,3.4%,34.1%,116
Georgia,Union,22.9%,51.7%,82.8%,5.0%,12.2%,120
Georgia,Upson,33.8%,38.7%,74.4%,10.0%,15.6%,123
Georgia,Walker,34.5%,36.7%,76.6%,8.5%,14.9%,126
Georgia,Walton,40.6%,30.1%,85.2%,8.4%,6.5%,127
Georgia,Ware,33.0%,39.4%,68.5%,11.1%,20.4%,132
Georgia,Warren,27.9%,40.6%,51.0%,11.6%,37.4%,135
Georgia,Washington,33.7%,39.0%,65.0%,6.3%,28.6%,143
Georgia,Wayne,36.4%,36.0%,61.5%,6.6%,31.9%,147
Georgia,Webster,28.8%,42.5%,48.1%,4.8%,47.1%,149
Georgia,Wheeler,31.3%,44.2%,63.8%,8.2%,28.1%,154
Georgia,White,35.4%,36.5%,73.9%,5.7%,20.4%,157
Georgia,Whitfield,40.7%,29.1%,68.8%,16.3%,14.8%,159
Georgia,Wilcox,34.4%,45.4%,72.5%,4.1%,23.4%,163
Georgia,Wilkes,24.2%,44.3%,72.0%,6.6%,21.4%,167
Georgia,Wilkinson,30.4%,40.8%,69.2%,1.9%,28.9%,169
Georgia,Worth,37.4%,38.0%,58.7%,7.7%,33.7%,173
Hawaii,Hawaii,30.9%,40.4%,83.7%,16.0%,0.3%,198
Hawaii,Honolulu,35.2%,39.1%,57.4%,42.5%,0.1%,234
Hawaii,Kalawao,0.0%,55.2%,82.1%,17.9%,0.0%,247
Hawaii,Kauai,35.9%,40.2%,84.1%,15.7%,0.2%,261
Hawaii,Maui,34.7%,35.9%,72.5%,27.3%,0.2%,323
Idaho,Ada,36.1%,26.2%,79.2%,16.9%,3.9%,336
Idaho,Adams,29.8%,42.6%,77.8%,3.9%,18.3%,338
Idaho,Bannock,35.1%,26.9%,73.2%,18.4%,8.4%,343
Idaho,Bear Lake,37.7%,40.6%,83.1%,8.1%,8.8%,349
Idaho,Benewah,32.5%,37.5%,70.4%,6.4%,23.3%,354
Idaho,Bingham,41.6%,32.1%,77.4%,9.2%,13.4%,362
Idaho,Blaine,32.6%,27.6%,72.0%,21.9%,6.1%,371
Idaho,Boise,26.6%,34.8%,79.4%,1.1%,19.5%,380
Idaho,Bonner,28.8%,36.7%,73.8%,9.5%,16.7%,387
Idaho,Bonneville,40.8%,29.3%,77.8%,16.3%,5.9%,395
Idaho,Boundary,32.6%,37.4%,83.0%,4.0%,13.0%,405
Idaho,Butte,30.6%,43.9%,77.5%,7.4%,15.1%,414
Idaho,Camas,39.3%,33.7%,91.1%,0.0%,8.9%,429
Idaho,Canyon,43.1%,28.8%,79.9%,10.8%,9.3%,441
Idaho,Caribou,37.3%,37.0%,81.2%,7.5%,11.3%,449
Idaho,Cassia,42.1%,33.6%,75.4%,8.1%,16.5%,456
Idaho,Clark,42.8%,53.3%,52.7%,6.6%,40.7%,464
Idaho,Clearwater,23.7%,50.0%,70.9%,6.8%,22.3%,474
Idaho,Custer,27.0%,37.6%,78.5%,6.9%,14.6%,484
Idaho,Elmore,43.6%,25.5%,78.1%,9.0%,12.9%,490
Idaho,Franklin,42.3%,34.1%,90.6%,4.7%,4.7%,498
Idaho,Fremont,37.7%,38.1%,81.7%,4.6%,13.7%,502
Idaho,Gem,32.2%,41.4%,82.0%,5.9%,12.1%,510
Idaho,Gooding,36.3%,38.0%,77.0%,5.6%,17.4%,519
Idaho,Idaho,25.1%,46.4%,76.0%,4.6%,19.4%,528
Idaho,Jefferson,47.5%,26.9%,78.7%,4.2%,17.1%,540
Idaho,Jerome,42.3%,28.3%,76.8%,9.7%,13.5%,547
Idaho,Kootenai,33.6%,34.1%,74.4%,15.0%,10.6%,552
Idaho,Latah,28.3%,22.6%,52.2%,34.6%,13.2%,559
Idaho,Lemhi,23.6%,44.7%,71.1%,7.2%,21.7%,566
Idaho,Lewis,22.7%,47.1%,75.7%,5.7%,18.6%,574
Idaho,Lincoln,40.2%,27.5%,76.6%,1.6%,21.8%,578
Idaho,Madison,39.2%,18.1%,53.5%,39.8%,6.7%,581
Idaho,Minidoka,39.8%,37.4%,77.9%,7.7%,14.5%,585
Idaho,Nez Perce,28.2%,36.5%,71.8%,18.1%,10.1%,589
Idaho,Oneida,37.1%,41.2%,91.3%,4.3%,4.4%,593
Idaho,Owyhee,38.7%,36.2%,71.7%,4.8%,23.5%,601
Idaho,Payette,37.9%,36.2%,75.1%,7.9%,16.9%,606
Idaho,Power,43.0%,31.8%,72.7%,5.8%,21.5%,613
Idaho,Shoshone,28.2%,41.8%,77.4%,9.5%,13.1%,621
Idaho,Teton,42.1%,15.8%,72.3%,17.2%,10.5%,627
Idaho,Twin Falls,36.6%,33.9%,78.0%,14.1%,7.9%,634
Idaho,Valley,27.0%,34.9%,81.3%,5.4%,13.4%,643
Idaho,Washington,36.2%,45.1%,79.8%,7.6%,12.7%,649
Illinois,Adams,30.8%,37.8%,79.0%,15.3%,5.7%,650
Illinois,Alexander,26.5%,40.5%,70.6%,15.3%,14.1%,651
Illinois,Bond,34.3%,37.4%,83.0%,6.7%,10.3%,652
Illinois,Boone,41.6%,31.4%,82.8%,10.9%,6.3%,653
Illinois,Brown,28.3%,37.1%,82.9%,11.1%,6.0%,654
Illinois,Bureau,30.4%,38.9%,84.9%,12.1%,3.0%,2
Illinois,Calhoun,25.9%,39.7%,80.1%,8.1%,11.8%,4
Illinois,Carroll,26.9%,41.3%,84.7%,11.8%,3.6%,6
Illinois,Cass,34.5%,32.7%,80.8%,10.5%,8.6%,10
Illinois,Champaign,27.8%,24.2%,62.7%,32.9%,4.4%,12
Illinois,Christian,30.8%,38.5%,84.8%,9.4%,5.8%,14
Illinois,Clark,35.0%,37.8%,84.1%,6.2%,9.7%,19
Illinois,Clay,28.2%,40.2%,73.1%,10.5%,16.3%,22
Illinois,Clinton,36.2%,34.6%,83.2%,7.9%,9.0%,27
Illinois,Coles,28.2%,30.1%,71.2%,22.8%,6.0%,30
Illinois,Cook,32.8%,31.0%,48.1%,51.1%,0.8%,36
Illinois,Crawford,29.8%,39.0%,83.1%,8.0%,9.0%,40
Illinois,Cumberland,30.1%,39.4%,82.4%,4.6%,13.0%,44
Illinois,DeKalb,33.5%,24.9%,70.3%,27.1%,2.5%,49
Illinois,De Witt,30.1%,36.7%,85.3%,11.2%,3.5%,53
Illinois,Douglas,33.5%,35.1%,84.9%,10.2%,4.8%,55
Illinois,DuPage,36.6%,29.2%,73.4%,26.4%,0.2%,64
Illinois,Edgar,28.7%,39.6%,85.6%,7.7%,6.7%,66
Illinois,Edwards,25.9%,37.2%,79.5%,6.1%,14.4%,71
Illinois,Effingham,33.4%,33.9%,81.1%,12.0%,6.9%,76
Illinois,Fayette,33.2%,37.2%,79.9%,7.7%,12.4%,79
Illinois,Ford,32.8%,38.2%,89.4%,7.3%,3.3%,81
Illinois,Franklin,30.3%,41.6%,79.4%,7.7%,12.9%,85
Illinois,Fulton,30.5%,39.9%,85.0%,9.5%,5.5%,89
Illinois,Gallatin,27.3%,43.8%,73.9%,7.7%,18.5%,92
Illinois,Greene,30.6%,38.3%,83.3%,8.5%,8.2%,96
Illinois,Grundy,39.2%,29.4%,82.4%,12.3%,5.4%,99
Illinois,Hamilton,32.5%,43.8%,81.6%,5.5%,12.9%,106
Illinois,Hancock,28.7%,41.6%,85.4%,8.5%,6.2%,111
Illinois,Hardin,25.3%,45.5%,71.3%,10.7%,18.0%,113
Illinois,Henderson,24.9%,42.0%,82.0%,4.8%,13.2%,117
Illinois,Henry,29.8%,37.0%,86.5%,10.6%,2.9%,121
Illinois,Iroquois,33.7%,36.5%,87.5%,8.9%,3.6%,125
Illinois,Jackson,24.1%,27.1%,58.7%,28.0%,13.2%,129
Illinois,Jasper,33.7%,34.7%,82.7%,6.4%,10.9%,133
Illinois,Jefferson,30.9%,37.7%,70.5%,11.0%,18.5%,137
Illinois,Jersey,32.1%,35.2%,83.0%,8.9%,8.2%,142
Illinois,Jo Daviess,27.6%,43.3%,85.1%,10.9%,4.0%,145
Illinois,Johnson,28.3%,46.6%,67.9%,8.2%,23.9%,152
Illinois,Kane,42.7%,27.3%,80.1%,19.2%,0.6%,156
Illinois,Kankakee,35.4%,33.3%,76.3%,17.8%,6.0%,161
Illinois,Kendall,47.4%,21.1%,92.0%,7.7%,0.3%,165
Illinois,Knox,28.1%,40.7%,78.8%,17.0%,4.2%,166
Illinois,Lake,41.9%,28.3%,79.8%,18.4%,1.8%,170
Illinois,LaSalle,32.0%,36.2%,83.2%,12.3%,4.5%,175
Illinois,Lawrence,34.7%,37.9%,76.1%,8.6%,15.3%,177
Illinois,Lee,31.0%,35.6%,81.8%,14.4%,3.8%,180
Illinois,Livingston,31.7%,35.4%,80.9%,13.8%,5.2%,182
Illinois,Logan,30.1%,38.6%,83.3%,11.3%,5.5%,186
Illinois,McDonough,23.7%,33.5%,69.6%,24.4%,6.1%,189
Illinois,McHenry,41.2%,27.5%,88.7%,10.6%,0.7%,192
Illinois,McLean,31.6%,25.3%,68.8%,26.3%,4.9%,193
Illinois,Macon,28.8%,35.7%,81.7%,15.4%,3.0%,194
Illinois,Macoupin,33.7%,35.9%,83.6%,8.1%,8.3%,196
Illinois,Madison,32.0%,32.9%,81.2%,15.6%,3.2%,199
Illinois,Marion,32.9%,39.4%,74.2%,9.4%,16.4%,201
Illinois,Marshall,27.5%,40.6%,88.3%,8.2%,3.6%,202
Illinois,Mason,30.2%,41.3%,86.0%,6.1%,7.9%,206
Illinois,Massac,31.4%,38.6%,75.5%,7.6%,16.8%,208
Illinois,Menard,34.9%,34.6%,86.9%,6.3%,6.8%,212
Illinois,Mercer,36.0%,35.6%,88.5%,7.2%,4.4%,216
Illinois,Monroe,36.3%,32.5%,87.3%,10.1%,2.5%,219
Illinois,Montgomery,29.4%,37.9%,85.4%,6.6%,8.0%,223
Illinois,Morgan,28.1%,37.4%,77.0%,17.2%,5.8%,225
Illinois,Moultrie,31.6%,36.1%,86.8%,7.9%,5.3%,227
Illinois,Ogle,33.6%,32.9%,83.8%,13.2%,3.0%,229
Illinois,Peoria,30.7%,31.9%,76.8%,21.6%,1.6%,233
Illinois,Perry,29.4%,39.9%,79.4%,7.9%,12.7%,235
Illinois,Piatt,32.8%,34.5%,87.9%,7.4%,4.7%,238
Illinois,Pike,28.9%,42.2%,83.8%,7.5%,8.7%,241
Illinois,Pope,25.3%,44.0%,73.8%,8.1%,18.1%,245
Illinois,Pulaski,27.8%,43.9%,67.1%,14.2%,18.8%,248
Illinois,Putnam,26.6%,41.0%,85.4%,9.6%,5.0%,253
Illinois,Randolph,31.7%,39.0%,77.8%,8.7%,13.5%,255
Illinois,Richland,30.1%,38.9%,80.4%,8.7%,10.9%,259
Illinois,Rock Island,29.0%,36.3%,77.3%,20.2%,2.5%,265
Illinois,St. Clair,35.7%,31.1%,74.9%,19.1%,6.0%,269
Illinois,Saline,31.0%,39.7%,77.3%,11.2%,11.6%,271
Illinois,Sangamon,31.6%,31.8%,76.6%,18.3%,5.0%,274
Illinois,Schuyler,32.1%,40.4%,87.7%,6.6%,5.7%,278
Illinois,Scott,27.7%,38.5%,84.9%,6.5%,8.6%,280
Illinois,Shelby,27.4%,39.6%,84.0%,5.9%,10.1%,283
Illinois,Stark,28.5%,41.7%,89.4%,7.5%,3.1%,285
Illinois,Stephenson,29.1%,39.9%,78.4%,17.6%,4.0%,290
Illinois,Tazewell,31.7%,34.8%,84.8%,13.3%,1.8%,291
Illinois,Union,34.7%,40.1%,73.1%,8.7%,18.2%,293
Illinois,Vermilion,30.0%,38.3%,80.1%,13.6%,6.2%,296
Illinois,Wabash,28.7%,37.1%,80.9%,8.0%,11.1%,299
Illinois,Warren,29.0%,38.8%,85.7%,12.0%,2.3%,301
Illinois,Washington,30.7%,37.2%,86.2%,3.4%,10.4%,305
Illinois,Wayne,28.8%,40.3%,67.5%,7.8%,24.7%,310
Illinois,White,28.1%,38.5%,80.4%,6.9%,12.6%,312
Illinois,Whiteside,32.5%,38.2%,83.9%,13.0%,3.1%,314
Illinois,Will,44.9%,26.1%,87.4%,11.2%,1.5%,320
Illinois,Williamson,30.8%,36.4%,73.8%,14.9%,11.3%,324
Illinois,Winnebago,33.7%,32.8%,75.3%,22.8%,1.8%,325
Illinois,Woodford,35.9%,33.0%,88.1%,8.5%,3.4%,328
Indiana,Adams,37.2%,32.1%,84.7%,12.7%,2.5%,330
Indiana,Allen,34.9%,28.1%,77.4%,19.0%,3.5%,335
Indiana,Bartholomew,35.7%,32.1%,78.8%,14.1%,7.1%,342
Indiana,Benton,30.5%,36.5%,90.2%,7.4%,2.3%,179
Indiana,Blackford,32.9%,40.2%,78.0%,12.0%,10.0%,183
Indiana,Boone,41.3%,28.4%,85.8%,10.9%,3.3%,185
Indiana,Brown,27.1%,40.2%,88.9%,2.5%,8.6%,188
Indiana,Carroll,32.4%,36.0%,86.8%,6.4%,6.8%,195
Indiana,Cass,36.0%,35.3%,81.7%,11.4%,6.9%,211
Indiana,Clark,32.8%,30.7%,75.0%,18.7%,6.2%,215
Indiana,Clay,35.0%,34.3%,82.3%,6.2%,11.5%,221
Indiana,Clinton,32.8%,34.2%,85.6%,11.0%,3.5%,226
Indiana,Crawford,32.5%,37.3%,72.9%,3.8%,23.3%,232
Indiana,Daviess,36.0%,35.2%,83.6%,7.1%,9.3%,239
Indiana,Dearborn,36.6%,31.7%,82.6%,12.5%,4.9%,242
Indiana,Decatur,35.5%,33.5%,82.2%,11.7%,6.1%,246
Indiana,DeKalb,36.3%,31.2%,79.8%,11.0%,9.2%,249
Indiana,Delaware,27.1%,33.5%,76.5%,18.6%,4.9%,252
Indiana,Dubois,34.7%,33.1%,84.0%,10.6%,5.4%,254
Indiana,Elkhart,38.6%,29.9%,75.6%,17.4%,7.0%,260
Indiana,Fayette,32.6%,38.7%,81.4%,12.5%,6.1%,263
Indiana,Floyd,35.6%,29.0%,81.8%,15.9%,2.3%,267
Indiana,Fountain,32.1%,38.1%,82.9%,7.4%,9.7%,270
Indiana,Franklin,36.6%,30.3%,83.1%,5.2%,11.8%,272
Indiana,Fulton,33.7%,35.3%,78.3%,9.5%,12.2%,276
Indiana,Gibson,30.6%,35.3%,79.6%,9.9%,10.5%,286
Indiana,Grant,30.5%,37.4%,79.9%,14.2%,6.0%,297
Indiana,Greene,29.6%,37.9%,76.8%,6.3%,16.9%,309
Indiana,Hamilton,44.0%,22.4%,84.2%,13.9%,2.0%,321
Indiana,Hancock,38.1%,31.4%,86.7%,11.4%,2.0%,329
Indiana,Harrison,34.2%,32.5%,81.3%,5.9%,12.8%,334
Indiana,Hendricks,41.2%,27.0%,87.4%,10.7%,1.9%,341
Indiana,Henry,31.6%,37.2%,83.3%,11.6%,5.1%,344
Indiana,Howard,32.7%,34.9%,79.7%,15.8%,4.5%,348
Indiana,Huntington,30.5%,34.3%,85.3%,9.8%,5.0%,352
Indiana,Jackson,36.0%,31.5%,76.5%,11.7%,11.8%,355
Indiana,Jasper,37.1%,33.4%,84.7%,10.1%,5.2%,356
Indiana,Jay,31.2%,38.5%,85.8%,8.0%,6.2%,358
Indiana,Jefferson,32.5%,33.7%,74.6%,13.3%,12.1%,363
Indiana,Jennings,38.9%,32.6%,66.0%,7.3%,26.7%,367
Indiana,Johnson,37.0%,30.1%,82.4%,14.5%,3.1%,370
Indiana,Knox,30.0%,37.5%,79.9%,14.4%,5.7%,376
Indiana,Kosciusko,36.3%,30.5%,78.7%,11.0%,10.3%,384
Indiana,LaGrange,41.5%,31.8%,84.7%,6.6%,8.7%,386
Indiana,Lake,34.6%,33.9%,77.9%,20.4%,1.7%,389
Indiana,LaPorte,31.7%,35.1%,80.3%,15.0%,4.7%,392
Indiana,Lawrence,32.3%,37.7%,76.8%,10.0%,13.2%,396
Indiana,Madison,31.7%,36.0%,82.2%,11.8%,6.0%,401
Indiana,Marion,32.0%,26.6%,69.5%,28.9%,1.6%,409
Indiana,Marshall,35.8%,34.9%,83.0%,11.0%,6.0%,412
Indiana,Martin,29.4%,37.3%,73.9%,4.7%,21.5%,418
Indiana,Miami,30.6%,38.4%,76.2%,8.4%,15.3%,420
Indiana,Monroe,24.1%,25.0%,61.6%,32.9%,5.5%,422
Indiana,Montgomery,32.0%,35.8%,79.5%,14.0%,6.5%,425
Indiana,Morgan,36.5%,32.3%,86.8%,7.1%,6.0%,430
