County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Illinois,Franklin,7.0%,9.7%,8.4%,26.1%,23.1%,25.7%,7.0%,35.5%,37.2%,20.2%,85
Illinois,Fulton,5.2%,4.8%,4.9%,26.7%,22.1%,36.3%,5.4%,31.7%,39.1%,23.7%,89
Illinois,Gallatin,6.4%,11.4%,9.3%,36.6%,16.3%,20.1%,6.1%,25.9%,41.0%,27.0%,92
Illinois,Greene,5.0%,9.6%,4.9%,23.7%,17.3%,39.4%,5.2%,32.8%,38.0%,24.0%,96
Illinois,Grundy,27.2%,15.0%,8.8%,22.6%,12.3%,14.2%,5.2%,26.9%,42.7%,25.1%,99
Illinois,Hamilton,10.0%,10.0%,4.8%,26.5%,23.7%,24.9%,3.7%,29.8%,35.9%,30.5%,106
Illinois,Hancock,5.0%,7.4%,7.5%,27.1%,13.7%,39.3%,3.8%,30.2%,39.3%,26.7%,111
Illinois,Hardin,1.6%,13.9%,11.7%,28.4%,19.0%,25.5%,7.5%,36.8%,34.7%,20.9%,113
Illinois,Henderson,3.0%,9.8%,10.1%,29.1%,14.3%,33.8%,6.6%,27.4%,39.9%,26.1%,117
Illinois,Henry,6.0%,6.8%,5.6%,29.1%,21.9%,30.6%,6.2%,28.0%,41.6%,24.2%,121
Illinois,Iroquois,6.5%,8.7%,6.2%,23.2%,18.6%,36.8%,4.8%,27.6%,41.9%,25.6%,125
Illinois,Jackson,9.6%,10.8%,14.2%,36.3%,14.5%,14.6%,10.0%,38.9%,34.6%,16.5%,129
Illinois,Jasper,9.9%,9.2%,12.1%,28.8%,18.7%,21.3%,4.1%,25.0%,39.3%,31.6%,133
Illinois,Jefferson,9.5%,14.4%,12.5%,29.2%,20.6%,13.8%,8.7%,32.9%,39.0%,19.4%,137
Illinois,Jersey,11.2%,14.6%,11.6%,26.0%,19.5%,17.2%,3.1%,24.8%,43.6%,28.6%,142
Illinois,Jo Daviess,8.8%,13.1%,7.3%,20.9%,14.8%,35.1%,5.2%,26.6%,44.8%,23.5%,145
Illinois,Johnson,15.2%,14.0%,18.2%,29.3%,10.6%,12.8%,3.6%,31.8%,41.3%,23.3%,152
Illinois,Kane,20.4%,17.3%,9.5%,23.1%,14.4%,15.3%,4.8%,27.3%,44.6%,23.4%,156
Illinois,Kankakee,12.2%,14.7%,7.3%,27.9%,22.0%,16.0%,7.7%,34.1%,39.3%,18.9%,161
Illinois,Kendall,46.6%,16.1%,4.9%,19.5%,5.9%,6.9%,2.3%,21.8%,51.2%,24.8%,165
Illinois,Knox,2.7%,5.1%,6.2%,29.6%,22.8%,33.7%,9.0%,36.0%,36.9%,18.1%,166
Illinois,Lake,14.3%,19.8%,14.8%,26.9%,15.2%,9.0%,4.5%,26.8%,46.4%,22.3%,170
Illinois,LaSalle,7.7%,11.6%,6.1%,21.7%,21.0%,31.9%,5.7%,32.1%,40.8%,21.5%,175
Illinois,Lawrence,4.5%,9.0%,8.6%,26.3%,19.2%,32.4%,5.7%,34.3%,36.3%,23.7%,177
Illinois,Lee,5.7%,8.5%,6.6%,22.7%,20.4%,36.1%,6.4%,31.6%,36.8%,25.3%,180
Illinois,Livingston,5.5%,9.1%,8.7%,23.9%,18.8%,33.9%,4.9%,34.3%,39.3%,21.5%,182
Illinois,Logan,3.2%,7.8%,6.8%,27.8%,21.3%,33.0%,5.2%,31.3%,41.3%,22.3%,186
Illinois,McDonough,9.6%,5.9%,6.9%,31.5%,15.2%,30.9%,7.3%,41.0%,35.2%,16.5%,189
Illinois,McHenry,20.0%,24.6%,12.9%,22.2%,11.7%,8.7%,3.0%,23.3%,47.5%,26.2%,192
Illinois,McLean,15.4%,18.9%,11.0%,26.2%,10.8%,17.7%,5.5%,34.0%,43.0%,17.5%,193
Illinois,Macon,6.0%,7.3%,7.3%,31.4%,27.8%,20.3%,9.4%,34.4%,37.7%,18.5%,194
Illinois,Macoupin,7.9%,12.8%,7.3%,27.3%,17.1%,27.6%,4.7%,29.5%,42.4%,23.4%,196
Illinois,Madison,10.2%,12.1%,9.2%,27.5%,25.3%,15.7%,5.6%,33.1%,40.7%,20.6%,199
Illinois,Marion,6.9%,11.4%,12.6%,29.8%,20.3%,18.8%,7.3%,34.3%,37.3%,21.1%,201
Illinois,Marshall,5.1%,6.2%,7.2%,29.6%,19.6%,32.3%,3.8%,31.5%,39.0%,25.7%,202
Illinois,Mason,5.7%,6.7%,5.2%,33.6%,17.3%,31.5%,3.8%,32.5%,41.1%,22.6%,206
Illinois,Massac,6.5%,17.4%,10.2%,30.1%,19.5%,16.3%,5.4%,34.8%,38.3%,21.6%,208
Illinois,Menard,9.9%,18.7%,5.8%,26.8%,10.9%,27.9%,3.4%,25.5%,43.8%,27.3%,212
Illinois,Mercer,6.3%,11.4%,5.3%,23.2%,13.3%,40.6%,3.8%,25.1%,41.2%,29.9%,216
Illinois,Monroe,21.4%,23.3%,11.1%,19.3%,10.6%,14.2%,2.8%,21.4%,46.1%,29.8%,219
Illinois,Montgomery,7.9%,8.5%,7.7%,23.1%,22.2%,30.6%,5.0%,32.1%,42.3%,20.5%,223
Illinois,Morgan,6.0%,9.4%,7.0%,29.4%,19.8%,28.5%,6.4%,34.0%,39.2%,20.4%,225
Illinois,Moultrie,5.7%,10.3%,6.0%,29.7%,22.9%,25.4%,10.0%,25.6%,42.1%,22.3%,227
Illinois,Ogle,9.9%,13.2%,7.3%,27.3%,15.9%,26.4%,4.8%,27.1%,39.1%,29.0%,229
Illinois,Peoria,7.7%,8.0%,5.8%,30.8%,26.7%,21.0%,9.1%,36.9%,37.0%,17.0%,233
Illinois,Perry,6.7%,7.8%,9.8%,29.3%,20.7%,25.6%,4.0%,34.6%,38.3%,23.0%,235
Illinois,Piatt,6.6%,12.3%,8.8%,28.0%,13.2%,31.1%,2.7%,26.7%,46.3%,24.3%,238
Illinois,Pike,5.5%,7.5%,5.0%,26.9%,23.0%,32.1%,4.0%,32.0%,39.5%,24.5%,241
Illinois,Pope,6.1%,14.8%,20.1%,19.6%,18.2%,21.2%,7.6%,24.7%,39.0%,28.6%,245
Illinois,Pulaski,6.1%,8.9%,14.7%,27.9%,15.9%,26.5%,12.5%,31.4%,38.2%,17.8%,248
Illinois,Putnam,4.7%,17.5%,5.1%,32.0%,10.9%,29.9%,3.1%,27.2%,45.5%,24.2%,253
Illinois,Randolph,7.9%,11.8%,8.9%,29.9%,21.0%,20.6%,4.9%,29.8%,40.8%,24.5%,255
Illinois,Richland,6.0%,8.9%,10.2%,33.5%,25.1%,16.4%,5.3%,31.3%,39.9%,23.5%,259
Illinois,Rock Island,4.3%,6.7%,5.7%,30.4%,27.6%,25.3%,8.6%,35.8%,38.8%,16.7%,265
Illinois,St. Clair,13.8%,13.0%,10.8%,24.1%,23.2%,15.1%,8.4%,35.8%,36.9%,18.9%,269
Illinois,Saline,10.3%,9.9%,10.2%,25.5%,25.4%,18.7%,8.7%,34.3%,39.6%,17.4%,271
Illinois,Sangamon,10.4%,16.0%,11.1%,28.5%,18.6%,15.3%,6.9%,38.0%,37.7%,17.3%,274
Illinois,Schuyler,4.2%,9.9%,7.6%,27.9%,18.2%,32.2%,7.2%,29.6%,40.1%,23.1%,278
Illinois,Scott,6.7%,8.6%,8.6%,28.3%,13.0%,34.7%,3.5%,30.7%,37.8%,28.1%,280
Illinois,Shelby,1.9%,10.8%,9.4%,28.3%,20.8%,28.8%,7.2%,28.0%,39.0%,25.7%,283
Illinois,Stark,3.0%,2.4%,3.6%,23.3%,18.7%,49.0%,2.4%,30.2%,37.8%,29.7%,285
Illinois,Stephenson,3.8%,10.1%,8.2%,25.0%,19.7%,33.1%,8.9%,30.4%,41.4%,19.3%,290
Illinois,Tazewell,9.0%,9.1%,5.4%,35.7%,25.8%,15.0%,5.2%,29.6%,42.6%,22.6%,291
Illinois,Union,6.6%,14.8%,14.0%,27.3%,16.7%,20.7%,6.0%,32.3%,40.8%,21.0%,293
Illinois,Vermilion,3.5%,6.7%,6.9%,27.5%,25.1%,30.3%,10.1%,34.4%,37.0%,18.5%,296
Illinois,Wabash,7.6%,10.3%,7.8%,24.8%,25.3%,24.2%,5.1%,30.2%,38.5%,26.1%,299
Illinois,Warren,4.6%,4.3%,6.2%,27.1%,19.9%,38.0%,4.6%,34.1%,38.5%,22.8%,301
Illinois,Washington,8.2%,11.0%,7.8%,28.2%,19.4%,25.5%,3.8%,26.1%,41.4%,28.7%,305
Illinois,Wayne,7.3%,12.2%,10.6%,27.9%,24.6%,17.4%,7.6%,30.5%,35.9%,26.0%,310
Illinois,White,7.0%,8.0%,11.7%,22.4%,33.5%,17.5%,8.1%,30.2%,41.4%,20.3%,312
Illinois,Whiteside,5.1%,8.5%,5.5%,29.4%,23.8%,27.7%,6.1%,32.9%,40.0%,21.1%,314
Illinois,Will,26.5%,23.8%,9.2%,22.5%,10.6%,7.3%,3.7%,24.0%,47.0%,25.3%,320
Illinois,Williamson,12.8%,13.8%,13.2%,27.2%,15.6%,17.4%,6.1%,35.8%,40.4%,17.7%,324
Illinois,Winnebago,10.4%,12.8%,9.5%,28.8%,22.5%,16.0%,7.6%,35.1%,38.5%,18.9%,325
Illinois,Woodford,12.0%,12.6%,6.3%,29.8%,18.0%,21.4%,3.3%,24.6%,42.8%,29.2%,328
Indiana,Adams,8.8%,13.8%,8.3%,26.3%,16.9%,26.0%,11.5%,26.5%,38.9%,23.2%,330
Indiana,Allen,10.8%,15.4%,11.4%,29.4%,17.7%,15.3%,6.4%,33.5%,40.6%,19.6%,335
Indiana,Bartholomew,10.5%,18.1%,9.3%,30.1%,19.4%,12.5%,4.7%,28.4%,40.4%,26.5%,342
Indiana,Benton,6.5%,6.8%,6.8%,23.4%,16.1%,40.4%,2.4%,29.3%,38.8%,29.5%,179
Indiana,Blackford,7.2%,11.9%,8.0%,26.8%,15.3%,30.9%,4.9%,34.9%,37.0%,23.2%,183
Indiana,Boone,18.2%,18.5%,8.6%,24.9%,12.0%,17.8%,3.6%,23.0%,46.5%,26.9%,185
Indiana,Brown,13.9%,18.8%,14.1%,31.0%,13.5%,8.8%,1.9%,25.7%,38.3%,34.1%,188
Indiana,Carroll,9.2%,11.2%,7.6%,20.6%,14.1%,37.4%,3.8%,27.7%,40.7%,27.8%,195
Indiana,Cass,5.3%,7.0%,7.5%,20.5%,20.2%,39.5%,5.9%,29.4%,43.0%,21.7%,211
Indiana,Clark,17.6%,15.6%,11.0%,30.6%,17.7%,7.5%,5.9%,32.8%,39.0%,22.3%,215
Indiana,Clay,9.8%,15.2%,9.6%,21.2%,17.1%,27.1%,2.4%,28.1%,41.6%,28.0%,221
Indiana,Clinton,4.5%,9.1%,6.1%,22.0%,18.7%,39.5%,5.5%,30.1%,35.4%,29.0%,226
Indiana,Crawford,11.8%,22.7%,17.2%,28.3%,7.3%,12.8%,5.4%,25.9%,35.4%,33.3%,232
Indiana,Daviess,7.3%,12.6%,10.4%,25.6%,20.7%,23.5%,10.3%,28.5%,34.2%,27.1%,239
Indiana,Dearborn,14.1%,22.8%,12.0%,19.8%,15.3%,15.9%,4.1%,24.2%,37.5%,34.2%,242
Indiana,Decatur,12.5%,13.6%,7.9%,24.3%,15.1%,26.6%,4.0%,28.9%,38.9%,28.3%,246
Indiana,DeKalb,11.2%,17.7%,11.0%,19.9%,12.8%,27.4%,3.7%,29.5%,41.9%,24.8%,249
Indiana,Delaware,6.3%,9.1%,8.8%,30.6%,26.7%,18.5%,7.7%,33.7%,37.1%,21.5%,252
Indiana,Dubois,11.5%,17.7%,13.9%,25.2%,17.5%,14.1%,4.4%,25.2%,40.5%,29.9%,254
Indiana,Elkhart,13.0%,17.4%,12.3%,25.2%,14.6%,17.5%,7.7%,31.8%,40.4%,20.0%,260
Indiana,Fayette,3.6%,11.5%,7.4%,28.4%,19.4%,29.7%,8.9%,31.1%,37.0%,23.1%,263
Indiana,Floyd,10.4%,15.4%,11.8%,27.0%,19.5%,15.8%,5.9%,30.4%,37.0%,26.6%,267
Indiana,Fountain,5.4%,12.7%,9.6%,24.4%,15.1%,32.7%,6.3%,29.1%,38.8%,25.8%,270
Indiana,Franklin,13.9%,17.0%,12.7%,21.2%,11.5%,23.7%,4.2%,23.4%,38.9%,33.4%,272
Indiana,Fulton,5.8%,14.5%,6.9%,26.7%,15.9%,30.3%,5.3%,32.5%,37.7%,24.5%,276
Indiana,Gibson,7.2%,11.9%,11.5%,25.8%,19.4%,24.2%,4.3%,30.7%,38.2%,26.9%,286
Indiana,Grant,6.3%,10.2%,8.5%,27.5%,24.5%,22.9%,6.3%,34.4%,37.8%,21.5%,297
Indiana,Greene,6.5%,16.0%,13.9%,25.7%,13.9%,24.0%,5.7%,28.3%,34.2%,31.8%,309
Indiana,Hamilton,33.1%,28.8%,12.8%,16.6%,4.3%,4.4%,1.7%,25.3%,50.9%,22.1%,321
Indiana,Hancock,21.0%,20.4%,9.5%,25.6%,11.7%,11.8%,2.5%,24.1%,45.0%,28.4%,329
Indiana,Harrison,13.4%,24.3%,10.7%,26.4%,11.4%,13.9%,3.3%,23.4%,36.6%,36.7%,334
Indiana,Hendricks,31.9%,22.9%,8.0%,21.5%,9.5%,6.3%,2.1%,25.0%,47.9%,25.0%,341
Indiana,Henry,5.8%,8.7%,6.2%,26.5%,22.2%,30.7%,6.1%,30.7%,36.2%,27.0%,344
Indiana,Howard,8.8%,13.0%,8.4%,30.7%,17.4%,21.7%,6.9%,32.9%,40.9%,19.2%,348
Indiana,Huntington,8.4%,12.2%,7.5%,20.4%,16.4%,35.1%,4.1%,28.8%,41.8%,25.3%,352
Indiana,Jackson,11.8%,20.5%,8.5%,27.5%,14.2%,17.5%,4.6%,28.4%,40.7%,26.3%,355
Indiana,Jasper,16.2%,22.0%,7.8%,25.2%,12.6%,16.2%,4.1%,26.9%,41.2%,27.8%,356
Indiana,Jay,4.9%,5.7%,6.5%,25.5%,19.1%,38.3%,4.4%,29.5%,37.5%,28.6%,358
Indiana,Jefferson,12.2%,15.1%,10.9%,33.7%,10.0%,18.0%,7.0%,32.9%,37.5%,22.6%,363
Indiana,Jennings,11.0%,25.2%,13.5%,28.2%,9.6%,12.4%,3.1%,28.4%,38.3%,30.3%,367
Indiana,Johnson,23.1%,22.2%,11.6%,25.8%,10.5%,6.9%,3.4%,28.4%,44.7%,23.5%,370
Indiana,Knox,4.9%,9.5%,8.1%,25.0%,23.7%,28.8%,7.8%,32.8%,39.9%,19.5%,376
Indiana,Kosciusko,10.6%,16.6%,13.5%,24.3%,14.4%,20.7%,5.4%,28.8%,44.7%,21.1%,384
Indiana,LaGrange,13.6%,17.8%,14.3%,24.5%,8.8%,21.0%,24.0%,22.1%,32.3%,21.6%,386
Indiana,Lake,10.3%,10.0%,7.4%,27.9%,28.1%,16.3%,8.5%,36.6%,36.0%,18.9%,389
Indiana,LaPorte,8.2%,11.9%,7.3%,28.2%,22.8%,21.6%,5.8%,32.9%,39.8%,21.4%,392
Indiana,Lawrence,8.7%,18.0%,11.1%,28.5%,14.3%,19.4%,6.3%,28.2%,40.5%,25.1%,396
Indiana,Madison,8.7%,10.5%,6.6%,29.4%,24.6%,20.1%,7.5%,34.2%,37.6%,20.7%,401
Indiana,Marion,10.1%,13.4%,12.3%,28.2%,20.8%,15.2%,8.0%,40.4%,36.3%,15.3%,409
Indiana,Marshall,9.4%,15.9%,9.4%,23.5%,17.3%,24.4%,6.7%,29.1%,40.6%,23.6%,412
Indiana,Martin,5.9%,18.7%,14.8%,25.0%,19.5%,16.2%,4.7%,24.8%,41.5%,29.0%,418
Indiana,Miami,4.9%,11.8%,11.5%,19.5%,16.7%,35.7%,4.7%,31.0%,37.8%,26.4%,420
Indiana,Monroe,15.6%,19.3%,14.0%,31.9%,11.6%,7.6%,7.7%,37.5%,36.9%,17.9%,422
Indiana,Montgomery,7.6%,14.3%,8.0%,23.1%,17.6%,29.5%,5.5%,28.0%,43.1%,23.4%,425
Indiana,Morgan,14.5%,20.7%,11.8%,25.9%,13.5%,13.7%,3.3%,24.6%,42.4%,29.8%,430
Indiana,Newton,6.9%,14.5%,4.9%,29.8%,18.7%,25.1%,2.1%,26.6%,38.1%,33.2%,433
Indiana,Noble,9.5%,19.3%,10.9%,20.7%,11.9%,27.7%,5.7%,27.7%,38.7%,27.9%,436
Indiana,Ohio,11.1%,19.6%,11.8%,20.4%,12.7%,24.5%,4.1%,21.2%,40.8%,33.9%,440
Indiana,Orange,10.0%,16.8%,14.2%,29.7%,12.9%,16.5%,5.9%,30.3%,37.0%,26.8%,444
Indiana,Owen,13.8%,19.0%,15.7%,24.9%,10.1%,16.5%,4.3%,26.4%,39.0%,30.2%,448
Indiana,Parke,11.7%,11.7%,9.1%,26.3%,13.4%,27.8%,5.4%,29.5%,41.4%,23.7%,452
Indiana,Perry,7.8%,12.2%,8.9%,33.7%,20.0%,17.3%,5.9%,26.9%,33.8%,33.4%,459
Indiana,Pike,7.1%,14.3%,10.9%,28.6%,16.9%,22.2%,6.9%,22.7%,39.9%,30.4%,465
Indiana,Porter,13.8%,19.0%,11.3%,35.3%,12.1%,8.4%,3.1%,31.1%,41.6%,24.2%,468
Indiana,Posey,7.7%,12.2%,15.5%,30.5%,15.5%,18.7%,3.6%,25.2%,38.7%,32.5%,471
Indiana,Pulaski,11.5%,13.4%,6.7%,20.6%,18.5%,29.4%,4.6%,27.2%,38.3%,29.9%,477
Indiana,Putnam,11.0%,20.6%,9.0%,23.2%,13.7%,22.5%,4.1%,29.7%,39.5%,26.7%,480
Indiana,Randolph,4.6%,8.4%,6.0%,21.6%,19.9%,39.6%,4.7%,29.0%,40.2%,26.1%,485
Indiana,Ripley,12.6%,19.2%,10.5%,24.2%,15.1%,18.4%,5.5%,24.5%,37.2%,32.7%,488
Indiana,Rush,7.6%,8.8%,6.4%,19.2%,18.0%,40.1%,5.8%,26.1%,38.1%,30.0%,493
Indiana,St. Joseph,8.1%,12.4%,10.0%,23.9%,26.4%,19.3%,7.0%,36.6%,37.8%,18.6%,496
Indiana,Scott,14.4%,20.6%,11.6%,28.5%,14.0%,11.0%,6.7%,27.3%,41.0%,25.0%,504
Indiana,Shelby,10.1%,12.2%,7.5%,29.8%,16.7%,23.7%,5.0%,26.8%,41.9%,26.3%,506
Indiana,Spencer,11.1%,21.0%,12.9%,30.1%,12.9%,11.9%,2.6%,20.8%,41.9%,34.7%,509
Indiana,Starke,11.7%,13.0%,8.6%,27.3%,21.0%,18.4%,4.8%,31.5%,39.1%,24.6%,512
Indiana,Steuben,13.5%,21.0%,15.1%,19.2%,11.4%,19.8%,4.2%,28.5%,40.8%,26.6%,515
Indiana,Sullivan,7.1%,15.9%,10.2%,23.5%,13.7%,29.6%,5.8%,27.3%,39.2%,27.7%,518
Indiana,Switzerland,17.5%,19.7%,8.7%,18.4%,8.7%,27.1%,6.7%,26.7%,34.8%,31.8%,526
Indiana,Tippecanoe,17.8%,17.0%,10.9%,25.2%,15.3%,13.8%,7.0%,35.0%,40.2%,17.8%,530
Indiana,Tipton,4.1%,9.3%,6.6%,27.8%,16.9%,35.3%,6.5%,22.8%,42.5%,28.2%,534
Indiana,Union,11.9%,16.3%,9.7%,21.4%,8.9%,31.8%,4.0%,29.1%,34.8%,32.1%,538
Indiana,Vanderburgh,10.1%,9.6%,11.0%,23.5%,26.3%,19.6%,9.2%,36.3%,36.1%,18.4%,543
Indiana,Vermillion,7.1%,10.7%,8.0%,21.0%,16.7%,36.4%,5.3%,31.3%,39.3%,24.1%,548
Indiana,Vigo,8.9%,10.3%,7.0%,24.1%,19.5%,30.1%,7.8%,36.7%,37.7%,17.8%,553
Indiana,Wabash,5.4%,10.7%,9.5%,21.4%,17.3%,35.6%,6.2%,29.3%,41.4%,23.1%,555
Indiana,Warren,13.1%,14.1%,6.8%,27.1%,12.3%,26.6%,4.2%,24.3%,38.9%,32.6%,567
Indiana,Warrick,16.1%,18.6%,14.0%,30.7%,12.9%,7.7%,2.7%,21.2%,46.6%,29.5%,575
Indiana,Washington,10.9%,20.7%,13.5%,23.6%,15.2%,16.0%,5.7%,27.4%,36.7%,30.2%,584
Indiana,Wayne,5.2%,7.6%,5.6%,26.8%,24.6%,30.2%,9.2%,35.6%,35.1%,20.1%,586
Indiana,Wells,8.8%,11.3%,10.0%,23.7%,17.9%,28.2%,3.7%,25.4%,43.3%,27.7%,590
Indiana,White,7.3%,13.5%,8.9%,29.3%,16.8%,24.1%,3.0%,27.5%,43.1%,26.5%,594
Indiana,Whitley,11.1%,17.3%,12.6%,21.0%,14.8%,23.1%,3.0%,28.6%,42.2%,26.2%,597
Iowa,Adair,6.3%,9.7%,6.7%,25.6%,16.3%,35.4%,4.0%,27.0%,37.2%,31.8%,598
Iowa,Adams,4.3%,5.7%,5.0%,21.1%,16.0%,48.0%,4.2%,26.5%,37.5%,31.7%,602
Iowa,Allamakee,9.2%,10.9%,8.0%,20.2%,12.8%,38.9%,5.2%,24.5%,36.2%,34.2%,608
Iowa,Appanoose,7.5%,7.7%,6.9%,28.5%,12.0%,37.4%,7.3%,30.3%,33.8%,28.7%,611
Iowa,Audubon,2.7%,4.5%,3.4%,22.0%,26.0%,41.4%,4.0%,26.0%,40.7%,29.3%,615
Iowa,Benton,10.0%,15.0%,5.4%,24.8%,12.4%,32.4%,3.7%,22.0%,38.0%,36.3%,619
Iowa,Black Hawk,7.5%,6.9%,5.9%,30.5%,27.4%,21.9%,7.1%,32.5%,38.1%,22.3%,623
Iowa,Boone,7.6%,9.8%,6.5%,20.7%,14.1%,41.2%,5.5%,26.0%,37.3%,31.2%,625
Iowa,Bremer,10.1%,7.9%,6.0%,27.5%,15.4%,33.0%,4.1%,24.9%,41.6%,29.4%,631
Iowa,Buchanan,8.7%,9.6%,9.5%,26.2%,15.1%,30.9%,5.0%,22.8%,38.8%,33.5%,632
Iowa,Buena Vista,4.1%,8.0%,6.0%,24.5%,22.9%,34.5%,5.1%,34.4%,36.6%,23.9%,633
Iowa,Butler,4.9%,5.9%,5.6%,25.4%,16.4%,41.7%,3.9%,22.2%,38.3%,35.6%,361
Iowa,Calhoun,3.6%,4.5%,6.5%,27.5%,20.5%,37.5%,5.4%,25.9%,38.5%,30.2%,365
Iowa,Carroll,7.2%,9.4%,9.9%,23.5%,20.7%,29.2%,7.2%,27.1%,40.6%,25.1%,369
Iowa,Cass,4.2%,4.2%,7.4%,24.1%,17.4%,42.8%,8.9%,28.4%,37.1%,25.7%,374
Iowa,Cedar,8.5%,10.5%,6.3%,22.0%,13.7%,39.0%,3.9%,24.8%,40.0%,31.4%,379
Iowa,Cerro Gordo,5.7%,7.3%,7.7%,22.5%,28.1%,28.8%,5.2%,35.1%,37.0%,22.7%,383
Iowa,Cherokee,2.2%,4.6%,6.3%,29.8%,18.9%,38.2%,4.2%,28.8%,39.2%,27.8%,388
Iowa,Chickasaw,5.9%,7.8%,6.4%,26.2%,14.2%,39.5%,3.4%,24.3%,40.3%,31.9%,393
Iowa,Clarke,8.3%,14.3%,13.4%,21.1%,15.2%,27.7%,3.5%,27.0%,35.8%,33.7%,397
Iowa,Clay,5.7%,6.5%,6.6%,30.3%,24.6%,26.4%,5.2%,32.6%,36.7%,25.5%,398
Iowa,Clayton,7.1%,8.8%,8.0%,20.7%,15.5%,39.9%,4.1%,27.3%,39.4%,29.2%,402
Iowa,Clinton,5.7%,6.5%,4.1%,27.4%,21.0%,35.3%,7.2%,30.1%,36.6%,26.0%,404
Iowa,Crawford,4.1%,6.0%,7.1%,30.3%,16.5%,36.0%,6.2%,26.4%,37.9%,29.5%,408
Iowa,Dallas,36.0%,20.0%,6.2%,15.4%,6.7%,15.7%,2.5%,27.4%,47.9%,22.2%,413
Iowa,Davis,9.4%,9.3%,11.6%,27.6%,11.7%,30.4%,12.3%,19.8%,36.5%,31.4%,416
Iowa,Decatur,7.1%,10.0%,5.4%,23.7%,17.2%,36.5%,5.7%,26.1%,35.7%,32.5%,419
Iowa,Delaware,7.8%,12.8%,8.3%,24.0%,14.0%,33.1%,3.7%,25.1%,40.8%,30.3%,421
Iowa,Des Moines,3.9%,9.2%,4.5%,24.9%,19.4%,38.1%,7.1%,32.4%,37.1%,23.4%,424
Iowa,Dickinson,13.4%,13.7%,6.1%,25.5%,18.1%,23.1%,3.5%,28.7%,44.7%,23.1%,427
Iowa,Dubuque,10.7%,10.7%,6.4%,27.4%,16.5%,28.1%,7.5%,29.8%,41.8%,21.0%,434
Iowa,Emmet,2.4%,6.4%,3.1%,22.4%,26.0%,39.6%,4.0%,30.5%,38.1%,27.4%,437
Iowa,Fayette,5.3%,7.8%,5.3%,19.9%,14.7%,47.0%,5.1%,29.1%,38.2%,27.6%,442
Iowa,Floyd,5.5%,4.5%,3.9%,29.5%,20.5%,36.2%,8.6%,28.2%,32.8%,30.4%,447
Iowa,Franklin,1.8%,5.7%,4.1%,21.7%,21.1%,45.6%,5.1%,26.1%,40.7%,28.1%,451
Iowa,Fremont,2.7%,6.9%,7.8%,29.0%,17.0%,36.6%,4.0%,25.2%,38.3%,32.5%,455
Iowa,Greene,3.5%,6.5%,5.3%,24.8%,22.0%,37.9%,4.8%,30.9%,38.1%,26.2%,458
Iowa,Grundy,6.4%,6.5%,4.8%,26.2%,20.9%,35.1%,3.6%,23.8%,41.2%,31.4%,460
Iowa,Guthrie,9.4%,8.8%,6.2%,23.3%,12.9%,39.5%,3.7%,23.2%,37.4%,35.6%,467
Iowa,Hamilton,3.0%,9.4%,4.6%,24.9%,17.9%,40.2%,5.5%,29.3%,36.0%,29.2%,469
Iowa,Hancock,6.3%,6.7%,8.5%,25.2%,22.6%,30.7%,6.4%,21.9%,38.0%,33.7%,470
Iowa,Hardin,4.1%,5.8%,6.9%,27.7%,20.2%,35.3%,4.6%,28.8%,40.4%,26.2%,475
Iowa,Harrison,7.6%,10.3%,4.7%,21.8%,12.6%,43.0%,5.0%,25.1%,35.4%,34.5%,478
Iowa,Henry,9.2%,14.2%,8.9%,28.4%,13.2%,26.0%,7.8%,28.8%,35.5%,27.9%,479
Iowa,Howard,5.5%,7.4%,5.1%,25.8%,15.3%,40.8%,5.3%,25.2%,38.9%,30.6%,481
Iowa,Humboldt,6.3%,6.7%,4.1%,27.4%,21.9%,33.6%,5.0%,27.2%,40.7%,27.1%,487
Iowa,Ida,1.9%,6.5%,6.5%,24.8%,19.6%,40.8%,3.2%,31.8%,40.2%,24.8%,491
Iowa,Iowa,11.4%,12.6%,7.1%,22.2%,12.5%,34.1%,2.5%,24.8%,40.6%,32.2%,495
Iowa,Jackson,9.9%,8.2%,5.7%,26.6%,16.1%,33.4%,6.0%,26.2%,36.5%,31.2%,499
Iowa,Jasper,7.7%,11.9%,7.3%,25.9%,18.5%,28.7%,6.0%,28.4%,38.8%,26.8%,505
Iowa,Jefferson,7.5%,13.7%,12.6%,24.1%,12.8%,29.3%,5.9%,32.2%,37.8%,24.2%,507
Iowa,Johnson,18.4%,19.4%,11.9%,28.2%,9.5%,12.7%,6.3%,35.4%,40.1%,18.3%,508
Iowa,Jones,10.5%,12.6%,6.0%,23.5%,13.5%,33.9%,4.4%,25.2%,38.7%,31.7%,516
Iowa,Keokuk,4.6%,5.4%,6.7%,20.2%,11.8%,51.4%,3.7%,26.4%,37.0%,32.9%,520
Iowa,Kossuth,5.0%,5.1%,6.7%,26.2%,22.5%,34.5%,3.4%,26.6%,40.1%,29.9%,523
Iowa,Lee,4.2%,6.8%,9.0%,26.2%,16.9%,36.8%,7.1%,29.1%,37.0%,26.8%,531
