County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Volusia County,Florida,22.4%,52.9%,73.7%,17.8%,8.5%
Wakulla County,Florida,33.1%,44.5%,73.8%,3.0%,23.2%
Walton County,Florida,29.2%,44.9%,70.6%,10.5%,18.9%
Washington County,Florida,30.6%,44.7%,61.1%,2.1%,36.8%
Appling County,Georgia,32.4%,42.4%,60.9%,5.6%,33.5%
Atkinson County,Georgia,36.8%,37.9%,49.8%,4.5%,45.6%
Bacon County,Georgia,32.8%,43.7%,54.6%,6.5%,38.9%
Baker County,Georgia,19.8%,53.5%,72.5%,5.1%,22.4%
Baldwin County,Georgia,28.4%,40.3%,64.8%,19.1%,16.2%
Banks County,Georgia,31.9%,43.0%,70.1%,3.3%,26.6%
Barrow County,Georgia,40.4%,35.0%,86.7%,7.2%,6.1%
Bartow County,Georgia,37.7%,36.6%,75.7%,13.4%,10.9%
Ben Hill County,Georgia,28.4%,43.1%,63.7%,12.2%,24.1%
Berrien County,Georgia,32.1%,44.6%,62.3%,5.1%,32.6%
Bibb County,Georgia,29.5%,39.1%,69.0%,28.0%,2.9%
Bleckley County,Georgia,35.7%,43.5%,69.2%,10.3%,20.5%
Brantley County,Georgia,29.2%,46.9%,46.0%,2.2%,51.8%
Brooks County,Georgia,31.2%,47.6%,60.5%,8.1%,31.4%
Bryan County,Georgia,46.1%,28.5%,77.2%,9.8%,12.9%
Bulloch County,Georgia,32.3%,34.1%,59.8%,23.9%,16.4%
Burke County,Georgia,30.6%,45.5%,59.4%,6.9%,33.7%
Butts County,Georgia,30.5%,41.3%,78.7%,10.0%,11.3%
Calhoun County,Georgia,35.9%,51.4%,58.2%,9.9%,31.9%
Camden County,Georgia,36.7%,34.2%,72.2%,17.1%,10.7%
Candler County,Georgia,32.5%,42.4%,55.6%,6.7%,37.7%
Carroll County,Georgia,34.9%,38.0%,76.3%,12.8%,10.9%
Catoosa County,Georgia,31.5%,41.4%,76.1%,13.6%,10.3%
Charlton County,Georgia,25.8%,44.0%,52.1%,10.6%,37.3%
Chatham County,Georgia,27.2%,38.2%,68.7%,27.8%,3.5%
Chattahoochee County,Georgia,52.5%,20.7%,56.4%,22.4%,21.2%
Chattooga County,Georgia,29.5%,49.0%,70.0%,12.6%,17.4%
Cherokee County,Georgia,37.2%,37.6%,85.8%,10.4%,3.8%
Clarke County,Georgia,22.4%,29.0%,54.9%,40.7%,4.4%
Clay County,Georgia,15.7%,56.2%,49.2%,7.5%,43.3%
Clayton County,Georgia,35.8%,31.3%,69.7%,27.8%,2.5%
Clinch County,Georgia,32.8%,39.9%,67.6%,5.4%,27.0%
Cobb County,Georgia,33.6%,31.7%,76.2%,22.8%,1.0%
Coffee County,Georgia,34.1%,38.2%,60.2%,7.9%,31.8%
Colquitt County,Georgia,33.7%,40.2%,61.6%,9.4%,29.0%
Columbia County,Georgia,37.3%,37.9%,88.7%,7.0%,4.3%
Cook County,Georgia,35.5%,42.6%,64.3%,6.1%,29.6%
Coweta County,Georgia,36.3%,36.7%,86.5%,10.4%,3.1%
Crawford County,Georgia,25.7%,49.4%,60.3%,4.7%,35.0%
Crisp County,Georgia,31.8%,47.0%,63.5%,16.0%,20.5%
Dade County,Georgia,28.8%,48.2%,70.0%,9.3%,20.7%
Dawson County,Georgia,30.0%,48.2%,84.5%,8.9%,6.6%
Decatur County,Georgia,35.0%,41.7%,67.8%,13.4%,18.9%
DeKalb County,Georgia,29.0%,32.6%,66.0%,33.3%,0.6%
Dodge County,Georgia,34.0%,45.4%,60.4%,9.0%,30.6%
Dooly County,Georgia,29.7%,50.5%,71.0%,6.1%,23.0%
Dougherty County,Georgia,29.2%,40.7%,66.6%,29.1%,4.3%
Douglas County,Georgia,37.7%,35.2%,81.3%,15.5%,3.2%
Early County,Georgia,29.6%,47.2%,68.4%,2.5%,29.1%
Echols County,Georgia,41.8%,35.6%,45.9%,1.7%,52.4%
Effingham County,Georgia,33.8%,32.5%,76.3%,5.9%,17.8%
Elbert County,Georgia,26.9%,49.5%,68.7%,10.0%,21.3%
Emanuel County,Georgia,31.3%,42.1%,60.9%,12.9%,26.2%
Evans County,Georgia,33.3%,42.0%,53.6%,12.8%,33.5%
Fannin County,Georgia,23.8%,56.9%,80.4%,8.8%,10.8%
Fayette County,Georgia,35.5%,45.4%,88.5%,8.6%,2.8%
Floyd County,Georgia,34.0%,41.1%,75.6%,15.4%,9.0%
Forsyth County,Georgia,46.3%,32.4%,91.2%,5.0%,3.7%
Franklin County,Georgia,33.4%,44.1%,64.8%,7.7%,27.5%
Fulton County,Georgia,27.2%,29.7%,55.9%,43.4%,0.7%
Gilmer County,Georgia,24.4%,53.9%,75.5%,4.8%,19.7%
Glascock County,Georgia,26.7%,41.7%,62.0%,4.6%,33.5%
Glynn County,Georgia,27.3%,44.3%,71.4%,18.1%,10.5%
Gordon County,Georgia,36.9%,40.7%,73.9%,14.6%,11.5%
Grady County,Georgia,33.4%,44.3%,61.4%,8.2%,30.4%
Greene County,Georgia,21.3%,60.1%,76.9%,8.6%,14.5%
Gwinnett County,Georgia,41.4%,30.5%,79.3%,19.3%,1.4%
Habersham County,Georgia,29.2%,48.2%,78.3%,5.7%,16.1%
Hall County,Georgia,36.5%,39.8%,76.8%,14.5%,8.7%
Hancock County,Georgia,16.3%,50.8%,57.5%,8.5%,34.0%
Haralson County,Georgia,35.1%,41.1%,76.4%,7.5%,16.2%
Harris County,Georgia,35.0%,45.7%,91.3%,2.3%,6.4%
Hart County,Georgia,25.8%,53.4%,71.3%,6.1%,22.6%
Heard County,Georgia,36.9%,44.9%,59.0%,8.2%,32.9%
Henry County,Georgia,38.8%,35.0%,84.8%,12.2%,2.9%
Houston County,Georgia,35.3%,34.7%,78.3%,15.1%,6.6%
Irwin County,Georgia,30.9%,43.8%,72.9%,7.2%,19.9%
Jackson County,Georgia,37.9%,39.8%,81.1%,6.3%,12.6%
Jasper County,Georgia,37.7%,47.0%,79.3%,2.9%,17.8%
Jeff Davis County,Georgia,39.1%,43.7%,62.2%,7.9%,29.8%
Jefferson County,Georgia,33.9%,45.6%,60.0%,11.9%,28.1%
Jenkins County,Georgia,30.5%,47.3%,59.5%,3.4%,37.1%
Johnson County,Georgia,27.2%,47.2%,57.7%,8.5%,33.9%
Jones County,Georgia,34.4%,43.5%,74.5%,4.3%,21.2%
Lamar County,Georgia,23.5%,46.2%,75.8%,12.2%,12.0%
Lanier County,Georgia,28.6%,40.4%,66.4%,5.8%,27.8%
Laurens County,Georgia,33.3%,42.9%,62.3%,12.6%,25.1%
Lee County,Georgia,40.1%,37.5%,80.8%,9.0%,10.2%
Liberty County,Georgia,36.9%,25.4%,63.7%,22.6%,13.7%
Lincoln County,Georgia,25.3%,56.7%,65.0%,5.0%,30.0%
Long County,Georgia,40.8%,23.7%,53.2%,4.9%,41.8%
Lowndes County,Georgia,32.0%,31.5%,70.5%,20.7%,8.8%
Lumpkin County,Georgia,27.1%,45.6%,71.2%,8.7%,20.1%
McDuffie County,Georgia,27.9%,44.3%,65.7%,10.1%,24.2%
McIntosh County,Georgia,24.3%,57.6%,69.6%,6.3%,24.1%
Macon County,Georgia,23.1%,44.5%,60.7%,9.5%,29.8%
Madison County,Georgia,34.5%,42.5%,70.4%,3.6%,25.9%
Marion County,Georgia,29.6%,44.7%,56.0%,8.5%,35.4%
Meriwether County,Georgia,31.4%,49.6%,72.4%,8.6%,19.0%
Miller County,Georgia,33.6%,47.5%,69.0%,7.3%,23.7%
Mitchell County,Georgia,36.1%,44.1%,65.2%,14.7%,20.1%
Monroe County,Georgia,29.4%,46.4%,75.6%,6.3%,18.1%
Montgomery County,Georgia,33.4%,43.9%,58.0%,3.5%,38.5%
Morgan County,Georgia,31.4%,45.7%,75.5%,7.4%,17.1%
Murray County,Georgia,37.8%,37.4%,61.9%,6.2%,31.9%
Muscogee County,Georgia,30.9%,36.2%,70.6%,28.4%,1.0%
Newton County,Georgia,40.3%,37.4%,87.8%,8.1%,4.0%
Oconee County,Georgia,44.1%,41.8%,91.3%,3.0%,5.7%
Oglethorpe County,Georgia,30.7%,47.0%,68.4%,5.8%,25.8%
Paulding County,Georgia,43.7%,33.1%,93.5%,3.4%,3.0%
Peach County,Georgia,30.7%,45.2%,70.8%,18.2%,10.9%
Pickens County,Georgia,28.3%,50.4%,78.2%,6.7%,15.2%
Pierce County,Georgia,31.9%,41.3%,66.3%,4.5%,29.1%
Pike County,Georgia,35.5%,41.5%,89.3%,2.4%,8.3%
Polk County,Georgia,35.6%,42.6%,79.1%,12.1%,8.7%
Pulaski County,Georgia,30.9%,53.6%,66.5%,16.5%,17.0%
Putnam County,Georgia,23.1%,53.6%,57.0%,8.6%,34.4%
Quitman County,Georgia,13.6%,75.5%,51.0%,0.0%,49.0%
Rabun County,Georgia,20.9%,54.9%,78.5%,6.6%,14.8%
Randolph County,Georgia,32.6%,51.2%,55.8%,22.4%,21.8%
Richmond County,Georgia,27.7%,40.0%,69.7%,24.2%,6.1%
Rockdale County,Georgia,36.7%,41.9%,80.7%,15.2%,4.1%
Schley County,Georgia,36.2%,40.7%,63.2%,7.1%,29.6%
Screven County,Georgia,28.0%,49.1%,57.7%,9.3%,33.0%
Seminole County,Georgia,26.8%,50.1%,66.8%,8.3%,24.9%
Spalding County,Georgia,30.8%,44.6%,81.4%,13.3%,5.3%
Stephens County,Georgia,27.6%,49.0%,70.8%,10.5%,18.8%
Stewart County,Georgia,27.4%,48.5%,56.4%,5.1%,38.5%
Sumter County,Georgia,27.9%,42.8%,68.3%,20.0%,11.7%
Talbot County,Georgia,21.0%,56.4%,65.7%,4.6%,29.6%
Taliaferro County,Georgia,25.8%,52.1%,57.9%,6.2%,36.0%
Tattnall County,Georgia,36.2%,41.3%,58.5%,6.9%,34.6%
Taylor County,Georgia,34.7%,43.0%,53.7%,13.2%,33.1%
Telfair County,Georgia,27.6%,49.2%,64.2%,9.4%,26.4%
Terrell County,Georgia,35.1%,47.5%,72.0%,13.4%,14.6%
Thomas County,Georgia,34.3%,41.1%,68.6%,12.9%,18.5%
Tift County,Georgia,34.2%,38.5%,63.7%,14.1%,22.2%
Toombs County,Georgia,33.1%,43.8%,64.2%,15.6%,20.2%
Towns County,Georgia,16.2%,64.2%,80.1%,6.7%,13.2%
Treutlen County,Georgia,31.2%,41.7%,56.8%,6.4%,36.7%
Troup County,Georgia,34.9%,39.4%,75.7%,18.1%,6.2%
Turner County,Georgia,33.5%,45.3%,67.6%,11.6%,20.8%
Twiggs County,Georgia,26.4%,61.9%,60.3%,2.4%,37.2%
Union County,Georgia,21.4%,62.6%,79.4%,5.1%,15.5%
Upson County,Georgia,26.0%,45.1%,74.9%,11.4%,13.7%
Walker County,Georgia,30.3%,45.4%,80.3%,9.0%,10.7%
Walton County,Georgia,38.7%,39.7%,86.0%,6.3%,7.6%
Ware County,Georgia,27.2%,40.7%,66.8%,15.0%,18.2%
Warren County,Georgia,24.9%,48.1%,51.5%,11.6%,36.8%
Washington County,Georgia,33.4%,48.1%,59.0%,7.4%,33.6%
Wayne County,Georgia,34.9%,40.8%,62.2%,8.1%,29.7%
Webster County,Georgia,30.2%,48.8%,51.7%,1.7%,46.6%
Wheeler County,Georgia,23.7%,57.0%,62.5%,11.4%,26.1%
White County,Georgia,29.5%,47.8%,70.9%,6.8%,22.2%
Whitfield County,Georgia,35.9%,37.6%,68.8%,17.2%,13.9%
Wilcox County,Georgia,27.9%,47.0%,64.0%,3.6%,32.5%
Wilkes County,Georgia,25.5%,52.1%,66.8%,11.4%,21.8%
Wilkinson County,Georgia,23.4%,47.7%,72.9%,2.7%,24.4%
Worth County,Georgia,31.1%,43.5%,60.1%,7.8%,32.2%
Hawaii County,Hawaii,28.7%,54.3%,84.9%,14.6%,0.5%
Honolulu County,Hawaii,31.8%,46.2%,58.8%,40.9%,0.2%
Kalawao County,Hawaii,0.0%,17.3%,98.7%,1.3%,0.0%
Kauai County,Hawaii,32.3%,53.5%,85.3%,14.5%,0.2%
Maui County,Hawaii,33.3%,50.3%,76.2%,23.4%,0.4%
Ada County,Idaho,30.1%,35.3%,79.8%,17.0%,3.2%
Adams County,Idaho,18.5%,61.4%,85.3%,4.2%,10.4%
Bannock County,Idaho,30.7%,37.3%,72.1%,19.6%,8.3%
Bear Lake County,Idaho,34.7%,46.1%,87.0%,7.7%,5.3%
Benewah County,Idaho,27.8%,51.6%,72.6%,10.2%,17.2%
Bingham County,Idaho,40.9%,40.0%,79.3%,8.9%,11.8%
Blaine County,Idaho,27.1%,45.8%,72.8%,21.5%,5.7%
Boise County,Idaho,21.8%,54.3%,79.5%,2.4%,18.1%
Bonner County,Idaho,25.9%,53.7%,78.2%,9.2%,12.7%
Bonneville County,Idaho,37.6%,36.5%,77.7%,18.2%,4.1%
Boundary County,Idaho,24.7%,54.1%,83.4%,7.9%,8.7%
Butte County,Idaho,23.8%,54.3%,83.1%,5.4%,11.5%
Camas County,Idaho,22.5%,51.7%,83.6%,1.0%,15.3%
Canyon County,Idaho,37.2%,37.4%,82.3%,10.6%,7.0%
Caribou County,Idaho,37.2%,43.6%,84.1%,5.5%,10.4%
Cassia County,Idaho,42.3%,38.3%,80.5%,8.6%,10.9%
Clark County,Idaho,28.3%,37.3%,76.5%,2.7%,20.8%
Clearwater County,Idaho,16.1%,61.2%,73.5%,5.6%,20.8%
Custer County,Idaho,16.1%,59.9%,74.1%,8.5%,17.4%
Elmore County,Idaho,32.1%,32.3%,74.0%,16.4%,9.6%
Franklin County,Idaho,43.6%,40.9%,88.5%,6.0%,5.6%
Fremont County,Idaho,37.9%,45.2%,78.9%,5.0%,16.2%
Gem County,Idaho,28.0%,54.0%,78.6%,10.0%,11.3%
Gooding County,Idaho,34.3%,44.0%,74.0%,7.2%,18.8%
Idaho County,Idaho,24.9%,58.7%,81.4%,3.3%,15.3%
Jefferson County,Idaho,41.7%,34.9%,87.6%,4.1%,8.3%
Jerome County,Idaho,40.0%,38.1%,83.9%,6.8%,9.3%
Kootenai County,Idaho,29.8%,43.3%,76.4%,15.9%,7.7%
Latah County,Idaho,22.6%,32.1%,57.7%,33.3%,9.0%
Lemhi County,Idaho,21.2%,58.7%,72.4%,9.6%,18.0%
Lewis County,Idaho,21.6%,57.6%,79.2%,7.8%,13.0%
Lincoln County,Idaho,41.3%,39.7%,71.8%,3.0%,25.2%
Madison County,Idaho,37.0%,20.1%,47.8%,46.7%,5.5%
Minidoka County,Idaho,39.1%,41.2%,82.6%,8.5%,8.9%
Nez Perce County,Idaho,28.3%,43.9%,74.2%,15.7%,10.1%
Oneida County,Idaho,36.2%,46.2%,92.6%,4.0%,3.4%
Owyhee County,Idaho,33.1%,43.8%,72.9%,4.6%,22.6%
Payette County,Idaho,35.0%,45.2%,77.5%,10.0%,12.4%
Power County,Idaho,31.6%,42.0%,63.9%,5.5%,30.6%
Shoshone County,Idaho,18.5%,52.4%,79.9%,9.2%,11.0%
Teton County,Idaho,36.3%,33.6%,79.4%,10.7%,10.0%
Twin Falls County,Idaho,35.0%,37.0%,79.3%,13.7%,7.0%
Valley County,Idaho,20.7%,55.7%,80.6%,12.2%,7.1%
Washington County,Idaho,28.1%,54.5%,75.6%,8.8%,15.6%
Adams County,Illinois,27.5%,43.3%,80.0%,15.7%,4.3%
Alexander County,Illinois,20.6%,52.8%,72.1%,13.9%,14.0%
Bond County,Illinois,28.5%,46.1%,75.2%,12.9%,11.9%
Boone County,Illinois,36.1%,41.2%,86.5%,8.4%,5.1%
Brown County,Illinois,23.6%,38.0%,79.3%,11.7%,9.0%
Bureau County,Illinois,28.6%,46.6%,87.0%,10.4%,2.5%
Calhoun County,Illinois,25.6%,51.5%,85.3%,1.8%,12.9%
Carroll County,Illinois,22.2%,50.2%,86.5%,10.3%,3.2%
Cass County,Illinois,31.5%,40.8%,79.5%,8.7%,11.7%
Champaign County,Illinois,24.1%,30.2%,60.3%,35.9%,3.8%
Christian County,Illinois,27.5%,44.9%,85.7%,9.7%,4.6%
Clark County,Illinois,32.6%,42.8%,84.4%,7.4%,8.2%
Clay County,Illinois,27.2%,43.7%,72.7%,7.1%,20.2%
Clinton County,Illinois,28.2%,41.4%,82.8%,9.2%,8.0%
Coles County,Illinois,25.1%,39.0%,71.4%,24.1%,4.5%
Cook County,Illinois,28.3%,37.3%,47.4%,51.8%,0.8%
Crawford County,Illinois,31.5%,43.0%,83.9%,7.2%,9.0%
Cumberland County,Illinois,28.9%,43.9%,84.3%,4.8%,10.9%
DeKalb County,Illinois,29.4%,31.5%,68.4%,29.5%,2.1%
De Witt County,Illinois,25.3%,44.5%,85.2%,10.6%,4.2%
Douglas County,Illinois,32.5%,42.2%,85.1%,10.4%,4.5%
DuPage County,Illinois,32.4%,39.5%,71.9%,27.8%,0.2%
Edgar County,Illinois,27.7%,45.2%,83.5%,10.9%,5.6%
Edwards County,Illinois,28.5%,46.5%,76.5%,4.2%,19.3%
Effingham County,Illinois,30.5%,40.9%,80.0%,12.4%,7.6%
Fayette County,Illinois,29.7%,47.9%,83.2%,5.3%,11.5%
Ford County,Illinois,28.3%,40.1%,84.9%,11.6%,3.6%
Franklin County,Illinois,27.5%,47.9%,79.4%,9.1%,11.4%
Fulton County,Illinois,26.8%,46.9%,88.8%,8.2%,3.0%
Gallatin County,Illinois,32.6%,51.2%,67.0%,9.8%,23.3%
Greene County,Illinois,27.1%,47.1%,84.9%,6.0%,9.0%
Grundy County,Illinois,36.5%,34.3%,82.6%,13.5%,3.9%
Hamilton County,Illinois,27.7%,50.5%,78.6%,4.8%,16.6%
Hancock County,Illinois,23.6%,49.3%,87.9%,7.5%,4.6%
Hardin County,Illinois,23.0%,54.7%,74.9%,9.4%,15.8%
Henderson County,Illinois,24.7%,51.6%,90.0%,2.4%,7.6%
Henry County,Illinois,30.3%,44.5%,89.0%,9.3%,1.7%
Iroquois County,Illinois,28.1%,47.3%,85.5%,9.9%,4.6%
Jackson County,Illinois,22.9%,34.1%,59.6%,31.0%,9.4%
Jasper County,Illinois,27.8%,46.5%,86.1%,2.3%,11.6%
Jefferson County,Illinois,30.5%,42.6%,70.1%,13.2%,16.7%
Jersey County,Illinois,30.1%,46.2%,87.5%,6.9%,5.6%
Jo Daviess County,Illinois,23.3%,51.3%,86.5%,10.8%,2.7%
Johnson County,Illinois,29.4%,54.7%,72.5%,6.4%,21.1%
Kane County,Illinois,37.1%,38.0%,82.0%,17.3%,0.7%
Kankakee County,Illinois,29.4%,41.6%,76.6%,17.6%,5.8%
Kendall County,Illinois,44.8%,30.3%,91.7%,8.3%,0.1%
Knox County,Illinois,23.5%,48.6%,79.9%,16.8%,3.4%
Lake County,Illinois,35.8%,39.0%,77.9%,20.6%,1.6%
LaSalle County,Illinois,28.7%,42.3%,83.0%,14.1%,2.8%
Lawrence County,Illinois,30.1%,45.6%,74.4%,10.5%,15.0%
Lee County,Illinois,26.5%,43.7%,81.8%,14.6%,3.6%
Livingston County,Illinois,30.3%,45.2%,82.1%,12.9%,4.9%
Logan County,Illinois,25.3%,43.1%,82.7%,13.9%,3.4%
McDonough County,Illinois,21.7%,40.5%,75.5%,20.3%,4.2%
McHenry County,Illinois,35.5%,38.6%,87.6%,11.7%,0.7%
McLean County,Illinois,28.5%,33.0%,68.0%,28.3%,3.7%
Macon County,Illinois,25.2%,43.4%,81.0%,16.6%,2.4%
Macoupin County,Illinois,28.2%,46.8%,83.6%,8.6%,7.8%
Madison County,Illinois,30.2%,40.7%,82.4%,15.1%,2.6%
Marion County,Illinois,28.9%,43.4%,71.5%,10.4%,18.1%
Marshall County,Illinois,26.0%,48.1%,90.8%,7.1%,2.1%
Mason County,Illinois,27.1%,45.0%,88.4%,5.5%,6.1%
Massac County,Illinois,32.9%,45.8%,75.3%,8.7%,15.9%
Menard County,Illinois,32.2%,44.1%,90.2%,5.8%,4.0%
Mercer County,Illinois,29.1%,45.0%,88.1%,8.9%,3.0%
Monroe County,Illinois,33.0%,42.2%,88.0%,9.7%,2.3%
Montgomery County,Illinois,22.3%,45.5%,85.4%,8.8%,5.8%
Morgan County,Illinois,25.2%,46.0%,78.5%,14.2%,7.3%
Moultrie County,Illinois,30.7%,42.9%,87.1%,9.8%,3.1%
Ogle County,Illinois,28.3%,43.3%,82.8%,15.0%,2.2%
Peoria County,Illinois,27.4%,39.9%,77.0%,21.9%,1.1%
Perry County,Illinois,32.0%,43.7%,78.1%,11.4%,10.5%
Piatt County,Illinois,30.6%,42.5%,91.0%,6.3%,2.7%
Pike County,Illinois,30.2%,46.2%,83.3%,8.2%,8.5%
Pope County,Illinois,24.0%,56.6%,77.4%,10.0%,12.7%
Pulaski County,Illinois,22.1%,56.5%,70.8%,10.7%,18.5%
Putnam County,Illinois,27.6%,48.1%,89.4%,6.6%,3.9%
Randolph County,Illinois,28.9%,44.3%,76.5%,11.3%,12.3%
Richland County,Illinois,29.1%,43.8%,80.1%,8.8%,11.2%
Rock Island County,Illinois,27.7%,43.1%,75.8%,21.6%,2.6%
St. Clair County,Illinois,28.9%,39.5%,76.4%,18.8%,4.8%
Saline County,Illinois,31.0%,46.3%,74.3%,12.5%,13.3%
Sangamon County,Illinois,27.2%,39.9%,78.8%,17.0%,4.3%
Schuyler County,Illinois,23.8%,47.2%,79.9%,8.2%,11.9%
Scott County,Illinois,27.9%,47.1%,84.2%,5.4%,10.4%
Shelby County,Illinois,26.2%,47.4%,85.2%,5.9%,8.9%
Stark County,Illinois,25.9%,45.7%,91.3%,6.2%,2.5%
Stephenson County,Illinois,26.6%,46.5%,77.3%,18.2%,4.5%
Tazewell County,Illinois,28.8%,41.9%,84.2%,14.0%,1.8%
Union County,Illinois,31.0%,47.4%,76.6%,9.3%,14.1%
Vermilion County,Illinois,29.4%,45.2%,82.2%,13.2%,4.6%
Wabash County,Illinois,27.4%,46.9%,80.8%,7.1%,12.1%
Warren County,Illinois,28.7%,44.5%,87.3%,11.2%,1.5%
Washington County,Illinois,29.9%,43.6%,85.8%,5.5%,8.6%
Wayne County,Illinois,29.5%,45.1%,71.0%,6.8%,22.2%
White County,Illinois,27.8%,47.5%,80.2%,8.6%,11.2%
Whiteside County,Illinois,28.8%,46.3%,84.0%,14.5%,1.5%
Will County,Illinois,38.2%,36.6%,87.7%,11.1%,1.1%
Williamson County,Illinois,27.9%,42.7%,75.7%,15.9%,8.4%
Winnebago County,Illinois,30.2%,41.1%,75.3%,23.2%,1.5%
Woodford County,Illinois,31.3%,43.3%,89.9%,8.3%,1.7%
Adams County,Indiana,36.2%,41.5%,84.7%,13.1%,2.2%
Allen County,Indiana,32.1%,35.8%,77.6%,19.7%,2.8%
Bartholomew County,Indiana,30.5%,38.5%,78.0%,15.9%,6.0%
Benton County,Indiana,30.8%,41.1%,89.2%,8.1%,2.7%
Blackford County,Indiana,26.8%,43.0%,82.1%,13.9%,4.1%
Boone County,Indiana,36.1%,32.8%,83.7%,13.2%,3.0%
Brown County,Indiana,26.8%,51.3%,89.1%,6.2%,4.8%
Carroll County,Indiana,28.7%,45.9%,87.7%,6.5%,5.8%
Cass County,Indiana,29.7%,43.0%,84.9%,10.7%,4.3%
Clark County,Indiana,29.6%,39.5%,79.6%,15.0%,5.4%
Clay County,Indiana,33.5%,42.8%,82.4%,8.7%,8.9%
Clinton County,Indiana,31.5%,40.7%,82.2%,13.9%,3.8%
Crawford County,Indiana,22.2%,48.2%,72.8%,3.7%,23.5%
Daviess County,Indiana,37.1%,41.0%,82.7%,10.4%,6.8%
Dearborn County,Indiana,32.8%,44.2%,86.0%,11.1%,2.9%
Decatur County,Indiana,29.5%,38.2%,81.0%,14.2%,4.8%
DeKalb County,Indiana,32.1%,39.3%,79.7%,12.0%,8.3%
Delaware County,Indiana,25.8%,38.6%,76.5%,19.4%,4.1%
Dubois County,Indiana,28.5%,39.4%,82.1%,14.7%,3.2%
Elkhart County,Indiana,34.6%,37.1%,76.4%,17.1%,6.6%
Fayette County,Indiana,29.4%,43.0%,82.5%,12.6%,4.8%
Floyd County,Indiana,29.4%,40.2%,84.3%,13.7%,2.0%
Fountain County,Indiana,27.9%,43.2%,83.8%,7.1%,9.1%
Franklin County,Indiana,30.5%,46.6%,82.0%,6.2%,11.8%
Fulton County,Indiana,26.1%,46.2%,81.6%,9.3%,9.0%
Gibson County,Indiana,29.8%,39.9%,77.6%,11.8%,10.7%
Grant County,Indiana,30.3%,44.6%,81.9%,12.7%,5.4%
Greene County,Indiana,31.2%,44.9%,76.3%,7.1%,16.6%
Hamilton County,Indiana,40.6%,31.5%,81.0%,17.5%,1.5%
Hancock County,Indiana,33.0%,37.2%,87.6%,10.6%,1.8%
Harrison County,Indiana,27.6%,44.6%,81.2%,5.3%,13.6%
Hendricks County,Indiana,38.5%,34.9%,86.9%,12.1%,1.0%
Henry County,Indiana,29.1%,45.5%,86.4%,9.8%,3.8%
Howard County,Indiana,27.7%,44.4%,82.8%,14.7%,2.5%
Huntington County,Indiana,27.0%,41.0%,86.5%,9.6%,3.9%
Jackson County,Indiana,33.6%,39.8%,75.1%,15.7%,9.2%
Jasper County,Indiana,29.6%,44.6%,85.8%,11.3%,2.9%
Jay County,Indiana,31.3%,43.6%,84.9%,8.1%,6.9%
Jefferson County,Indiana,29.7%,41.8%,76.0%,14.5%,9.5%
Jennings County,Indiana,34.5%,42.6%,77.7%,4.4%,17.9%
Johnson County,Indiana,37.3%,36.5%,82.9%,14.6%,2.5%
Knox County,Indiana,31.6%,41.5%,72.5%,19.9%,7.6%
Kosciusko County,Indiana,32.2%,41.1%,78.5%,12.4%,9.0%
LaGrange County,Indiana,38.4%,40.6%,87.7%,4.6%,7.7%
Lake County,Indiana,31.8%,41.7%,80.4%,18.1%,1.5%
LaPorte County,Indiana,29.0%,43.8%,81.2%,15.2%,3.6%
Lawrence County,Indiana,28.8%,44.6%,80.8%,8.9%,10.3%
Madison County,Indiana,29.4%,43.7%,83.9%,11.7%,4.5%
Marion County,Indiana,27.7%,32.9%,69.5%,28.9%,1.6%
Marshall County,Indiana,34.0%,44.3%,83.7%,10.1%,6.2%
Martin County,Indiana,26.5%,47.6%,80.2%,8.3%,11.5%
Miami County,Indiana,28.3%,42.1%,84.2%,8.2%,7.6%
Monroe County,Indiana,23.1%,31.9%,62.1%,32.3%,5.7%
Montgomery County,Indiana,32.0%,42.8%,79.1%,14.7%,6.2%
Morgan County,Indiana,31.5%,40.7%,85.9%,7.2%,7.0%
Newton County,Indiana,31.1%,43.0%,90.1%,4.6%,5.3%
Noble County,Indiana,33.1%,39.2%,80.9%,11.8%,7.2%
Ohio County,Indiana,27.8%,45.2%,78.6%,9.6%,11.8%
Orange County,Indiana,29.8%,46.1%,76.1%,7.2%,16.8%
Owen County,Indiana,26.6%,45.5%,74.1%,5.5%,20.4%
Parke County,Indiana,26.9%,51.1%,80.1%,6.8%,13.1%
Perry County,Indiana,27.3%,47.2%,76.5%,11.4%,12.1%
Pike County,Indiana,24.7%,47.6%,81.4%,4.5%,14.2%
Porter County,Indiana,32.3%,40.5%,79.8%,16.0%,4.2%
Posey County,Indiana,30.0%,40.7%,85.8%,9.3%,4.8%
Pulaski County,Indiana,26.5%,45.6%,82.2%,6.3%,11.5%
Putnam County,Indiana,32.0%,41.9%,82.4%,10.4%,7.2%
Randolph County,Indiana,29.3%,44.4%,87.8%,7.2%,5.0%
Ripley County,Indiana,31.1%,39.4%,80.0%,12.0%,8.0%
Rush County,Indiana,30.8%,42.0%,85.4%,11.5%,3.1%
St. Joseph County,Indiana,29.0%,39.7%,79.9%,18.7%,1.3%
Scott County,Indiana,29.6%,41.4%,70.2%,14.6%,15.2%
Shelby County,Indiana,29.8%,41.9%,83.4%,12.2%,4.4%
Spencer County,Indiana,27.4%,46.6%,80.5%,7.6%,11.9%
