County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available,FID
Idaho,Latah,76.7%,63.1%,13.7%,0.8%,13.2%,3.8%,0.8%,4.6%,73.5%,6.4%,29.8%,18.2%,14.6%,12.0%,4.6%,8.0%,4.1%,5.3%,3.3%,18.3,4.2%,20.7%,42.6%,32.5%,559
Idaho,Lemhi,80.5%,65.2%,15.2%,0.0%,7.1%,0.3%,2.1%,10.1%,96.1%,2.6%,47.5%,17.4%,11.3%,9.1%,2.4%,6.3%,0.5%,1.6%,3.9%,14.5,1.2%,14.2%,28.9%,55.7%,566
Idaho,Lewis,85.1%,76.6%,8.5%,0.3%,9.5%,0.5%,1.2%,3.3%,62.2%,33.1%,39.4%,14.0%,7.2%,4.5%,3.6%,7.3%,7.5%,8.7%,7.9%,20.5,1.4%,14.1%,37.0%,47.4%,574
Idaho,Lincoln,78.7%,62.5%,16.2%,2.8%,6.0%,0.4%,0.8%,11.2%,51.0%,48.3%,20.9%,10.9%,5.3%,3.5%,2.3%,16.0%,5.5%,20.1%,15.6%,31.1,0.9%,10.6%,43.0%,45.5%,578
Idaho,Madison,76.8%,60.0%,16.9%,0.9%,12.8%,2.2%,1.2%,6.1%,78.6%,19.3%,40.4%,22.9%,9.9%,5.9%,1.9%,10.0%,4.4%,1.2%,3.3%,15.2,1.6%,18.2%,30.6%,49.6%,581
Idaho,Minidoka,93.0%,80.0%,12.9%,0.1%,2.3%,0.0%,0.5%,4.1%,62.4%,36.3%,28.1%,19.6%,20.5%,11.7%,2.7%,7.1%,2.1%,5.8%,2.4%,17.3,0.6%,12.7%,33.1%,53.7%,585
Idaho,Nez Perce,92.2%,81.8%,10.4%,0.4%,2.6%,0.6%,1.4%,2.8%,81.9%,4.4%,32.7%,24.8%,19.5%,8.9%,2.1%,4.4%,1.7%,3.5%,2.6%,15.7,2.0%,14.9%,37.4%,45.6%,589
Idaho,Oneida,84.0%,70.8%,13.2%,0.0%,5.9%,0.0%,0.5%,9.6%,68.8%,5.1%,47.3%,11.0%,4.0%,1.6%,1.9%,5.7%,9.0%,8.3%,11.2%,21.2,0.8%,5.0%,41.1%,53.1%,593
Idaho,Owyhee,75.2%,63.4%,11.7%,0.4%,6.6%,0.0%,2.6%,15.2%,47.5%,49.6%,22.8%,12.1%,5.8%,7.8%,9.0%,16.0%,7.3%,10.3%,8.9%,26.0,1.3%,11.8%,40.9%,46.0%,601
Idaho,Payette,88.2%,74.8%,13.3%,0.0%,2.3%,0.0%,2.5%,7.0%,49.3%,17.7%,21.2%,20.7%,22.4%,11.2%,4.1%,6.9%,2.2%,4.8%,6.4%,21.2,2.5%,15.8%,33.9%,47.8%,606
Idaho,Power,90.1%,73.6%,16.5%,0.6%,3.2%,0.7%,1.2%,4.2%,68.2%,31.7%,34.1%,13.1%,13.4%,11.3%,7.9%,8.9%,6.1%,3.3%,1.9%,17.1,0.6%,10.9%,41.8%,46.7%,613
Idaho,Shoshone,91.7%,82.4%,9.3%,0.3%,4.5%,0.2%,2.5%,0.9%,83.5%,13.7%,36.0%,19.1%,15.4%,8.1%,1.9%,4.7%,2.7%,6.0%,6.2%,18.5,0.6%,17.4%,40.4%,41.6%,621
Idaho,Teton,85.1%,66.2%,18.8%,2.3%,5.3%,0.8%,0.2%,6.3%,61.1%,4.5%,27.8%,13.4%,10.1%,5.0%,4.6%,9.9%,6.9%,10.1%,12.3%,24.6,0.2%,13.1%,43.9%,42.7%,627
Idaho,Twin Falls,90.3%,80.7%,9.6%,0.4%,2.4%,0.3%,1.2%,5.4%,87.8%,10.2%,24.4%,30.2%,19.9%,9.6%,3.3%,5.6%,1.6%,3.0%,2.4%,15.7,1.7%,15.7%,46.6%,36.0%,634
Idaho,Valley,78.1%,67.1%,11.0%,1.1%,6.8%,1.5%,1.4%,11.0%,92.7%,5.7%,39.7%,25.2%,11.3%,7.7%,2.1%,5.1%,2.0%,4.5%,2.4%,14.5,0.9%,13.7%,41.8%,43.7%,643
Idaho,Washington,80.2%,70.5%,9.7%,0.0%,5.8%,1.5%,2.7%,9.8%,68.4%,17.4%,38.7%,12.2%,8.6%,6.6%,6.7%,11.3%,2.0%,4.2%,9.7%,21.8,0.5%,12.6%,31.8%,55.1%,649
Illinois,Adams,92.0%,82.7%,9.2%,0.7%,2.7%,0.0%,0.9%,3.7%,92.0%,3.3%,24.1%,27.5%,20.1%,9.7%,4.2%,7.0%,2.8%,2.2%,2.5%,16.6,2.5%,18.6%,44.8%,34.2%,650
Illinois,Alexander,93.6%,86.2%,7.4%,0.8%,3.2%,0.0%,1.6%,0.8%,39.3%,14.2%,17.2%,8.5%,11.9%,11.0%,13.6%,14.6%,6.4%,7.6%,9.2%,26.7,5.5%,22.4%,37.2%,35.0%,651
Illinois,Bond,92.1%,85.7%,6.3%,0.2%,3.8%,0.0%,0.5%,3.4%,57.8%,34.2%,23.6%,17.2%,14.1%,9.7%,3.0%,7.0%,5.7%,10.4%,9.3%,24.5,0.8%,12.9%,40.8%,45.5%,652
Illinois,Boone,93.4%,84.3%,9.1%,0.2%,1.1%,0.4%,1.2%,3.7%,32.6%,64.4%,12.3%,12.2%,10.9%,15.2%,6.4%,11.2%,7.2%,9.0%,15.7%,31.6,2.0%,11.5%,41.8%,44.8%,653
Illinois,Brown,87.8%,83.8%,4.1%,0.0%,1.9%,0.2%,1.1%,8.9%,74.4%,25.0%,35.9%,13.3%,12.4%,18.2%,4.4%,5.2%,2.6%,6.4%,1.8%,16.2,2.8%,16.4%,42.7%,38.1%,654
Illinois,Bureau,91.6%,82.1%,9.5%,0.2%,3.6%,0.2%,0.8%,3.5%,61.3%,37.7%,29.1%,18.4%,13.8%,12.8%,6.7%,7.2%,2.6%,3.6%,5.7%,19.6,2.3%,16.9%,43.7%,37.1%,2
Illinois,Calhoun,92.9%,79.1%,13.7%,0.0%,2.2%,0.0%,1.0%,4.0%,40.6%,40.2%,22.7%,8.1%,5.0%,5.1%,3.2%,8.0%,4.9%,16.5%,26.5%,37.0,3.5%,14.7%,36.1%,45.7%,4
Illinois,Carroll,89.3%,78.4%,10.9%,0.8%,2.8%,0.4%,0.6%,6.1%,57.3%,32.4%,26.1%,13.0%,12.8%,10.3%,5.7%,9.7%,8.0%,5.6%,8.8%,25.2,2.1%,20.9%,44.0%,33.0%,6
Illinois,Cass,92.7%,72.3%,20.3%,0.3%,1.6%,0.3%,0.8%,4.2%,59.3%,40.1%,28.9%,16.8%,7.1%,8.6%,6.3%,11.1%,4.2%,6.1%,10.9%,24.4,2.2%,23.1%,42.2%,32.5%,10
Illinois,Champaign,77.9%,68.9%,9.0%,5.6%,9.2%,2.5%,0.8%,4.0%,93.6%,5.5%,19.4%,25.3%,23.5%,13.9%,4.3%,7.2%,1.9%,2.2%,2.3%,16.9,5.1%,26.9%,42.8%,25.2%,12
Illinois,Christian,93.0%,83.5%,9.5%,0.2%,2.1%,0.1%,0.9%,3.6%,57.8%,40.3%,23.2%,15.4%,10.3%,8.4%,4.2%,8.6%,10.0%,13.5%,6.4%,25.2,2.0%,18.0%,44.3%,35.7%,14
Illinois,Clark,91.6%,82.3%,9.3%,0.1%,1.2%,0.9%,1.4%,4.9%,55.4%,26.8%,25.1%,11.8%,11.4%,14.6%,6.1%,11.0%,7.8%,6.2%,6.0%,22.7,2.0%,14.8%,42.9%,40.3%,19
Illinois,Clay,90.4%,81.2%,9.1%,0.1%,4.0%,0.4%,2.0%,3.2%,77.4%,21.0%,36.1%,17.5%,10.7%,9.5%,4.5%,7.2%,2.8%,6.2%,5.5%,19.0,0.8%,20.5%,42.0%,36.7%,22
Illinois,Clinton,92.0%,81.7%,10.3%,0.8%,2.5%,0.2%,1.1%,3.3%,49.7%,38.6%,24.6%,11.5%,12.2%,10.1%,4.5%,10.4%,7.1%,8.9%,10.7%,25.2,1.1%,13.3%,41.8%,43.7%,27
Illinois,Coles,88.0%,78.0%,10.0%,0.5%,6.6%,0.6%,0.7%,3.6%,82.1%,16.7%,33.7%,20.6%,14.8%,10.1%,4.0%,6.5%,2.3%,4.1%,3.8%,16.8,2.7%,21.6%,43.6%,32.1%,30
Illinois,Cook,72.7%,63.1%,9.5%,17.7%,4.0%,0.8%,1.2%,3.7%,87.3%,11.4%,7.6%,9.6%,11.2%,12.7%,5.3%,17.8%,9.3%,12.7%,13.8%,31.8,9.0%,30.6%,38.5%,22.0%,36
Illinois,Crawford,92.2%,82.1%,10.1%,0.2%,2.7%,0.4%,0.9%,3.7%,80.2%,13.0%,34.8%,20.8%,13.3%,9.4%,2.7%,6.5%,4.2%,4.2%,4.1%,17.7,1.4%,16.2%,38.0%,44.4%,40
Illinois,Cumberland,91.6%,79.2%,12.4%,0.0%,0.6%,0.4%,1.2%,6.2%,35.9%,61.8%,17.4%,6.7%,13.9%,17.0%,12.1%,15.8%,7.9%,4.6%,4.5%,23.7,0.7%,11.5%,44.0%,43.8%,44
Illinois,DeKalb,87.7%,79.0%,8.7%,2.2%,5.0%,0.8%,0.4%,3.9%,59.2%,39.9%,23.0%,16.5%,12.1%,7.9%,3.6%,8.4%,9.4%,9.5%,9.8%,25.2,2.0%,16.9%,45.6%,35.5%,49
Illinois,De Witt,92.6%,82.6%,9.9%,0.1%,3.2%,0.0%,1.6%,2.6%,48.3%,51.1%,27.8%,10.3%,8.6%,7.5%,4.7%,22.4%,9.2%,6.4%,3.1%,22.1,1.6%,14.9%,41.8%,41.7%,53
Illinois,Douglas,86.6%,72.4%,14.2%,0.0%,3.3%,3.7%,0.9%,5.5%,59.0%,40.1%,34.6%,10.1%,9.6%,8.0%,4.4%,13.5%,9.8%,6.1%,3.8%,20.4,9.0%,15.0%,46.1%,29.9%,55
Illinois,DuPage,86.0%,78.7%,7.3%,6.5%,1.7%,0.3%,0.9%,4.6%,59.1%,39.9%,10.8%,12.8%,12.8%,13.2%,6.5%,13.4%,8.3%,9.7%,12.5%,29.1,1.4%,18.0%,47.8%,32.8%,64
Illinois,Edgar,90.4%,79.7%,10.7%,0.1%,3.3%,0.1%,0.9%,5.3%,66.3%,19.6%,30.5%,17.6%,8.0%,11.0%,4.4%,11.4%,4.8%,5.8%,6.4%,21.5,2.0%,22.6%,38.1%,37.3%,66
Illinois,Edwards,88.6%,78.4%,10.2%,0.1%,4.0%,0.2%,1.4%,5.8%,60.6%,30.7%,36.9%,14.5%,11.5%,8.6%,6.5%,8.0%,3.6%,4.6%,5.8%,21.4,4.0%,17.3%,36.0%,42.7%,71
Illinois,Effingham,91.4%,83.2%,8.2%,0.3%,1.5%,0.5%,1.3%,5.1%,87.8%,10.7%,21.6%,24.5%,19.4%,12.4%,7.1%,7.2%,2.3%,2.3%,3.0%,17.7,1.7%,15.1%,40.3%,42.9%,76
Illinois,Fayette,88.2%,77.2%,11.0%,1.1%,2.5%,0.2%,2.3%,5.8%,66.0%,31.4%,23.7%,16.3%,14.1%,12.2%,4.8%,9.4%,5.6%,4.7%,9.2%,23.5,0.8%,17.4%,40.7%,41.1%,79
Illinois,Ford,92.5%,78.6%,13.8%,0.1%,3.3%,0.2%,0.1%,3.8%,51.2%,47.5%,33.7%,10.3%,8.4%,5.8%,4.5%,11.5%,11.2%,9.1%,5.5%,22.4,1.8%,17.1%,46.0%,35.2%,81
Illinois,Franklin,93.8%,85.0%,8.7%,0.1%,1.5%,0.2%,0.8%,3.7%,53.3%,44.8%,20.1%,14.0%,13.4%,13.0%,6.8%,13.7%,7.1%,6.3%,5.6%,23.2,1.6%,21.0%,41.5%,35.9%,85
Illinois,Fulton,92.6%,81.5%,11.0%,0.1%,3.2%,0.0%,1.1%,3.0%,58.6%,40.9%,28.7%,11.7%,9.2%,6.5%,4.2%,9.0%,8.2%,11.7%,10.9%,26.6,1.3%,19.2%,41.6%,38.0%,89
Illinois,Gallatin,93.4%,84.7%,8.7%,0.5%,0.6%,0.3%,1.5%,3.7%,42.8%,34.2%,20.6%,8.2%,15.0%,14.9%,3.7%,11.1%,8.3%,6.6%,11.5%,26.9,2.0%,10.6%,43.1%,44.2%,92
Illinois,Greene,90.9%,75.3%,15.6%,0.0%,4.1%,0.2%,0.5%,4.2%,48.8%,47.5%,28.8%,5.8%,7.6%,7.5%,6.3%,11.2%,8.6%,10.2%,14.0%,28.5,1.9%,18.8%,39.1%,40.3%,96
Illinois,Grundy,93.6%,84.5%,9.1%,0.6%,1.7%,0.3%,0.6%,3.3%,44.2%,55.1%,18.4%,10.8%,8.9%,10.4%,7.9%,15.4%,7.4%,8.7%,12.1%,28.7,1.7%,14.8%,42.7%,40.8%,99
Illinois,Hamilton,92.3%,81.7%,10.6%,0.0%,0.9%,0.0%,0.4%,6.4%,53.3%,41.6%,24.8%,18.0%,8.1%,7.2%,4.5%,14.4%,5.2%,6.9%,10.9%,24.3,0.9%,14.8%,29.2%,55.2%,106
Illinois,Hancock,90.0%,80.7%,9.4%,0.1%,2.5%,0.0%,0.5%,6.8%,50.8%,15.7%,25.5%,12.9%,14.5%,10.6%,5.9%,11.9%,6.5%,6.2%,5.9%,22.6,0.8%,16.4%,40.1%,42.7%,111
Illinois,Hardin,93.1%,82.4%,10.7%,0.8%,1.0%,0.0%,1.6%,3.5%,57.3%,37.5%,29.1%,7.7%,11.3%,14.2%,2.8%,6.8%,3.1%,11.2%,13.8%,26.2,1.9%,19.9%,37.2%,41.0%,113
Illinois,Henderson,89.3%,77.1%,12.2%,0.5%,3.2%,0.1%,1.0%,5.9%,38.4%,18.4%,19.4%,8.4%,13.9%,14.1%,15.5%,9.2%,5.9%,6.7%,6.9%,24.9,0.6%,15.4%,43.7%,40.3%,117
Illinois,Henry,93.4%,83.3%,10.1%,0.1%,1.9%,0.3%,0.8%,3.5%,56.1%,34.9%,26.8%,14.1%,11.5%,11.5%,8.4%,11.5%,6.5%,5.1%,4.6%,21.9,1.9%,14.5%,45.8%,37.8%,121
Illinois,Iroquois,89.1%,79.4%,9.7%,0.2%,3.3%,0.4%,0.7%,6.2%,61.4%,34.8%,26.8%,12.8%,11.2%,12.4%,6.2%,9.4%,6.0%,6.9%,8.4%,24.6,1.1%,15.2%,45.6%,38.1%,125
Illinois,Jackson,86.3%,78.2%,8.0%,0.5%,8.2%,1.8%,0.7%,2.5%,81.6%,16.2%,29.2%,22.0%,16.3%,11.8%,3.7%,7.5%,2.7%,3.6%,3.2%,17.1,3.9%,26.6%,42.7%,26.9%,129
Illinois,Jasper,87.9%,76.3%,11.6%,0.0%,1.9%,0.2%,0.5%,9.5%,54.7%,44.2%,25.0%,11.5%,11.1%,8.2%,7.2%,14.0%,9.4%,9.0%,4.5%,23.8,1.6%,11.5%,35.0%,51.8%,133
Illinois,Jefferson,90.3%,80.1%,10.2%,0.8%,2.0%,0.3%,2.4%,4.2%,83.9%,14.9%,19.6%,21.1%,20.9%,15.5%,4.5%,7.3%,2.8%,2.3%,6.1%,20.2,3.7%,20.9%,42.2%,33.2%,137
Illinois,Jersey,92.5%,82.3%,10.2%,0.2%,3.1%,0.1%,0.3%,3.9%,42.1%,38.7%,16.2%,11.6%,8.9%,12.3%,5.4%,13.9%,7.0%,11.9%,12.7%,29.5,0.5%,10.2%,41.7%,47.6%,142
Illinois,Jo Daviess,83.8%,73.3%,10.5%,1.2%,5.4%,0.2%,0.8%,8.6%,62.1%,12.8%,29.5%,17.4%,13.1%,10.1%,6.1%,8.5%,5.3%,4.1%,5.9%,20.3,2.0%,12.9%,48.5%,36.5%,145
Illinois,Johnson,93.2%,85.9%,7.2%,1.1%,1.7%,0.1%,1.0%,2.9%,45.6%,47.3%,16.3%,11.4%,10.8%,14.7%,6.9%,17.1%,8.8%,7.5%,6.6%,25.6,1.4%,16.4%,47.3%,34.9%,152
Illinois,Kane,89.6%,80.6%,9.0%,2.6%,1.5%,0.4%,1.4%,4.5%,53.1%,46.0%,11.0%,13.4%,13.4%,12.7%,5.8%,13.6%,7.9%,10.2%,11.9%,29.0,1.5%,15.8%,46.1%,36.6%,156
Illinois,Kankakee,91.1%,80.4%,10.7%,2.0%,2.6%,0.3%,0.8%,3.3%,76.7%,21.9%,22.0%,18.3%,15.2%,12.0%,4.7%,8.6%,4.3%,5.0%,9.9%,23.3,2.6%,20.2%,44.1%,33.1%,161
Illinois,Kendall,91.1%,84.0%,7.1%,3.2%,0.6%,0.2%,0.6%,4.3%,28.1%,71.2%,9.7%,9.8%,10.5%,10.2%,6.6%,11.8%,9.1%,13.7%,18.4%,34.1,1.1%,11.4%,52.2%,35.3%,165
Illinois,Knox,91.2%,82.5%,8.8%,0.9%,3.8%,0.4%,1.0%,2.7%,78.7%,19.6%,26.3%,23.3%,16.0%,9.5%,3.8%,5.0%,2.7%,7.8%,5.7%,19.8,2.7%,22.6%,43.1%,31.6%,166
Illinois,Lake,85.6%,76.6%,9.0%,4.1%,3.0%,0.3%,1.1%,5.9%,68.5%,28.8%,10.9%,11.9%,11.6%,12.0%,6.1%,13.4%,9.2%,11.4%,13.5%,30.4,1.4%,14.9%,49.4%,34.3%,170
Illinois,LaSalle,92.6%,83.1%,9.5%,0.4%,2.4%,0.5%,0.5%,3.5%,71.0%,28.2%,26.8%,16.8%,12.3%,9.9%,4.9%,9.4%,6.0%,5.6%,8.4%,22.3,1.5%,17.3%,44.9%,36.3%,175
Illinois,Lawrence,95.1%,84.9%,10.1%,0.0%,1.3%,0.8%,0.7%,2.3%,60.1%,17.1%,24.7%,14.8%,13.8%,13.4%,6.9%,6.6%,8.1%,5.6%,6.1%,22.3,2.0%,19.8%,40.3%,37.9%,177
Illinois,Lee,91.1%,80.6%,10.5%,1.5%,1.6%,0.3%,0.6%,4.9%,62.8%,36.5%,27.9%,18.8%,12.5%,11.2%,5.7%,7.4%,3.4%,4.9%,8.1%,21.4,2.0%,17.5%,39.0%,41.6%,180
Illinois,Livingston,91.3%,82.6%,8.7%,0.3%,3.3%,0.6%,0.7%,3.8%,71.3%,28.4%,35.4%,14.8%,10.3%,9.8%,4.1%,6.7%,5.8%,6.8%,6.3%,20.2,2.3%,19.5%,42.8%,35.4%,182
Illinois,Logan,91.1%,81.3%,9.7%,0.1%,3.1%,0.1%,1.8%,3.8%,66.5%,32.9%,31.7%,15.8%,12.2%,7.7%,3.5%,8.7%,6.6%,9.3%,4.5%,20.8,1.7%,17.4%,45.2%,35.8%,186
Illinois,McDonough,82.8%,73.9%,9.0%,1.5%,8.4%,1.4%,1.2%,4.7%,87.1%,10.4%,42.0%,21.4%,11.6%,7.6%,3.7%,5.7%,1.3%,2.4%,4.4%,15.1,3.0%,26.4%,43.4%,27.3%,189
Illinois,McHenry,89.2%,81.3%,7.9%,2.7%,1.5%,0.3%,0.8%,5.5%,51.4%,46.5%,11.6%,11.4%,10.6%,11.1%,5.3%,9.9%,8.0%,13.1%,19.0%,33.7,0.9%,12.3%,47.8%,38.9%,192
Illinois,McLean,88.5%,79.2%,9.3%,1.6%,5.2%,0.5%,1.0%,3.2%,90.5%,9.0%,23.1%,25.5%,21.7%,11.3%,3.8%,5.5%,2.5%,3.2%,3.4%,17.3,2.2%,20.8%,48.4%,28.6%,193
Illinois,Macon,93.1%,86.2%,6.9%,1.2%,2.1%,0.1%,1.7%,1.8%,90.3%,8.9%,19.8%,24.9%,23.7%,14.3%,3.4%,5.1%,2.4%,3.3%,3.2%,17.6,3.0%,21.8%,43.0%,32.3%,194
Illinois,Macoupin,92.7%,83.0%,9.7%,0.3%,2.8%,0.3%,0.5%,3.4%,47.6%,44.4%,22.8%,9.4%,8.9%,10.1%,5.3%,10.7%,7.4%,13.3%,11.9%,27.9,1.4%,14.9%,45.4%,38.3%,196
Illinois,Madison,93.1%,85.7%,7.4%,1.5%,1.3%,0.2%,0.8%,3.2%,61.2%,12.1%,14.0%,16.0%,14.3%,13.6%,5.9%,13.1%,9.3%,9.5%,4.3%,24.3,1.9%,18.1%,45.4%,34.6%,199
Illinois,Marion,91.6%,81.7%,9.9%,0.6%,1.9%,0.6%,1.8%,3.4%,68.9%,28.2%,25.0%,15.2%,14.9%,11.4%,6.6%,10.0%,4.8%,4.5%,7.6%,22.5,2.2%,18.8%,42.9%,36.1%,201
Illinois,Marshall,91.4%,77.6%,13.8%,0.1%,4.3%,0.3%,1.6%,2.3%,45.3%,53.7%,25.9%,8.7%,8.1%,9.2%,6.5%,10.1%,11.4%,10.9%,9.3%,27.0,2.0%,15.5%,41.6%,40.9%,202
Illinois,Mason,89.9%,80.4%,9.4%,0.0%,3.6%,0.6%,1.8%,4.2%,53.1%,45.3%,25.9%,12.4%,6.9%,9.1%,5.4%,9.0%,5.9%,13.4%,12.0%,27.0,2.0%,17.7%,45.4%,35.0%,206
Illinois,Massac,94.6%,86.5%,8.0%,0.2%,1.5%,0.6%,1.3%,1.8%,53.1%,7.5%,23.1%,13.8%,17.1%,16.9%,9.1%,9.0%,4.4%,2.7%,3.9%,19.9,1.8%,19.4%,42.2%,36.6%,208
Illinois,Menard,92.4%,78.8%,13.6%,0.0%,1.0%,0.0%,0.8%,5.7%,29.5%,70.0%,15.6%,7.2%,7.5%,8.9%,9.7%,24.5%,14.6%,6.7%,5.2%,27.5,0.4%,12.7%,44.8%,42.1%,212
Illinois,Mercer,91.0%,81.0%,10.0%,0.1%,1.5%,0.2%,0.8%,6.3%,41.3%,38.5%,17.2%,8.3%,9.3%,8.6%,8.3%,15.4%,14.7%,11.0%,7.1%,27.4,1.8%,13.8%,42.2%,42.2%,216
Illinois,Monroe,93.7%,81.7%,12.1%,0.7%,1.8%,0.1%,0.2%,3.5%,35.2%,20.7%,14.4%,7.1%,11.8%,9.2%,5.7%,17.1%,13.1%,13.2%,8.5%,28.8,0.6%,9.0%,45.5%,44.9%,219
Illinois,Montgomery,89.6%,80.5%,9.1%,0.2%,2.1%,0.1%,1.5%,6.4%,68.5%,27.7%,28.1%,14.9%,12.4%,9.7%,4.4%,8.7%,3.7%,7.4%,10.6%,23.4,1.0%,17.6%,47.5%,33.8%,223
Illinois,Morgan,90.6%,79.4%,11.2%,1.1%,3.8%,0.8%,0.5%,3.2%,77.0%,22.3%,31.6%,22.6%,12.1%,7.3%,2.9%,6.5%,4.9%,7.4%,4.7%,19.0,1.8%,19.6%,44.2%,34.4%,225
Illinois,Moultrie,85.4%,78.7%,6.8%,0.3%,3.7%,1.9%,4.0%,4.7%,59.2%,40.5%,30.0%,13.6%,13.1%,10.2%,5.2%,10.8%,7.7%,5.8%,3.7%,20.5,10.5%,13.8%,42.7%,33.0%,227
Illinois,Ogle,89.9%,80.9%,9.0%,0.4%,3.6%,0.1%,1.1%,4.9%,54.0%,44.9%,23.3%,13.1%,11.4%,11.6%,6.9%,12.1%,6.9%,6.9%,7.9%,24.4,2.2%,14.3%,39.5%,44.0%,229
Illinois,Peoria,91.8%,83.2%,8.6%,1.6%,2.2%,0.2%,1.7%,2.4%,82.1%,17.3%,16.7%,19.7%,22.1%,18.0%,6.7%,8.7%,2.6%,2.6%,2.9%,19.0,3.6%,23.3%,44.5%,28.7%,233
Illinois,Perry,93.7%,81.7%,12.1%,0.6%,2.1%,0.1%,0.6%,2.8%,56.4%,41.0%,25.8%,12.5%,9.9%,11.6%,4.3%,10.8%,5.9%,11.8%,7.4%,24.5,1.5%,19.5%,39.6%,39.3%,235
Illinois,Piatt,93.1%,82.2%,10.9%,0.3%,2.9%,0.5%,0.6%,2.7%,42.2%,57.1%,24.2%,10.0%,11.4%,13.8%,9.2%,15.7%,7.8%,4.3%,3.7%,22.2,1.0%,14.0%,47.8%,37.2%,238
Illinois,Pike,89.7%,77.5%,12.2%,0.5%,2.7%,0.2%,1.9%,5.1%,66.4%,18.4%,30.1%,12.9%,10.2%,11.2%,5.2%,9.4%,7.9%,6.7%,6.4%,21.5,0.9%,20.0%,38.4%,40.7%,241
Illinois,Pope,93.2%,81.0%,12.2%,0.0%,0.6%,0.0%,0.4%,5.8%,29.5%,58.2%,12.6%,3.9%,11.5%,12.3%,8.2%,11.8%,12.3%,14.4%,13.1%,32.8,4.7%,10.5%,36.8%,47.9%,245
Illinois,Pulaski,91.6%,83.9%,7.7%,1.3%,3.8%,0.0%,0.8%,2.5%,48.7%,34.7%,20.1%,11.4%,19.0%,10.1%,3.7%,8.6%,10.1%,9.8%,7.3%,26.0,3.4%,16.1%,47.0%,33.5%,248
Illinois,Putnam,92.8%,77.0%,15.8%,0.0%,1.2%,0.1%,0.3%,5.5%,39.7%,59.0%,19.5%,12.4%,17.0%,15.0%,8.5%,11.7%,5.5%,4.0%,6.3%,22.3,1.1%,15.6%,45.3%,38.0%,253
Illinois,Randolph,93.7%,82.8%,10.9%,0.3%,2.5%,0.4%,0.4%,2.7%,66.9%,22.4%,27.6%,14.0%,10.3%,11.7%,4.5%,8.0%,5.3%,7.9%,10.8%,23.9,0.8%,15.1%,43.5%,40.6%,255
Illinois,Richland,93.0%,84.2%,8.7%,0.8%,1.5%,0.5%,1.1%,3.2%,76.7%,19.7%,37.2%,20.0%,12.1%,9.7%,3.5%,5.6%,4.5%,3.7%,3.8%,17.8,0.9%,18.2%,44.6%,36.3%,259
Illinois,Rock Island,92.6%,83.7%,8.9%,1.5%,2.6%,0.3%,0.6%,2.4%,73.1%,3.2%,18.7%,18.7%,20.7%,19.7%,6.4%,8.5%,2.4%,2.2%,2.6%,18.5,3.0%,21.6%,45.2%,30.2%,265
Illinois,St. Clair,90.0%,81.3%,8.7%,4.4%,1.4%,0.3%,0.9%,2.9%,64.1%,9.4%,14.9%,14.6%,17.1%,14.8%,6.3%,13.2%,6.5%,7.7%,5.0%,23.2,2.7%,21.5%,42.4%,33.4%,269
Illinois,Saline,90.8%,80.6%,10.2%,0.4%,3.0%,0.3%,1.4%,4.1%,75.6%,21.4%,26.1%,17.1%,17.9%,7.3%,5.2%,7.7%,4.8%,7.8%,6.1%,22.0,1.8%,20.5%,47.0%,30.6%,271
Illinois,Sangamon,92.9%,83.5%,9.5%,1.6%,1.6%,0.4%,0.7%,2.8%,93.4%,5.9%,15.6%,21.0%,23.7%,18.2%,5.4%,8.1%,2.3%,2.3%,3.4%,18.9,2.5%,23.9%,44.2%,29.5%,274
Illinois,Schuyler,90.9%,78.3%,12.5%,0.0%,5.3%,0.0%,1.1%,2.7%,52.8%,46.4%,27.3%,17.3%,9.9%,14.3%,3.3%,11.1%,5.1%,4.2%,7.4%,22.6,3.5%,17.1%,46.1%,33.3%,278
Illinois,Scott,89.8%,78.2%,11.6%,0.3%,3.0%,0.2%,0.0%,6.7%,39.5%,59.5%,19.3%,10.4%,7.5%,15.7%,10.5%,16.5%,5.4%,6.3%,8.3%,25.3,0.7%,15.6%,37.6%,46.2%,280
Illinois,Shelby,88.9%,80.7%,8.3%,0.2%,2.4%,0.3%,1.2%,6.8%,48.5%,50.7%,23.0%,9.8%,12.4%,14.8%,9.2%,11.3%,6.7%,6.1%,6.7%,23.3,1.8%,14.9%,40.2%,43.2%,283
Illinois,Stark,86.0%,72.5%,13.6%,0.1%,3.8%,0.6%,2.3%,7.2%,48.1%,50.9%,22.3%,13.0%,8.6%,10.4%,6.6%,12.1%,8.0%,11.0%,8.0%,25.3,0.8%,14.5%,39.1%,45.6%,285
