County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available,FID
Georgia,Bibb,91.0%,81.7%,9.3%,1.1%,2.8%,0.1%,1.2%,3.8%,80.3%,19.0%,14.6%,16.3%,23.0%,17.7%,6.5%,11.4%,3.1%,3.2%,4.2%,20.7,3.7%,26.8%,40.6%,28.9%,997
Georgia,Bleckley,95.9%,87.0%,8.9%,0.0%,0.0%,0.1%,1.9%,2.1%,39.6%,59.6%,22.5%,12.3%,10.9%,7.8%,8.8%,9.7%,7.3%,16.7%,4.0%,24.3,1.1%,16.9%,42.9%,39.1%,998
Georgia,Brantley,96.1%,89.4%,6.7%,0.9%,0.0%,0.0%,1.5%,1.5%,24.1%,73.3%,5.0%,7.2%,13.1%,11.6%,2.2%,20.9%,12.3%,20.3%,7.3%,31.9,1.2%,20.1%,38.2%,40.5%,999
Georgia,Brooks,88.7%,79.2%,9.5%,0.5%,3.9%,0.3%,2.7%,3.8%,34.9%,58.8%,23.5%,8.8%,7.2%,17.0%,6.2%,19.6%,6.9%,5.2%,5.6%,24.5,1.6%,18.1%,36.4%,43.9%,565
Georgia,Bryan,92.7%,85.9%,6.8%,0.0%,0.8%,0.1%,2.2%,4.1%,27.8%,69.9%,8.6%,6.2%,5.0%,11.2%,7.3%,22.6%,18.2%,14.1%,6.8%,31.7,1.7%,13.0%,45.9%,39.4%,573
Georgia,Bulloch,90.0%,80.4%,9.6%,1.0%,2.0%,1.0%,1.5%,4.6%,70.4%,27.3%,18.1%,23.1%,15.4%,10.4%,4.8%,7.6%,4.6%,9.2%,6.8%,22.7,3.1%,22.0%,37.0%,37.8%,579
Georgia,Burke,90.3%,84.3%,6.0%,0.4%,1.2%,0.0%,0.9%,7.2%,54.7%,43.2%,19.0%,9.3%,8.6%,12.6%,6.6%,14.0%,11.5%,9.4%,8.8%,27.2,2.3%,19.0%,34.6%,44.0%,583
Georgia,Butts,92.7%,85.8%,6.9%,0.0%,0.4%,0.0%,0.9%,5.9%,39.7%,59.3%,9.6%,15.2%,9.3%,9.6%,4.0%,16.7%,6.8%,13.0%,15.7%,32.6,1.5%,16.4%,40.8%,41.3%,588
Georgia,Calhoun,91.8%,83.1%,8.7%,0.0%,2.4%,0.0%,0.0%,5.8%,51.1%,46.8%,25.5%,16.2%,7.6%,7.3%,5.7%,11.1%,10.0%,11.2%,5.4%,23.3,2.5%,24.4%,35.2%,38.0%,592
Georgia,Camden,88.0%,80.3%,7.7%,0.2%,5.4%,0.3%,0.8%,5.2%,73.0%,9.8%,15.5%,18.7%,18.2%,12.3%,4.5%,8.7%,4.6%,12.3%,5.2%,23.1,2.7%,21.5%,41.2%,34.5%,603
Georgia,Candler,94.7%,85.5%,9.2%,0.0%,0.5%,0.4%,1.4%,3.1%,50.3%,47.5%,23.3%,16.9%,9.4%,9.3%,6.4%,17.7%,5.7%,4.2%,7.1%,22.1,4.9%,22.3%,31.4%,41.5%,616
Georgia,Carroll,91.5%,79.6%,11.8%,0.4%,1.3%,0.1%,1.7%,5.0%,60.4%,38.3%,12.8%,12.6%,12.3%,14.5%,5.6%,12.9%,6.4%,9.5%,13.4%,29.4,1.4%,16.7%,37.1%,44.8%,620
Georgia,Catoosa,95.0%,85.6%,9.3%,0.1%,0.5%,0.0%,0.6%,3.8%,32.9%,16.4%,8.0%,12.7%,14.7%,20.6%,12.4%,17.9%,5.3%,5.0%,3.4%,23.8,1.0%,15.6%,39.7%,43.6%,626
Georgia,Charlton,95.4%,91.5%,3.9%,0.3%,0.2%,0.0%,1.0%,3.1%,44.1%,24.3%,15.9%,15.1%,9.7%,6.3%,5.1%,10.8%,4.5%,17.4%,15.2%,30.2,1.2%,18.8%,35.3%,44.8%,635
Georgia,Chatham,86.4%,76.8%,9.6%,2.2%,2.8%,0.8%,1.6%,6.1%,92.8%,4.5%,12.2%,15.9%,19.8%,18.9%,6.4%,12.5%,4.2%,5.7%,4.4%,22.4,4.2%,24.1%,43.1%,28.7%,646
Georgia,Chattahoochee,65.1%,53.4%,11.7%,0.9%,16.5%,0.1%,1.9%,15.5%,67.8%,31.5%,55.8%,14.9%,7.3%,7.0%,5.0%,5.7%,2.0%,2.1%,0.3%,11.1,1.3%,22.3%,48.5%,27.9%,656
Georgia,Chattooga,97.0%,85.6%,11.4%,0.0%,1.1%,0.1%,0.3%,1.5%,53.3%,40.0%,14.7%,11.5%,14.4%,12.7%,9.6%,13.2%,6.5%,9.7%,7.7%,27.0,0.5%,15.7%,38.1%,45.7%,659
Georgia,Cherokee,85.6%,76.8%,8.7%,0.5%,0.8%,0.2%,0.8%,12.1%,47.1%,51.7%,5.9%,8.8%,11.7%,10.2%,5.6%,16.5%,9.1%,13.8%,18.4%,35.0,1.8%,11.7%,45.3%,41.1%,662
Georgia,Clarke,81.2%,72.8%,8.4%,3.4%,5.2%,1.3%,1.1%,7.8%,77.5%,21.8%,17.3%,23.4%,23.3%,13.5%,3.7%,6.7%,2.8%,3.7%,5.6%,20.0,5.1%,25.2%,42.2%,27.5%,666
Georgia,Clay,92.1%,88.1%,4.0%,0.0%,3.7%,0.0%,1.2%,3.0%,35.8%,50.7%,21.2%,26.3%,8.6%,8.7%,9.5%,9.6%,1.5%,4.2%,10.4%,22.5,4.1%,27.7%,39.8%,28.4%,670
Georgia,Clayton,88.0%,74.9%,13.1%,3.7%,1.0%,0.1%,2.5%,4.7%,39.1%,60.2%,5.3%,9.0%,12.8%,14.0%,7.3%,17.7%,9.4%,11.7%,12.9%,32.1,4.1%,27.3%,37.2%,31.4%,673
Georgia,Clinch,94.3%,82.0%,12.3%,0.0%,0.2%,0.0%,4.8%,0.6%,74.3%,19.7%,32.7%,14.4%,15.5%,5.9%,6.0%,7.0%,2.9%,7.5%,8.1%,20.1,6.8%,16.1%,37.8%,39.2%,676
Georgia,Cobb,84.5%,77.0%,7.4%,0.9%,1.1%,0.1%,1.9%,11.5%,59.5%,39.4%,6.4%,9.6%,12.1%,13.2%,6.2%,17.8%,9.8%,12.7%,12.1%,31.2,1.9%,19.5%,45.0%,33.6%,680
Georgia,Coffee,92.4%,84.6%,7.8%,0.3%,0.5%,0.0%,5.0%,1.8%,82.1%,16.6%,18.3%,24.8%,18.9%,16.5%,4.1%,6.8%,2.5%,3.0%,5.1%,20.0,3.1%,18.7%,42.1%,36.1%,684
Georgia,Colquitt,91.9%,80.3%,11.6%,2.0%,1.3%,0.0%,1.9%,2.8%,75.8%,22.3%,14.9%,20.2%,15.2%,18.0%,4.2%,11.0%,5.5%,5.2%,5.7%,22.7,2.9%,22.1%,38.9%,36.1%,689
Georgia,Columbia,94.4%,86.1%,8.4%,0.1%,0.3%,0.1%,0.8%,4.3%,36.8%,55.4%,5.1%,12.4%,17.6%,19.8%,11.3%,16.0%,5.5%,6.1%,6.2%,25.9,1.4%,12.8%,43.1%,42.7%,692
Georgia,Cook,95.8%,83.2%,12.6%,0.2%,0.7%,0.0%,0.4%,2.9%,54.1%,45.6%,10.7%,22.8%,13.4%,13.6%,8.4%,12.0%,4.7%,7.1%,7.5%,25.5,2.9%,16.5%,33.7%,47.0%,697
Georgia,Coweta,89.3%,80.1%,9.2%,0.6%,0.9%,0.1%,2.2%,6.9%,47.5%,50.7%,8.6%,9.8%,13.9%,12.4%,6.4%,14.4%,10.9%,10.8%,12.8%,31.6,1.4%,14.5%,39.3%,44.8%,700
Georgia,Crawford,92.3%,85.9%,6.5%,2.3%,0.4%,0.0%,1.0%,3.9%,25.9%,74.1%,8.5%,5.4%,9.9%,11.1%,6.4%,26.3%,12.5%,14.5%,5.4%,30.0,3.4%,12.2%,41.0%,43.4%,704
Georgia,Crisp,93.8%,78.9%,14.9%,0.5%,1.5%,0.0%,0.8%,3.4%,70.0%,30.0%,17.8%,24.1%,22.7%,11.1%,1.6%,8.2%,1.8%,6.3%,6.5%,20.6,5.9%,23.9%,39.6%,30.6%,707
Georgia,Dade,88.1%,80.1%,8.0%,0.2%,6.3%,0.0%,0.6%,4.7%,41.9%,6.9%,16.5%,8.7%,14.0%,10.2%,7.0%,17.1%,9.7%,10.6%,6.3%,26.6,2.7%,17.6%,39.4%,40.3%,708
Georgia,Dawson,89.3%,79.3%,10.0%,0.0%,1.3%,0.0%,0.6%,8.7%,45.3%,54.0%,14.9%,12.1%,9.6%,8.9%,4.0%,12.9%,9.4%,15.1%,13.1%,31.1,1.1%,11.3%,37.5%,50.1%,713
Georgia,Decatur,95.5%,81.6%,13.9%,0.1%,0.5%,0.0%,2.4%,1.5%,66.8%,17.6%,15.2%,21.6%,17.5%,10.9%,8.4%,10.7%,4.0%,5.5%,6.4%,22.1,4.4%,18.7%,41.0%,35.9%,714
Georgia,DeKalb,79.6%,69.6%,10.0%,6.6%,1.5%,0.3%,1.7%,10.2%,48.0%,51.1%,4.9%,8.0%,11.4%,15.3%,7.7%,18.9%,10.2%,11.8%,11.9%,32.0,4.7%,27.7%,43.3%,24.3%,718
Georgia,Dodge,94.8%,84.2%,10.6%,0.8%,1.1%,0.2%,1.3%,1.9%,51.7%,45.7%,14.4%,16.4%,17.4%,10.2%,5.1%,6.8%,2.6%,14.1%,12.9%,28.7,1.5%,27.8%,33.1%,37.5%,720
Georgia,Dooly,92.6%,80.3%,12.3%,2.7%,1.3%,0.0%,0.8%,2.7%,61.8%,37.4%,27.0%,16.1%,17.7%,8.5%,3.2%,8.1%,8.9%,2.9%,7.5%,22.4,4.5%,26.4%,30.6%,38.5%,724
Georgia,Dougherty,89.5%,78.6%,11.0%,1.5%,2.8%,0.2%,1.4%,4.6%,84.7%,14.6%,15.6%,26.2%,23.6%,15.0%,3.5%,6.2%,2.1%,2.5%,5.2%,19.3,5.8%,31.0%,37.5%,25.6%,728
Georgia,Douglas,90.5%,82.1%,8.4%,0.7%,0.1%,0.0%,1.2%,7.5%,39.1%,60.1%,6.9%,10.4%,11.3%,11.1%,5.5%,14.7%,9.8%,14.0%,16.3%,33.7,1.5%,16.8%,41.2%,40.4%,731
Georgia,Early,94.6%,84.9%,9.7%,0.6%,2.7%,0.0%,1.6%,0.5%,58.5%,22.7%,16.7%,18.2%,14.0%,15.4%,5.3%,6.2%,12.2%,4.5%,7.4%,22.4,5.5%,31.9%,27.3%,35.3%,735
Georgia,Echols,85.5%,80.0%,5.5%,0.4%,9.2%,0.0%,3.5%,1.3%,36.0%,60.0%,23.9%,6.4%,8.7%,17.0%,8.2%,8.8%,12.1%,9.0%,5.8%,24.6,1.2%,15.3%,30.4%,53.1%,737
Georgia,Effingham,94.1%,88.5%,5.6%,0.4%,0.7%,0.0%,1.7%,3.1%,33.5%,62.0%,8.0%,6.5%,7.3%,18.0%,7.0%,20.5%,10.9%,13.8%,8.1%,30.4,1.4%,11.7%,46.3%,40.5%,742
Georgia,Elbert,92.5%,80.5%,12.0%,0.1%,3.1%,0.3%,0.0%,3.9%,65.1%,29.9%,21.5%,17.2%,15.1%,9.2%,7.5%,12.0%,4.8%,6.6%,6.2%,22.5,2.5%,13.9%,37.8%,45.8%,746
Georgia,Emanuel,91.3%,75.6%,15.7%,1.2%,1.4%,0.0%,1.1%,4.9%,61.6%,35.5%,19.5%,13.7%,12.4%,12.2%,3.5%,11.3%,6.1%,10.0%,11.2%,27.2,5.8%,17.8%,37.9%,38.5%,750
Georgia,Evans,89.8%,82.9%,6.9%,0.0%,1.6%,0.0%,5.8%,2.8%,47.9%,51.1%,26.0%,12.0%,9.3%,11.5%,4.6%,11.0%,3.5%,11.7%,10.3%,25.0,1.5%,35.5%,32.8%,30.2%,754
Georgia,Fannin,89.7%,77.1%,12.5%,0.3%,0.7%,0.0%,1.1%,8.2%,70.1%,23.6%,13.9%,15.0%,18.5%,14.4%,5.6%,12.7%,2.9%,6.2%,10.8%,27.1,1.2%,11.3%,38.1%,49.4%,755
Georgia,Fayette,84.4%,77.2%,7.2%,0.8%,0.2%,0.1%,2.6%,11.8%,51.6%,45.9%,10.5%,10.3%,12.1%,11.2%,7.0%,13.2%,9.2%,12.5%,14.0%,32.2,1.3%,11.2%,39.9%,47.6%,760
Georgia,Floyd,91.0%,80.7%,10.2%,0.4%,3.3%,0.2%,1.0%,4.1%,76.9%,22.0%,13.2%,16.8%,21.6%,13.7%,5.0%,12.1%,4.8%,6.3%,6.4%,23.7,3.4%,20.0%,37.0%,39.6%,764
Georgia,Forsyth,80.4%,73.4%,6.9%,0.6%,0.5%,0.1%,1.1%,17.3%,51.3%,47.6%,7.4%,8.4%,13.4%,13.4%,6.1%,13.3%,10.0%,11.7%,16.4%,33.1,0.8%,10.6%,48.8%,39.7%,768
Georgia,Franklin,92.5%,81.7%,10.8%,0.6%,1.7%,0.1%,0.7%,4.3%,49.3%,43.6%,15.9%,12.0%,14.4%,12.6%,9.2%,15.1%,6.3%,7.8%,6.6%,24.7,2.3%,15.7%,30.1%,51.9%,772
Georgia,Fulton,74.4%,67.9%,6.4%,7.0%,2.8%,0.5%,2.3%,13.0%,74.2%,24.4%,7.3%,11.5%,15.4%,16.9%,6.2%,15.5%,7.3%,9.5%,10.3%,28.9,5.9%,29.5%,43.1%,21.6%,779
Georgia,Gilmer,91.0%,73.9%,17.1%,0.5%,1.3%,0.1%,0.9%,6.2%,61.1%,37.7%,10.5%,16.8%,13.8%,14.8%,1.9%,12.1%,6.3%,6.0%,17.7%,31.0,1.3%,18.5%,34.2%,46.0%,781
Georgia,Glascock,99.2%,93.4%,5.8%,0.0%,0.2%,0.0%,0.2%,0.4%,22.2%,77.3%,10.9%,7.9%,7.1%,17.3%,2.9%,20.5%,12.5%,8.0%,13.1%,33.5,7.0%,12.9%,35.3%,44.9%,783
Georgia,Glynn,90.9%,80.3%,10.7%,0.4%,1.2%,0.5%,1.9%,5.1%,92.2%,6.2%,16.1%,17.5%,19.2%,19.3%,5.3%,11.7%,2.4%,3.1%,5.4%,21.0,3.0%,21.6%,39.9%,35.5%,793
Georgia,Gordon,91.4%,79.6%,11.8%,0.1%,1.0%,0.3%,1.5%,5.7%,67.6%,30.7%,13.0%,18.0%,20.0%,13.3%,6.5%,10.7%,5.0%,5.5%,8.0%,24.0,3.3%,14.9%,42.6%,39.2%,796
Georgia,Grady,96.8%,79.3%,17.6%,0.0%,0.6%,0.0%,0.8%,1.7%,44.7%,37.8%,17.0%,13.2%,10.3%,14.7%,5.0%,14.1%,8.5%,10.0%,7.2%,26.0,1.8%,18.2%,43.0%,37.0%,797
Georgia,Greene,89.4%,82.0%,7.4%,0.2%,0.6%,0.0%,1.3%,8.6%,64.5%,32.6%,14.6%,13.2%,16.9%,14.0%,4.7%,12.4%,5.6%,11.1%,7.5%,26.8,2.5%,27.8%,35.9%,33.8%,800
Georgia,Gwinnett,88.1%,76.8%,11.2%,0.8%,0.8%,0.1%,1.4%,8.9%,59.4%,39.3%,6.5%,8.2%,11.2%,11.1%,6.2%,15.3%,9.9%,15.2%,16.4%,34.2,2.1%,17.4%,41.1%,39.4%,804
Georgia,Habersham,92.4%,80.7%,11.7%,0.3%,0.9%,0.0%,1.9%,4.4%,56.5%,41.9%,11.8%,16.7%,14.6%,13.7%,5.0%,10.6%,7.1%,9.6%,10.9%,28.5,3.2%,14.1%,31.7%,51.0%,806
Georgia,Hall,91.2%,79.1%,12.2%,0.5%,1.2%,0.1%,1.6%,5.4%,67.7%,31.3%,9.3%,13.4%,16.2%,17.3%,7.1%,13.0%,5.5%,7.4%,10.8%,27.7,3.7%,14.4%,38.1%,43.8%,808
Georgia,Hancock,91.5%,86.6%,5.0%,0.0%,0.0%,0.0%,0.6%,7.9%,51.6%,48.4%,24.9%,11.4%,11.4%,5.5%,3.4%,11.9%,11.3%,7.0%,13.2%,28.5,8.9%,23.4%,32.9%,34.9%,810
Georgia,Haralson,94.1%,79.4%,14.7%,0.0%,0.1%,0.4%,1.2%,4.2%,45.2%,52.7%,16.8%,9.4%,12.2%,12.9%,10.8%,12.4%,4.4%,7.9%,13.3%,29.4,1.6%,14.3%,42.0%,42.2%,813
Georgia,Harris,93.3%,85.1%,8.2%,0.3%,0.3%,0.0%,1.1%,5.1%,22.6%,73.0%,5.7%,7.8%,15.1%,22.2%,11.5%,20.7%,7.0%,4.8%,5.2%,27.2,1.5%,8.3%,40.8%,49.4%,814
Georgia,Hart,93.1%,81.3%,11.9%,0.2%,2.2%,0.0%,0.0%,4.5%,53.1%,34.1%,20.2%,17.8%,16.1%,12.2%,6.4%,7.9%,5.9%,6.2%,7.3%,22.1,1.5%,17.2%,39.3%,41.9%,816
Georgia,Heard,96.0%,84.4%,11.6%,0.3%,0.3%,0.0%,1.0%,2.4%,31.0%,65.9%,7.3%,7.0%,13.0%,12.0%,8.5%,16.7%,7.7%,10.9%,16.8%,35.1,1.5%,13.8%,40.6%,44.1%,817
Georgia,Henry,89.8%,81.7%,8.1%,1.2%,0.3%,0.0%,0.9%,7.8%,45.8%,53.1%,6.4%,9.9%,12.0%,11.4%,5.5%,14.3%,10.6%,15.0%,14.9%,33.7,0.7%,17.3%,40.0%,42.0%,820
Georgia,Houston,94.2%,84.6%,9.6%,0.1%,0.8%,0.3%,1.0%,3.6%,76.1%,23.0%,10.1%,17.0%,21.2%,17.8%,7.6%,14.7%,4.6%,2.9%,4.1%,22.4,2.3%,16.6%,43.2%,37.9%,823
Georgia,Irwin,91.3%,86.8%,4.6%,0.0%,1.3%,0.0%,4.4%,3.0%,39.0%,57.2%,20.2%,14.3%,12.1%,9.0%,7.5%,24.2%,3.8%,3.0%,6.0%,23.1,5.2%,19.4%,27.7%,47.6%,825
Georgia,Jackson,91.2%,82.8%,8.4%,0.8%,0.3%,0.0%,1.4%,6.3%,41.9%,56.6%,8.5%,11.1%,11.7%,12.1%,5.8%,17.1%,9.5%,12.0%,12.2%,31.1,2.5%,8.6%,40.6%,48.3%,828
Georgia,Jasper,93.2%,83.6%,9.6%,0.2%,0.7%,0.0%,2.4%,3.5%,31.2%,67.5%,14.8%,6.4%,8.0%,8.7%,3.2%,19.3%,8.6%,11.1%,19.8%,35.7,1.0%,14.5%,34.8%,49.7%,830
Georgia,Jeff Davis,94.1%,88.2%,5.8%,0.0%,1.0%,0.0%,4.5%,0.5%,61.7%,37.9%,17.6%,15.6%,14.1%,14.6%,2.4%,16.3%,9.0%,5.3%,5.2%,22.9,1.3%,19.0%,43.0%,36.7%,832
Georgia,Jefferson,95.6%,84.4%,11.2%,0.1%,1.5%,0.2%,0.4%,2.2%,49.3%,49.5%,15.4%,10.6%,10.5%,7.3%,4.2%,17.3%,9.4%,11.4%,13.9%,29.8,4.1%,22.3%,28.7%,45.0%,834
Georgia,Jenkins,85.4%,72.7%,12.7%,0.0%,1.7%,0.0%,0.0%,12.9%,54.9%,44.3%,22.7%,13.4%,9.6%,5.0%,3.7%,16.2%,13.2%,3.6%,12.7%,29.0,2.8%,19.2%,39.5%,38.5%,835
Georgia,Johnson,92.1%,72.2%,19.9%,0.0%,1.9%,0.0%,1.4%,4.6%,39.4%,59.6%,15.2%,10.3%,10.0%,10.2%,5.1%,18.3%,8.6%,14.7%,7.6%,29.5,1.8%,25.6%,36.0%,36.5%,837
Georgia,Jones,92.4%,82.6%,9.8%,0.0%,0.2%,0.1%,0.8%,6.5%,30.8%,67.6%,8.8%,8.7%,14.3%,13.7%,9.0%,18.5%,11.8%,7.5%,7.8%,27.9,0.9%,12.0%,40.5%,46.6%,839
Georgia,Lamar,92.3%,86.4%,5.9%,0.0%,2.3%,0.1%,2.7%,2.6%,37.8%,59.9%,14.6%,7.3%,15.0%,13.7%,5.8%,12.0%,4.5%,6.8%,20.3%,31.2,2.0%,11.2%,37.6%,49.2%,841
Georgia,Lanier,85.5%,77.4%,8.2%,0.0%,4.8%,3.7%,0.5%,5.4%,35.8%,61.6%,13.2%,8.2%,16.8%,20.0%,10.7%,17.5%,4.2%,6.2%,3.1%,23.5,5.7%,13.2%,34.9%,46.3%,845
Georgia,Laurens,96.0%,86.5%,9.6%,0.1%,1.1%,0.0%,0.7%,2.1%,78.9%,19.5%,12.0%,26.1%,15.4%,15.7%,4.2%,7.4%,3.9%,6.6%,8.6%,24.8,2.7%,26.0%,40.2%,31.2%,847
Georgia,Lee,95.0%,84.2%,10.8%,0.0%,0.5%,0.0%,0.4%,4.1%,22.8%,76.0%,7.0%,16.5%,23.8%,20.1%,7.6%,13.0%,3.7%,4.7%,3.7%,22.1,0.7%,15.7%,39.8%,43.8%,849
Georgia,Liberty,91.0%,82.2%,8.8%,0.7%,3.8%,0.4%,1.0%,3.2%,76.8%,21.7%,19.6%,16.1%,19.9%,11.9%,3.1%,9.2%,4.6%,8.3%,7.3%,22.3,2.6%,28.9%,39.8%,28.8%,855
Georgia,Lincoln,93.7%,86.7%,6.9%,0.3%,0.8%,0.0%,2.3%,3.0%,44.0%,44.1%,17.2%,9.5%,5.0%,10.5%,6.6%,10.4%,6.1%,16.8%,17.8%,34.2,2.3%,25.4%,25.6%,46.7%,857
Georgia,Long,92.8%,78.7%,14.1%,0.1%,0.3%,0.0%,2.1%,4.7%,22.9%,75.0%,4.5%,5.3%,16.6%,23.1%,10.7%,10.2%,9.3%,8.5%,11.7%,29.8,6.9%,23.2%,37.7%,32.1%,860
Georgia,Lowndes,93.2%,83.7%,9.4%,0.3%,2.3%,0.2%,1.3%,2.7%,91.7%,6.3%,13.8%,21.2%,25.0%,17.1%,7.2%,7.5%,2.5%,1.9%,3.9%,19.5,4.7%,20.7%,42.8%,31.7%,863
Georgia,Lumpkin,90.0%,84.5%,5.4%,0.3%,4.9%,0.0%,0.5%,4.4%,50.8%,48.8%,16.2%,13.8%,10.7%,14.0%,3.4%,11.7%,5.8%,11.8%,12.7%,28.1,1.4%,11.3%,38.0%,49.4%,865
Georgia,McDuffie,94.5%,89.0%,5.5%,0.0%,1.2%,0.0%,0.8%,3.4%,46.5%,49.4%,10.2%,17.6%,15.7%,9.9%,3.0%,21.8%,8.1%,8.5%,5.1%,25.3,4.6%,15.5%,33.8%,46.1%,868
Georgia,McIntosh,90.6%,81.8%,8.8%,0.4%,1.3%,0.0%,0.0%,7.7%,43.3%,56.0%,12.0%,5.3%,11.7%,9.0%,7.6%,24.1%,8.3%,11.8%,10.2%,29.6,2.6%,11.6%,40.8%,45.1%,871
Georgia,Macon,90.9%,79.0%,11.9%,0.0%,2.6%,1.7%,1.1%,3.6%,54.6%,45.4%,21.2%,18.8%,8.9%,12.5%,3.3%,11.3%,4.9%,9.7%,9.4%,24.1,6.3%,24.1%,31.5%,38.1%,874
Georgia,Madison,92.4%,82.2%,10.2%,0.1%,2.9%,0.0%,1.1%,3.5%,28.3%,71.0%,11.6%,12.1%,12.0%,16.7%,10.5%,14.2%,7.7%,9.2%,6.1%,26.5,1.0%,17.6%,34.1%,47.3%,875
Georgia,Marion,92.6%,79.4%,13.1%,0.9%,0.3%,0.0%,1.4%,4.8%,35.7%,63.3%,10.0%,9.6%,11.8%,2.9%,3.4%,12.6%,14.5%,25.3%,9.9%,35.2,2.0%,18.1%,33.7%,46.2%,877
Georgia,Meriwether,94.4%,84.7%,9.7%,0.2%,2.5%,0.0%,1.1%,1.8%,28.6%,70.1%,11.2%,10.7%,3.9%,4.3%,7.9%,18.2%,10.3%,17.6%,15.8%,35.5,4.6%,18.5%,33.7%,43.2%,879
Georgia,Miller,92.8%,85.8%,7.0%,1.4%,0.1%,0.0%,0.7%,4.9%,49.4%,45.8%,15.2%,16.3%,12.5%,12.9%,7.3%,13.7%,4.6%,10.0%,7.4%,24.2,5.9%,17.7%,30.7%,45.7%,881
Georgia,Mitchell,95.8%,81.5%,14.3%,0.7%,0.8%,0.6%,0.5%,1.6%,55.6%,43.7%,20.9%,12.1%,17.2%,10.2%,4.7%,16.7%,5.3%,9.1%,3.7%,22.6,8.8%,18.7%,36.8%,35.6%,883
Georgia,Monroe,95.5%,87.5%,8.0%,0.1%,1.2%,0.0%,1.0%,2.2%,42.5%,55.3%,11.8%,10.4%,14.6%,11.5%,12.3%,16.9%,6.4%,8.3%,7.8%,27.3,1.5%,13.2%,34.7%,50.6%,885
Georgia,Montgomery,92.6%,83.2%,9.3%,0.4%,4.0%,0.3%,0.4%,2.3%,27.8%,72.1%,20.4%,13.5%,18.1%,12.4%,6.7%,8.7%,3.5%,8.1%,8.7%,25.7,0.5%,16.0%,42.1%,41.4%,887
Georgia,Morgan,89.2%,76.8%,12.4%,0.3%,2.9%,0.3%,1.7%,5.6%,58.9%,40.7%,26.0%,12.2%,16.6%,10.4%,5.5%,8.5%,5.1%,7.0%,8.6%,22.5,1.9%,13.3%,40.9%,43.9%,890
Georgia,Murray,95.9%,86.9%,9.0%,0.0%,0.5%,0.0%,0.5%,3.1%,37.9%,57.5%,6.4%,10.4%,12.0%,15.4%,15.2%,21.4%,5.3%,8.5%,5.3%,27.0,1.6%,11.2%,40.2%,47.0%,892
Georgia,Muscogee,88.3%,79.7%,8.5%,0.9%,1.7%,0.4%,2.2%,6.5%,82.9%,11.2%,12.4%,18.6%,25.6%,19.1%,6.6%,8.3%,2.4%,3.1%,3.9%,20.3,4.3%,25.1%,41.9%,28.7%,896
Georgia,Newton,89.3%,80.3%,9.0%,0.9%,1.0%,0.0%,2.5%,6.3%,39.8%,59.0%,7.3%,9.9%,14.6%,13.7%,5.8%,13.8%,5.5%,10.6%,18.8%,34.2,1.8%,14.9%,42.0%,41.3%,899
Georgia,Oconee,86.6%,78.8%,7.8%,0.1%,0.4%,0.1%,1.1%,11.7%,40.1%,59.0%,8.3%,12.9%,22.2%,22.5%,7.9%,10.0%,1.9%,5.3%,8.7%,25.2,0.5%,8.2%,43.5%,47.9%,901
Georgia,Oglethorpe,93.8%,85.1%,8.7%,0.0%,0.6%,0.0%,0.3%,5.3%,23.0%,76.5%,5.8%,6.0%,13.7%,18.0%,11.3%,17.0%,11.8%,10.5%,5.8%,28.8,0.6%,11.0%,41.0%,47.4%,905
Georgia,Paulding,89.8%,81.9%,7.9%,0.6%,0.3%,0.0%,0.7%,8.5%,33.5%,65.3%,5.0%,7.4%,10.3%,10.0%,4.2%,12.9%,9.6%,17.4%,23.2%,39.2,1.4%,10.6%,42.1%,45.9%,908
Georgia,Peach,92.5%,80.7%,11.8%,1.0%,1.5%,0.3%,1.6%,3.1%,37.4%,59.6%,13.6%,14.2%,14.8%,16.8%,8.5%,16.3%,4.2%,6.6%,5.0%,24.5,3.9%,21.0%,31.6%,43.5%,910
Georgia,Pickens,89.3%,75.3%,14.0%,0.4%,0.5%,0.1%,0.5%,9.2%,50.0%,48.8%,14.8%,9.4%,12.1%,9.7%,5.5%,14.2%,7.2%,9.2%,17.8%,32.2,2.5%,13.0%,37.7%,46.8%,912
Georgia,Pierce,95.3%,87.2%,8.1%,0.4%,1.1%,0.0%,1.8%,1.4%,42.2%,54.7%,8.2%,15.1%,16.4%,18.2%,6.5%,20.3%,4.8%,4.2%,6.5%,24.9,2.0%,13.6%,50.5%,33.9%,915
Georgia,Pike,95.1%,85.1%,10.1%,0.8%,0.4%,0.0%,0.2%,3.6%,25.2%,74.2%,8.5%,11.8%,11.4%,12.0%,7.7%,10.1%,7.4%,13.2%,18.1%,35.4,2.1%,6.9%,34.0%,57.0%,7
