County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
Taliaferro County,Georgia,85.0%,79.0%,6.0%,0.0%,2.6%,0.0%,10.1%,2.3%,25.0%,75.0%,19.6%,6.6%,6.1%,10.8%,5.5%,14.1%,4.2%,21.0%,11.9%,30.3,5.4%,22.4%,45.1%,27.1%
Tattnall County,Georgia,79.7%,68.9%,10.8%,0.1%,1.2%,0.0%,13.3%,5.8%,55.2%,43.6%,19.3%,13.8%,13.9%,9.2%,4.1%,15.2%,8.6%,5.7%,10.1%,24.8,5.4%,22.5%,38.8%,33.3%
Taylor County,Georgia,95.2%,80.9%,14.3%,0.0%,1.1%,0.0%,1.4%,2.2%,53.9%,46.1%,18.5%,11.5%,19.4%,7.8%,4.6%,8.2%,2.2%,14.1%,13.6%,25.9,2.6%,25.4%,39.4%,32.6%
Telfair County,Georgia,92.0%,85.9%,6.2%,0.3%,1.9%,0.2%,4.4%,1.2%,63.0%,36.4%,13.8%,19.1%,20.2%,19.2%,5.0%,10.6%,1.5%,3.0%,7.7%,22.0,7.5%,22.2%,38.5%,31.7%
Terrell County,Georgia,95.8%,82.8%,13.0%,0.0%,2.8%,0.1%,0.7%,0.6%,47.7%,50.9%,22.5%,15.7%,10.7%,10.7%,4.9%,17.8%,12.9%,3.1%,1.7%,20.2,4.3%,26.8%,40.8%,28.1%
Thomas County,Georgia,92.1%,80.3%,11.8%,0.1%,1.3%,0.3%,3.8%,2.4%,81.0%,11.2%,20.9%,20.2%,18.5%,13.9%,4.2%,9.0%,3.7%,4.1%,5.4%,19.9,2.4%,20.6%,42.2%,34.8%
Tift County,Georgia,92.1%,77.9%,14.3%,2.1%,2.0%,0.4%,1.1%,2.3%,86.6%,12.4%,25.2%,25.8%,20.8%,10.4%,3.0%,6.6%,1.6%,4.1%,2.4%,16.2,3.1%,23.4%,39.6%,34.0%
Toombs County,Georgia,93.1%,83.6%,9.5%,0.2%,2.4%,0.0%,3.0%,1.3%,74.4%,25.5%,18.1%,20.7%,22.3%,11.0%,2.8%,13.7%,1.5%,3.2%,6.7%,21.7,3.9%,22.0%,42.6%,31.5%
Towns County,Georgia,88.2%,76.4%,11.8%,0.0%,6.8%,0.0%,0.0%,4.9%,74.0%,18.8%,26.5%,18.2%,19.7%,8.6%,3.3%,9.3%,1.6%,4.3%,8.5%,24.0,0.4%,18.3%,47.7%,33.6%
Treutlen County,Georgia,93.1%,82.7%,10.4%,1.0%,1.9%,0.6%,2.8%,0.6%,43.4%,56.2%,26.8%,9.2%,10.1%,8.7%,10.0%,20.2%,7.1%,3.8%,4.2%,22.3,3.9%,13.1%,40.7%,42.3%
Troup County,Georgia,93.5%,82.8%,10.8%,0.2%,2.2%,0.0%,2.0%,1.9%,79.9%,14.0%,15.3%,22.1%,21.8%,15.7%,5.2%,7.1%,2.9%,4.7%,5.2%,20.5,3.1%,23.5%,40.1%,33.3%
Turner County,Georgia,91.7%,80.6%,11.1%,0.0%,4.7%,0.1%,1.9%,1.5%,52.3%,47.4%,25.8%,9.5%,10.4%,8.6%,10.0%,18.4%,6.0%,7.7%,3.7%,22.0,4.5%,15.6%,58.4%,21.6%
Twiggs County,Georgia,96.8%,87.3%,9.5%,0.0%,1.9%,0.0%,0.2%,1.1%,22.4%,75.5%,10.2%,13.6%,10.8%,14.4%,12.3%,14.2%,10.5%,6.0%,7.8%,27.8,1.1%,26.1%,31.0%,41.7%
Union County,Georgia,95.5%,84.5%,11.0%,0.0%,1.1%,0.0%,1.7%,1.7%,65.0%,26.0%,17.0%,16.1%,21.3%,15.1%,4.3%,12.0%,3.2%,3.2%,7.8%,24.1,0.4%,19.8%,41.6%,38.1%
Upson County,Georgia,94.3%,80.6%,13.8%,0.0%,1.6%,0.0%,2.2%,1.9%,64.0%,35.9%,19.7%,20.6%,16.3%,8.5%,3.2%,8.8%,5.0%,8.2%,9.8%,24.0,3.3%,22.5%,37.0%,37.1%
Walker County,Georgia,95.3%,82.1%,13.2%,0.3%,1.1%,0.0%,0.6%,2.7%,36.9%,24.0%,12.3%,11.6%,14.3%,14.2%,7.0%,17.1%,9.1%,8.6%,5.7%,25.7,2.8%,17.3%,44.0%,35.9%
Walton County,Georgia,93.9%,81.9%,12.0%,0.3%,0.4%,0.0%,1.6%,3.8%,39.2%,59.2%,8.6%,13.8%,12.9%,9.9%,5.2%,12.3%,7.7%,13.5%,16.1%,32.0,1.5%,12.1%,42.0%,44.5%
Ware County,Georgia,95.5%,79.3%,16.1%,0.0%,1.4%,0.2%,0.9%,2.0%,82.0%,16.0%,19.0%,23.6%,17.5%,10.7%,3.0%,9.8%,3.1%,6.3%,6.8%,22.1,3.9%,24.9%,37.9%,33.3%
Warren County,Georgia,93.5%,81.2%,12.3%,0.5%,2.0%,0.4%,1.0%,2.7%,36.3%,63.2%,11.9%,20.5%,21.0%,17.2%,2.4%,6.9%,4.3%,7.1%,8.8%,22.6,6.2%,22.7%,35.3%,35.9%
Washington County,Georgia,94.9%,86.1%,8.8%,0.5%,1.0%,0.8%,0.9%,2.0%,80.1%,19.2%,22.1%,20.0%,19.4%,12.8%,5.7%,6.9%,3.6%,4.4%,5.0%,21.4,1.1%,27.8%,39.1%,32.0%
Wayne County,Georgia,92.3%,78.4%,13.9%,0.4%,1.6%,1.0%,1.6%,3.1%,73.1%,25.5%,16.7%,22.7%,15.4%,10.4%,3.1%,8.5%,4.1%,7.8%,11.4%,25.7,3.5%,21.5%,38.6%,36.4%
Webster County,Georgia,96.5%,77.6%,18.8%,0.0%,1.7%,0.0%,1.8%,0.0%,36.3%,62.2%,24.4%,12.7%,10.6%,7.6%,0.7%,17.9%,6.6%,13.5%,6.0%,24.0,5.0%,17.6%,35.2%,42.3%
Wheeler County,Georgia,94.2%,82.0%,12.2%,0.0%,0.6%,0.0%,1.1%,4.1%,53.5%,45.8%,9.1%,25.9%,21.4%,18.6%,1.2%,18.9%,0.5%,1.6%,2.9%,19.5,2.3%,16.3%,54.1%,27.3%
White County,Georgia,94.2%,85.8%,8.4%,0.5%,1.4%,0.4%,0.3%,3.3%,49.4%,49.5%,11.6%,13.9%,14.6%,11.7%,5.5%,12.5%,6.9%,13.9%,9.4%,29.7,1.6%,18.1%,41.1%,39.2%
Whitfield County,Georgia,94.0%,81.2%,12.8%,0.2%,0.7%,0.1%,3.0%,2.1%,85.2%,11.1%,13.1%,20.6%,23.5%,16.8%,7.0%,11.1%,2.4%,2.8%,2.7%,19.5,1.7%,21.3%,38.7%,38.2%
Wilcox County,Georgia,96.6%,83.7%,12.9%,0.0%,1.7%,0.0%,0.4%,1.3%,53.0%,45.7%,17.5%,11.8%,17.5%,13.8%,6.8%,13.8%,7.8%,3.8%,7.2%,23.8,1.7%,14.2%,42.9%,41.2%
Wilkes County,Georgia,86.0%,68.3%,17.7%,0.9%,6.9%,0.0%,3.3%,2.9%,68.7%,29.0%,24.0%,15.7%,17.9%,11.3%,1.4%,9.6%,3.6%,7.7%,8.9%,22.7,12.1%,22.3%,34.2%,31.4%
Wilkinson County,Georgia,96.5%,91.0%,5.5%,0.0%,1.3%,0.0%,0.8%,1.4%,48.6%,51.2%,14.0%,18.1%,9.7%,12.7%,8.0%,12.8%,12.0%,7.9%,4.9%,24.4,1.4%,22.3%,41.7%,34.5%
Worth County,Georgia,97.4%,79.7%,17.7%,0.8%,0.2%,0.1%,0.6%,0.9%,34.7%,64.4%,13.6%,9.8%,9.5%,13.7%,11.6%,19.4%,9.9%,7.8%,4.6%,25.6,2.2%,18.5%,39.2%,40.1%
Hawaii County,Hawaii,84.7%,68.0%,16.6%,1.5%,2.7%,0.4%,1.8%,8.9%,98.4%,1.1%,16.1%,17.3%,15.7%,11.7%,3.7%,12.4%,5.1%,7.9%,10.1%,26.3,1.5%,19.2%,41.2%,38.0%
Honolulu County,Hawaii,80.1%,64.5%,15.6%,7.9%,5.5%,0.9%,2.2%,3.4%,99.0%,0.4%,10.2%,11.7%,13.5%,14.9%,5.1%,19.7%,6.9%,9.5%,8.5%,27.0,4.3%,22.7%,37.3%,35.7%
Kalawao County,Hawaii,53.1%,53.1%,0.0%,0.0%,17.2%,7.8%,6.3%,15.6%,92.2%,7.8%,83.3%,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,6.2,0.0%,60.9%,32.8%,6.3%
Kauai County,Hawaii,90.9%,78.8%,12.1%,0.4%,1.6%,0.6%,1.8%,4.8%,98.0%,1.7%,21.6%,16.6%,14.7%,13.5%,5.5%,14.9%,3.7%,6.9%,2.6%,19.9,0.8%,14.1%,35.9%,49.2%
Maui County,Hawaii,84.9%,70.2%,14.7%,1.7%,3.3%,0.6%,1.8%,7.7%,98.6%,0.7%,21.5%,18.4%,14.6%,12.5%,4.3%,12.2%,5.5%,6.6%,4.4%,20.8,2.4%,18.5%,39.1%,40.0%
Ada County,Idaho,88.5%,79.8%,8.7%,0.6%,1.9%,2.4%,1.4%,5.2%,92.6%,6.1%,14.0%,18.2%,21.7%,19.5%,7.2%,12.2%,2.9%,2.2%,2.1%,19.3,1.7%,17.3%,46.7%,34.3%
Adams County,Idaho,81.4%,65.0%,16.4%,0.0%,7.9%,0.0%,1.5%,9.3%,68.9%,29.6%,36.0%,19.8%,7.4%,13.0%,0.8%,9.4%,3.8%,3.5%,6.2%,18.3,0.9%,11.9%,45.5%,41.7%
Bannock County,Idaho,90.1%,78.8%,11.4%,1.3%,2.9%,1.2%,0.9%,3.4%,89.2%,9.5%,26.8%,30.0%,19.7%,7.6%,1.9%,4.4%,1.5%,2.5%,5.7%,17.7,1.5%,15.7%,39.4%,43.3%
Bear Lake County,Idaho,89.1%,70.9%,18.3%,0.2%,3.5%,0.1%,2.1%,4.9%,76.0%,13.2%,41.3%,17.5%,8.5%,8.8%,1.4%,5.7%,4.1%,3.5%,9.2%,20.9,1.6%,14.4%,35.6%,48.4%
Benewah County,Idaho,87.3%,81.4%,5.9%,1.1%,5.2%,0.4%,2.6%,3.4%,84.6%,11.3%,48.2%,11.1%,8.6%,8.5%,2.8%,7.7%,2.2%,4.4%,6.6%,17.1,1.6%,15.6%,42.1%,40.7%
Bingham County,Idaho,89.2%,75.4%,13.8%,2.1%,2.7%,0.3%,1.6%,4.2%,67.9%,30.8%,27.2%,20.7%,12.7%,9.2%,5.4%,9.0%,4.0%,5.5%,6.2%,20.2,1.5%,11.6%,32.9%,54.0%
Blaine County,Idaho,80.5%,69.6%,10.9%,2.0%,5.6%,2.3%,0.3%,9.3%,96.6%,2.7%,35.3%,14.8%,13.9%,12.0%,3.1%,9.3%,4.3%,2.6%,4.7%,17.8,0.3%,17.5%,52.7%,29.5%
Boise County,Idaho,85.8%,70.3%,15.5%,0.2%,4.3%,1.2%,0.6%,7.9%,46.8%,49.6%,22.3%,10.0%,6.4%,3.3%,0.1%,6.9%,15.0%,12.5%,23.5%,36.5,1.3%,17.3%,34.3%,47.1%
Bonner County,Idaho,88.6%,74.5%,14.0%,0.4%,2.3%,1.9%,1.3%,5.5%,85.5%,6.1%,22.1%,16.4%,17.3%,10.6%,3.3%,11.2%,4.1%,6.4%,8.7%,23.9,1.3%,19.0%,34.7%,45.0%
Bonneville County,Idaho,89.0%,75.2%,13.8%,3.6%,1.8%,0.7%,1.1%,3.7%,86.9%,11.6%,21.6%,25.4%,21.5%,11.2%,2.0%,5.2%,1.9%,2.9%,8.3%,20.1,1.9%,15.4%,42.3%,40.5%
Boundary County,Idaho,87.2%,73.8%,13.5%,0.0%,4.0%,0.0%,0.7%,8.1%,88.5%,10.9%,24.9%,19.6%,23.0%,9.1%,1.5%,8.2%,6.0%,5.8%,1.8%,17.7,0.3%,14.4%,37.6%,47.7%
Butte County,Idaho,77.9%,61.2%,16.8%,4.1%,6.4%,0.0%,2.4%,9.2%,80.6%,17.5%,41.9%,14.8%,5.3%,4.5%,2.2%,10.7%,3.5%,10.2%,6.8%,19.7,0.3%,8.4%,29.1%,62.1%
Camas County,Idaho,74.8%,65.7%,9.1%,0.0%,12.9%,0.7%,1.4%,10.3%,59.4%,40.6%,39.2%,10.9%,3.4%,2.3%,0.0%,1.1%,7.7%,17.5%,17.7%,28.1,0.0%,9.8%,43.3%,46.9%
Canyon County,Idaho,90.0%,77.8%,12.1%,0.4%,1.7%,0.1%,3.1%,4.7%,61.9%,36.0%,15.3%,14.3%,12.7%,13.2%,6.6%,15.6%,8.1%,9.4%,5.0%,24.5,1.7%,16.1%,41.9%,40.3%
Caribou County,Idaho,90.6%,76.7%,14.0%,0.0%,3.0%,0.6%,0.6%,5.2%,87.4%,6.1%,44.9%,13.7%,15.1%,6.4%,4.1%,3.5%,2.1%,2.2%,8.0%,17.6,1.4%,9.9%,37.9%,50.9%
Cassia County,Idaho,88.1%,76.3%,11.7%,0.0%,3.0%,0.4%,2.4%,6.2%,77.0%,21.2%,30.9%,26.2%,15.5%,11.4%,2.4%,5.8%,1.6%,2.9%,3.4%,16.1,1.6%,11.9%,38.1%,48.4%
Clark County,Idaho,88.2%,76.4%,11.8%,0.0%,0.8%,0.0%,5.3%,5.8%,71.1%,28.9%,28.5%,21.1%,14.9%,14.1%,2.1%,15.5%,0.0%,1.1%,2.7%,16.8,0.0%,11.6%,37.7%,50.8%
Clearwater County,Idaho,89.4%,76.5%,12.9%,0.0%,5.3%,0.1%,0.3%,4.9%,84.2%,9.9%,28.1%,18.5%,11.6%,9.4%,4.1%,5.1%,3.0%,10.8%,9.5%,23.5,0.2%,12.4%,35.0%,52.4%
Custer County,Idaho,76.6%,54.9%,21.7%,1.4%,9.4%,0.3%,0.0%,12.4%,88.2%,11.8%,44.6%,8.3%,2.9%,7.8%,1.5%,7.7%,1.3%,16.2%,9.6%,23.0,1.6%,11.5%,39.0%,47.8%
Elmore County,Idaho,85.7%,72.3%,13.3%,0.3%,6.2%,0.4%,1.7%,5.8%,85.9%,12.6%,31.4%,20.7%,12.1%,11.5%,3.8%,7.1%,4.0%,5.9%,3.5%,17.9,0.7%,15.0%,46.6%,37.7%
Franklin County,Idaho,82.0%,69.0%,13.0%,0.8%,2.6%,0.4%,1.2%,13.0%,64.8%,2.7%,32.9%,14.0%,9.6%,7.3%,4.0%,9.5%,7.5%,7.5%,7.7%,22.7,0.7%,8.4%,34.9%,56.1%
Fremont County,Idaho,88.5%,69.8%,18.7%,1.6%,1.7%,0.1%,0.3%,7.7%,54.6%,42.8%,24.9%,12.7%,18.4%,17.1%,3.6%,7.0%,3.3%,4.2%,8.9%,21.0,0.3%,10.2%,34.9%,54.6%
Gem County,Idaho,90.0%,73.3%,16.7%,0.2%,2.5%,0.2%,2.3%,4.7%,44.9%,52.1%,19.6%,15.5%,5.6%,4.3%,1.2%,7.0%,11.0%,19.5%,16.3%,31.4,0.8%,11.6%,37.8%,49.8%
Gooding County,Idaho,82.7%,73.7%,9.0%,0.3%,6.3%,0.4%,1.0%,9.3%,68.6%,30.5%,28.0%,16.5%,15.2%,10.1%,3.5%,10.1%,4.6%,4.0%,8.0%,21.8,0.0%,11.2%,41.8%,47.0%
Idaho County,Idaho,82.2%,69.2%,13.0%,1.1%,9.5%,0.3%,1.3%,5.5%,79.0%,18.2%,45.6%,11.4%,6.9%,7.1%,2.2%,9.3%,2.8%,6.0%,8.8%,21.1,0.7%,15.8%,36.2%,47.3%
Jefferson County,Idaho,89.4%,76.2%,13.2%,3.3%,1.4%,0.2%,0.9%,4.8%,42.3%,55.4%,17.3%,8.8%,13.9%,17.7%,9.3%,15.7%,3.5%,3.4%,10.3%,26.0,1.5%,7.9%,35.3%,55.3%
Jerome County,Idaho,89.2%,81.6%,7.6%,0.0%,4.3%,0.2%,1.0%,5.3%,63.3%,35.7%,28.8%,22.6%,15.7%,10.9%,6.3%,7.7%,3.5%,1.2%,3.3%,16.8,1.5%,14.0%,44.7%,39.7%
Kootenai County,Idaho,89.0%,78.5%,10.5%,0.6%,2.0%,0.6%,1.4%,6.5%,81.3%,3.2%,17.6%,19.8%,18.9%,13.9%,4.6%,10.0%,4.7%,5.4%,5.1%,21.4,0.8%,15.0%,41.0%,43.2%
Latah County,Idaho,76.7%,63.1%,13.7%,0.8%,13.2%,3.8%,0.8%,4.6%,73.5%,6.4%,29.8%,18.2%,14.6%,12.0%,4.6%,8.0%,4.1%,5.3%,3.3%,18.3,4.2%,20.7%,42.6%,32.5%
Lemhi County,Idaho,80.5%,65.2%,15.2%,0.0%,7.1%,0.3%,2.1%,10.1%,96.1%,2.6%,47.5%,17.4%,11.3%,9.1%,2.4%,6.3%,0.5%,1.6%,3.9%,14.5,1.2%,14.2%,28.9%,55.7%
Lewis County,Idaho,85.1%,76.6%,8.5%,0.3%,9.5%,0.5%,1.2%,3.3%,62.2%,33.1%,39.4%,14.0%,7.2%,4.5%,3.6%,7.3%,7.5%,8.7%,7.9%,20.5,1.4%,14.1%,37.0%,47.4%
Lincoln County,Idaho,78.7%,62.5%,16.2%,2.8%,6.0%,0.4%,0.8%,11.2%,51.0%,48.3%,20.9%,10.9%,5.3%,3.5%,2.3%,16.0%,5.5%,20.1%,15.6%,31.1,0.9%,10.6%,43.0%,45.5%
Madison County,Idaho,76.8%,60.0%,16.9%,0.9%,12.8%,2.2%,1.2%,6.1%,78.6%,19.3%,40.4%,22.9%,9.9%,5.9%,1.9%,10.0%,4.4%,1.2%,3.3%,15.2,1.6%,18.2%,30.6%,49.6%
Minidoka County,Idaho,93.0%,80.0%,12.9%,0.1%,2.3%,0.0%,0.5%,4.1%,62.4%,36.3%,28.1%,19.6%,20.5%,11.7%,2.7%,7.1%,2.1%,5.8%,2.4%,17.3,0.6%,12.7%,33.1%,53.7%
Nez Perce County,Idaho,92.2%,81.8%,10.4%,0.4%,2.6%,0.6%,1.4%,2.8%,81.9%,4.4%,32.7%,24.8%,19.5%,8.9%,2.1%,4.4%,1.7%,3.5%,2.6%,15.7,2.0%,14.9%,37.4%,45.6%
Oneida County,Idaho,84.0%,70.8%,13.2%,0.0%,5.9%,0.0%,0.5%,9.6%,68.8%,5.1%,47.3%,11.0%,4.0%,1.6%,1.9%,5.7%,9.0%,8.3%,11.2%,21.2,0.8%,5.0%,41.1%,53.1%
Owyhee County,Idaho,75.2%,63.4%,11.7%,0.4%,6.6%,0.0%,2.6%,15.2%,47.5%,49.6%,22.8%,12.1%,5.8%,7.8%,9.0%,16.0%,7.3%,10.3%,8.9%,26.0,1.3%,11.8%,40.9%,46.0%
Payette County,Idaho,88.2%,74.8%,13.3%,0.0%,2.3%,0.0%,2.5%,7.0%,49.3%,17.7%,21.2%,20.7%,22.4%,11.2%,4.1%,6.9%,2.2%,4.8%,6.4%,21.2,2.5%,15.8%,33.9%,47.8%
Power County,Idaho,90.1%,73.6%,16.5%,0.6%,3.2%,0.7%,1.2%,4.2%,68.2%,31.7%,34.1%,13.1%,13.4%,11.3%,7.9%,8.9%,6.1%,3.3%,1.9%,17.1,0.6%,10.9%,41.8%,46.7%
Shoshone County,Idaho,91.7%,82.4%,9.3%,0.3%,4.5%,0.2%,2.5%,0.9%,83.5%,13.7%,36.0%,19.1%,15.4%,8.1%,1.9%,4.7%,2.7%,6.0%,6.2%,18.5,0.6%,17.4%,40.4%,41.6%
Teton County,Idaho,85.1%,66.2%,18.8%,2.3%,5.3%,0.8%,0.2%,6.3%,61.1%,4.5%,27.8%,13.4%,10.1%,5.0%,4.6%,9.9%,6.9%,10.1%,12.3%,24.6,0.2%,13.1%,43.9%,42.7%
Twin Falls County,Idaho,90.3%,80.7%,9.6%,0.4%,2.4%,0.3%,1.2%,5.4%,87.8%,10.2%,24.4%,30.2%,19.9%,9.6%,3.3%,5.6%,1.6%,3.0%,2.4%,15.7,1.7%,15.7%,46.6%,36.0%
Valley County,Idaho,78.1%,67.1%,11.0%,1.1%,6.8%,1.5%,1.4%,11.0%,92.7%,5.7%,39.7%,25.2%,11.3%,7.7%,2.1%,5.1%,2.0%,4.5%,2.4%,14.5,0.9%,13.7%,41.8%,43.7%
Washington County,Idaho,80.2%,70.5%,9.7%,0.0%,5.8%,1.5%,2.7%,9.8%,68.4%,17.4%,38.7%,12.2%,8.6%,6.6%,6.7%,11.3%,2.0%,4.2%,9.7%,21.8,0.5%,12.6%,31.8%,55.1%
Adams County,Illinois,92.0%,82.7%,9.2%,0.7%,2.7%,0.0%,0.9%,3.7%,92.0%,3.3%,24.1%,27.5%,20.1%,9.7%,4.2%,7.0%,2.8%,2.2%,2.5%,16.6,2.5%,18.6%,44.8%,34.2%
Alexander County,Illinois,93.6%,86.2%,7.4%,0.8%,3.2%,0.0%,1.6%,0.8%,39.3%,14.2%,17.2%,8.5%,11.9%,11.0%,13.6%,14.6%,6.4%,7.6%,9.2%,26.7,5.5%,22.4%,37.2%,35.0%
Bond County,Illinois,92.1%,85.7%,6.3%,0.2%,3.8%,0.0%,0.5%,3.4%,57.8%,34.2%,23.6%,17.2%,14.1%,9.7%,3.0%,7.0%,5.7%,10.4%,9.3%,24.5,0.8%,12.9%,40.8%,45.5%
Boone County,Illinois,93.4%,84.3%,9.1%,0.2%,1.1%,0.4%,1.2%,3.7%,32.6%,64.4%,12.3%,12.2%,10.9%,15.2%,6.4%,11.2%,7.2%,9.0%,15.7%,31.6,2.0%,11.5%,41.8%,44.8%
Brown County,Illinois,87.8%,83.8%,4.1%,0.0%,1.9%,0.2%,1.1%,8.9%,74.4%,25.0%,35.9%,13.3%,12.4%,18.2%,4.4%,5.2%,2.6%,6.4%,1.8%,16.2,2.8%,16.4%,42.7%,38.1%
Bureau County,Illinois,91.6%,82.1%,9.5%,0.2%,3.6%,0.2%,0.8%,3.5%,61.3%,37.7%,29.1%,18.4%,13.8%,12.8%,6.7%,7.2%,2.6%,3.6%,5.7%,19.6,2.3%,16.9%,43.7%,37.1%
Calhoun County,Illinois,92.9%,79.1%,13.7%,0.0%,2.2%,0.0%,1.0%,4.0%,40.6%,40.2%,22.7%,8.1%,5.0%,5.1%,3.2%,8.0%,4.9%,16.5%,26.5%,37.0,3.5%,14.7%,36.1%,45.7%
Carroll County,Illinois,89.3%,78.4%,10.9%,0.8%,2.8%,0.4%,0.6%,6.1%,57.3%,32.4%,26.1%,13.0%,12.8%,10.3%,5.7%,9.7%,8.0%,5.6%,8.8%,25.2,2.1%,20.9%,44.0%,33.0%
Cass County,Illinois,92.7%,72.3%,20.3%,0.3%,1.6%,0.3%,0.8%,4.2%,59.3%,40.1%,28.9%,16.8%,7.1%,8.6%,6.3%,11.1%,4.2%,6.1%,10.9%,24.4,2.2%,23.1%,42.2%,32.5%
Champaign County,Illinois,77.9%,68.9%,9.0%,5.6%,9.2%,2.5%,0.8%,4.0%,93.6%,5.5%,19.4%,25.3%,23.5%,13.9%,4.3%,7.2%,1.9%,2.2%,2.3%,16.9,5.1%,26.9%,42.8%,25.2%
Christian County,Illinois,93.0%,83.5%,9.5%,0.2%,2.1%,0.1%,0.9%,3.6%,57.8%,40.3%,23.2%,15.4%,10.3%,8.4%,4.2%,8.6%,10.0%,13.5%,6.4%,25.2,2.0%,18.0%,44.3%,35.7%
Clark County,Illinois,91.6%,82.3%,9.3%,0.1%,1.2%,0.9%,1.4%,4.9%,55.4%,26.8%,25.1%,11.8%,11.4%,14.6%,6.1%,11.0%,7.8%,6.2%,6.0%,22.7,2.0%,14.8%,42.9%,40.3%
Clay County,Illinois,90.4%,81.2%,9.1%,0.1%,4.0%,0.4%,2.0%,3.2%,77.4%,21.0%,36.1%,17.5%,10.7%,9.5%,4.5%,7.2%,2.8%,6.2%,5.5%,19.0,0.8%,20.5%,42.0%,36.7%
Clinton County,Illinois,92.0%,81.7%,10.3%,0.8%,2.5%,0.2%,1.1%,3.3%,49.7%,38.6%,24.6%,11.5%,12.2%,10.1%,4.5%,10.4%,7.1%,8.9%,10.7%,25.2,1.1%,13.3%,41.8%,43.7%
Coles County,Illinois,88.0%,78.0%,10.0%,0.5%,6.6%,0.6%,0.7%,3.6%,82.1%,16.7%,33.7%,20.6%,14.8%,10.1%,4.0%,6.5%,2.3%,4.1%,3.8%,16.8,2.7%,21.6%,43.6%,32.1%
Cook County,Illinois,72.7%,63.1%,9.5%,17.7%,4.0%,0.8%,1.2%,3.7%,87.3%,11.4%,7.6%,9.6%,11.2%,12.7%,5.3%,17.8%,9.3%,12.7%,13.8%,31.8,9.0%,30.6%,38.5%,22.0%
Crawford County,Illinois,92.2%,82.1%,10.1%,0.2%,2.7%,0.4%,0.9%,3.7%,80.2%,13.0%,34.8%,20.8%,13.3%,9.4%,2.7%,6.5%,4.2%,4.2%,4.1%,17.7,1.4%,16.2%,38.0%,44.4%
Cumberland County,Illinois,91.6%,79.2%,12.4%,0.0%,0.6%,0.4%,1.2%,6.2%,35.9%,61.8%,17.4%,6.7%,13.9%,17.0%,12.1%,15.8%,7.9%,4.6%,4.5%,23.7,0.7%,11.5%,44.0%,43.8%
DeKalb County,Illinois,87.7%,79.0%,8.7%,2.2%,5.0%,0.8%,0.4%,3.9%,59.2%,39.9%,23.0%,16.5%,12.1%,7.9%,3.6%,8.4%,9.4%,9.5%,9.8%,25.2,2.0%,16.9%,45.6%,35.5%
De Witt County,Illinois,92.6%,82.6%,9.9%,0.1%,3.2%,0.0%,1.6%,2.6%,48.3%,51.1%,27.8%,10.3%,8.6%,7.5%,4.7%,22.4%,9.2%,6.4%,3.1%,22.1,1.6%,14.9%,41.8%,41.7%
Douglas County,Illinois,86.6%,72.4%,14.2%,0.0%,3.3%,3.7%,0.9%,5.5%,59.0%,40.1%,34.6%,10.1%,9.6%,8.0%,4.4%,13.5%,9.8%,6.1%,3.8%,20.4,9.0%,15.0%,46.1%,29.9%
DuPage County,Illinois,86.0%,78.7%,7.3%,6.5%,1.7%,0.3%,0.9%,4.6%,59.1%,39.9%,10.8%,12.8%,12.8%,13.2%,6.5%,13.4%,8.3%,9.7%,12.5%,29.1,1.4%,18.0%,47.8%,32.8%
Edgar County,Illinois,90.4%,79.7%,10.7%,0.1%,3.3%,0.1%,0.9%,5.3%,66.3%,19.6%,30.5%,17.6%,8.0%,11.0%,4.4%,11.4%,4.8%,5.8%,6.4%,21.5,2.0%,22.6%,38.1%,37.3%
Edwards County,Illinois,88.6%,78.4%,10.2%,0.1%,4.0%,0.2%,1.4%,5.8%,60.6%,30.7%,36.9%,14.5%,11.5%,8.6%,6.5%,8.0%,3.6%,4.6%,5.8%,21.4,4.0%,17.3%,36.0%,42.7%
Effingham County,Illinois,91.4%,83.2%,8.2%,0.3%,1.5%,0.5%,1.3%,5.1%,87.8%,10.7%,21.6%,24.5%,19.4%,12.4%,7.1%,7.2%,2.3%,2.3%,3.0%,17.7,1.7%,15.1%,40.3%,42.9%
Fayette County,Illinois,88.2%,77.2%,11.0%,1.1%,2.5%,0.2%,2.3%,5.8%,66.0%,31.4%,23.7%,16.3%,14.1%,12.2%,4.8%,9.4%,5.6%,4.7%,9.2%,23.5,0.8%,17.4%,40.7%,41.1%
Ford County,Illinois,92.5%,78.6%,13.8%,0.1%,3.3%,0.2%,0.1%,3.8%,51.2%,47.5%,33.7%,10.3%,8.4%,5.8%,4.5%,11.5%,11.2%,9.1%,5.5%,22.4,1.8%,17.1%,46.0%,35.2%
